ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	CrearFiesta	crearfiesta	1590565632753	 	3.3.1
USER	AceptarLocal	425	START	1590565633615	1590565633615
USER	CrearFiesta	22	START	1590565633616	1590565633616
USER	AceptarLocal	424	START	1590565633615	1590565633615
USER	CrearFiesta	25	START	1590565633621	1590565633621
USER	CrearFiesta	23	START	1590565633621	1590565633621
USER	CrearFiesta	24	START	1590565633621	1590565633621
USER	AceptarLocal	429	START	1590565633622	1590565633622
USER	AceptarLocal	428	START	1590565633622	1590565633622
USER	AceptarLocal	427	START	1590565633621	1590565633621
USER	AceptarLocal	426	START	1590565633621	1590565633621
USER	CrearFiesta	26	START	1590565633623	1590565633623
USER	CrearFiesta	27	START	1590565633623	1590565633623
USER	AceptarLocal	430	START	1590565633623	1590565633623
USER	AceptarLocal	431	START	1590565633623	1590565633623
USER	CrearFiesta	28	START	1590565633628	1590565633628
USER	AceptarLocal	432	START	1590565633629	1590565633629
USER	CrearFiesta	29	START	1590565633628	1590565633628
USER	CrearFiesta	30	START	1590565633642	1590565633642
USER	AceptarLocal	434	START	1590565633643	1590565633643
USER	AceptarLocal	433	START	1590565633632	1590565633632
USER	AceptarLocal	435	START	1590565633643	1590565633643
USER	CrearFiesta	31	START	1590565633642	1590565633642
USER	CrearFiesta	35	START	1590565633660	1590565633660
USER	AceptarLocal	436	START	1590565633659	1590565633659
USER	CrearFiesta	34	START	1590565633660	1590565633660
USER	AceptarLocal	437	START	1590565633659	1590565633659
USER	CrearFiesta	32	START	1590565633658	1590565633658
USER	AceptarLocal	438	START	1590565633661	1590565633661
REQUEST	405		Home	1590565633524	1590565633665	OK	 
REQUEST	410		Home	1590565633524	1590565633666	OK	 
REQUEST	412		Home	1590565633533	1590565633667	OK	 
USER	AceptarLocal	439	START	1590565633661	1590565633661
REQUEST	417		Home	1590565633552	1590565633667	OK	 
REQUEST	6		Home	1590565633533	1590565633667	OK	 
USER	CrearFiesta	36	START	1590565633680	1590565633680
REQUEST	15		Home	1590565633579	1590565633680	OK	 
REQUEST	407		Home	1590565633524	1590565633680	OK	 
USER	CrearFiesta	37	START	1590565633680	1590565633680
USER	AceptarLocal	440	START	1590565633681	1590565633681
REQUEST	11		Home	1590565633547	1590565633681	OK	 
USER	AceptarLocal	441	START	1590565633681	1590565633681
USER	CrearFiesta	38	START	1590565633682	1590565633682
USER	CrearFiesta	39	START	1590565633682	1590565633682
USER	AceptarLocal	442	START	1590565633683	1590565633683
USER	CrearFiesta	33	START	1590565633658	1590565633658
USER	AceptarLocal	443	START	1590565633683	1590565633683
REQUEST	13		Home	1590565633552	1590565633686	OK	 
REQUEST	8		Home	1590565633533	1590565633688	OK	 
REQUEST	23		Home	1590565633622	1590565633690	OK	 
REQUEST	4		Home	1590565633524	1590565633696	OK	 
REQUEST	9		Home	1590565633533	1590565633697	OK	 
USER	CrearFiesta	40	START	1590565633700	1590565633700
USER	CrearFiesta	41	START	1590565633701	1590565633701
USER	AceptarLocal	444	START	1590565633703	1590565633703
USER	CrearFiesta	42	START	1590565633703	1590565633703
USER	AceptarLocal	445	START	1590565633703	1590565633703
USER	AceptarLocal	447	START	1590565633704	1590565633704
USER	AceptarLocal	446	START	1590565633704	1590565633704
USER	CrearFiesta	43	START	1590565633703	1590565633703
USER	CrearFiesta	45	START	1590565633708	1590565633708
USER	CrearFiesta	44	START	1590565633708	1590565633708
USER	AceptarLocal	448	START	1590565633711	1590565633711
REQUEST	26		Home	1590565633623	1590565633713	OK	 
USER	AceptarLocal	449	START	1590565633712	1590565633712
REQUEST	426		Home	1590565633623	1590565633716	OK	 
REQUEST	423		Home	1590565633583	1590565633717	OK	 
REQUEST	425		Home	1590565633616	1590565633717	OK	 
REQUEST	31		Home	1590565633644	1590565633721	OK	 
REQUEST	439		Home	1590565633667	1590565633721	OK	 
REQUEST	421		Home	1590565633579	1590565633722	OK	 
USER	CrearFiesta	47	START	1590565633723	1590565633723
USER	AceptarLocal	450	START	1590565633723	1590565633723
REQUEST	435		Home	1590565633644	1590565633726	OK	 
USER	CrearFiesta	46	START	1590565633723	1590565633723
REQUEST	445		Home	1590565633704	1590565633727	OK	 
USER	CrearFiesta	49	START	1590565633729	1590565633729
USER	CrearFiesta	48	START	1590565633728	1590565633728
REQUEST	450		Home	1590565633723	1590565633730	OK	 
USER	AceptarLocal	453	START	1590565633729	1590565633729
USER	AceptarLocal	452	START	1590565633729	1590565633729
REQUEST	24		Home	1590565633622	1590565633732	OK	 
REQUEST	39		Home	1590565633683	1590565633732	OK	 
USER	AceptarLocal	451	START	1590565633728	1590565633728
REQUEST	427		Home	1590565633623	1590565633735	OK	 
REQUEST	431		Home	1590565633624	1590565633736	OK	 
REQUEST	16		Home	1590565633575	1590565633737	OK	 
REQUEST	27		Home	1590565633624	1590565633738	OK	 
USER	CrearFiesta	50	START	1590565633738	1590565633738
REQUEST	47		Home	1590565633723	1590565633739	OK	 
USER	CrearFiesta	51	START	1590565633740	1590565633740
REQUEST	46		Home	1590565633725	1590565633741	OK	 
USER	AceptarLocal	454	START	1590565633740	1590565633740
USER	AceptarLocal	455	START	1590565633741	1590565633741
REQUEST	440		Home	1590565633681	1590565633745	OK	 
REQUEST	19		Home	1590565633579	1590565633745	OK	 
REQUEST	437		Home	1590565633661	1590565633747	OK	 
REQUEST	29		Home	1590565633641	1590565633749	OK	 
REQUEST	443		Home	1590565633684	1590565633749	OK	 
REQUEST	455		Home	1590565633744	1590565633749	OK	 
REQUEST	18		Home	1590565633579	1590565633750	OK	 
REQUEST	447		Home	1590565633705	1590565633751	OK	 
REQUEST	429		Home	1590565633622	1590565633752	OK	 
REQUEST	37		Home	1590565633681	1590565633753	OK	 
USER	CrearFiesta	52	START	1590565633754	1590565633754
REQUEST	434		Home	1590565633643	1590565633755	OK	 
USER	AceptarLocal	456	START	1590565633754	1590565633754
USER	CrearFiesta	53	START	1590565633754	1590565633754
REQUEST	21		Home	1590565633616	1590565633757	OK	 
USER	AceptarLocal	457	START	1590565633755	1590565633755
USER	CrearFiesta	54	START	1590565633758	1590565633758
REQUEST	14		Home	1590565633569	1590565633760	OK	 
USER	CrearFiesta	55	START	1590565633760	1590565633760
USER	AceptarLocal	459	START	1590565633761	1590565633761
USER	AceptarLocal	458	START	1590565633761	1590565633761
REQUEST	457		Home	1590565633757	1590565633762	OK	 
REQUEST	38		Home	1590565633682	1590565633764	OK	 
REQUEST	51		Home	1590565633741	1590565633765	OK	 
REQUEST	420		Home	1590565633577	1590565633766	OK	 
REQUEST	446		Home	1590565633706	1590565633766	OK	 
REQUEST	32		Home	1590565633662	1590565633767	OK	 
REQUEST	422		Home	1590565633580	1590565633767	OK	 
REQUEST	52		Home	1590565633755	1590565633769	OK	 
USER	CrearFiesta	56	START	1590565633769	1590565633769
REQUEST	438		Home	1590565633664	1590565633770	OK	 
USER	AceptarLocal	460	START	1590565633770	1590565633770
REQUEST	436		Home	1590565633661	1590565633771	OK	 
USER	CrearFiesta	57	START	1590565633770	1590565633770
REQUEST	36		Home	1590565633680	1590565633773	OK	 
USER	AceptarLocal	461	START	1590565633771	1590565633771
REQUEST	44		Home	1590565633709	1590565633775	OK	 
REQUEST	30		Home	1590565633642	1590565633776	OK	 
REQUEST	34		Home	1590565633661	1590565633776	OK	 
REQUEST	43		Home	1590565633706	1590565633776	OK	 
REQUEST	33		Home	1590565633683	1590565633778	OK	 
REQUEST	28		Home	1590565633629	1590565633778	OK	 
USER	AceptarLocal	462	START	1590565633785	1590565633785
USER	CrearFiesta	59	START	1590565633785	1590565633785
USER	AceptarLocal	463	START	1590565633785	1590565633785
USER	CrearFiesta	58	START	1590565633785	1590565633785
USER	AceptarLocal	465	START	1590565633788	1590565633788
USER	AceptarLocal	464	START	1590565633788	1590565633788
USER	CrearFiesta	61	START	1590565633788	1590565633788
USER	CrearFiesta	60	START	1590565633788	1590565633788
USER	AceptarLocal	466	START	1590565633807	1590565633807
USER	AceptarLocal	467	START	1590565633807	1590565633807
USER	CrearFiesta	63	START	1590565633807	1590565633807
USER	CrearFiesta	62	START	1590565633807	1590565633807
USER	CrearFiesta	65	START	1590565633809	1590565633809
USER	CrearFiesta	64	START	1590565633809	1590565633809
USER	AceptarLocal	469	START	1590565633809	1590565633809
USER	AceptarLocal	468	START	1590565633809	1590565633809
REQUEST	20		Home	1590565633613	1590565633813	OK	 
REQUEST	419		Home	1590565633572	1590565633813	OK	 
REQUEST	441		Home	1590565633682	1590565633814	OK	 
REQUEST	433		Home	1590565633643	1590565633815	OK	 
REQUEST	448		Home	1590565633712	1590565633815	OK	 
REQUEST	430		Home	1590565633624	1590565633815	OK	 
REQUEST	35		Home	1590565633660	1590565633816	OK	 
REQUEST	25		Home	1590565633622	1590565633816	OK	 
REQUEST	40		Home	1590565633701	1590565633817	OK	 
REQUEST	65		Home	1590565633810	1590565633817	OK	 
REQUEST	460		Home	1590565633770	1590565633817	OK	 
REQUEST	41		Home	1590565633702	1590565633819	OK	 
REQUEST	444		Home	1590565633703	1590565633819	OK	 
REQUEST	432		Home	1590565633631	1590565633819	OK	 
REQUEST	442		Home	1590565633683	1590565633819	OK	 
REQUEST	452		Home	1590565633732	1590565633819	OK	 
REQUEST	48		Home	1590565633729	1590565633821	OK	 
REQUEST	424		Home	1590565633619	1590565633822	OK	 
REQUEST	453		Home	1590565633730	1590565633822	OK	 
REQUEST	454		Home	1590565633742	1590565633822	OK	 
REQUEST	451		Home	1590565633734	1590565633822	OK	 
USER	AceptarLocal	471	START	1590565633823	1590565633823
USER	CrearFiesta	66	START	1590565633823	1590565633823
REQUEST	418		Home	1590565633572	1590565633825	OK	 
REQUEST	449		Home	1590565633713	1590565633825	OK	 
REQUEST	22		Home	1590565633617	1590565633825	OK	 
USER	AceptarLocal	470	START	1590565633823	1590565633823
USER	CrearFiesta	67	START	1590565633823	1590565633823
REQUEST	55		Home	1590565633761	1590565633828	OK	 
REQUEST	50		Home	1590565633738	1590565633828	OK	 
REQUEST	458		Home	1590565633762	1590565633829	OK	 
USER	CrearFiesta	68	START	1590565633830	1590565633830
USER	CrearFiesta	69	START	1590565633830	1590565633830
REQUEST	57		Home	1590565633770	1590565633831	OK	 
USER	AceptarLocal	472	START	1590565633830	1590565633830
USER	AceptarLocal	473	START	1590565633830	1590565633830
REQUEST	53		Home	1590565633756	1590565633835	OK	 
REQUEST	49		Home	1590565633729	1590565633834	OK	 
REQUEST	66		Home	1590565633825	1590565633834	OK	 
REQUEST	456		Home	1590565633755	1590565633835	OK	 
REQUEST	428		Home	1590565633623	1590565633835	OK	 
REQUEST	56		Home	1590565633770	1590565633838	OK	 
REQUEST	473		Home	1590565633831	1590565633838	OK	 
REQUEST	459		Home	1590565633761	1590565633838	OK	 
REQUEST	17		Home	1590565633575	1590565633838	OK	 
REQUEST	54		Home	1590565633759	1590565633839	OK	 
REQUEST	465		Home	1590565633788	1590565633840	OK	 
USER	CrearFiesta	70	START	1590565633840	1590565633840
USER	AceptarLocal	474	START	1590565633841	1590565633841
USER	AceptarLocal	475	START	1590565633841	1590565633841
USER	CrearFiesta	71	START	1590565633841	1590565633841
REQUEST	58		Home	1590565633785	1590565633843	OK	 
REQUEST	60		Home	1590565633788	1590565633844	OK	 
REQUEST	467		Home	1590565633808	1590565633844	OK	 
REQUEST	470		Home	1590565633825	1590565633844	OK	 
REQUEST	62		Home	1590565633808	1590565633845	OK	 
REQUEST	464		Home	1590565633788	1590565633845	OK	 
REQUEST	61		Home	1590565633788	1590565633848	OK	 
REQUEST	463		Home	1590565633785	1590565633848	OK	 
REQUEST	64		Home	1590565633810	1590565633848	OK	 
REQUEST	42		Home	1590565633704	1590565633849	OK	 
REQUEST	469		Home	1590565633810	1590565633849	OK	 
REQUEST	461		Home	1590565633773	1590565633850	OK	 
REQUEST	70		Home	1590565633841	1590565633852	OK	 
REQUEST	468		Home	1590565633810	1590565633852	OK	 
REQUEST	471		Home	1590565633824	1590565633852	OK	 
REQUEST	69		Home	1590565633831	1590565633852	OK	 
REQUEST	67		Home	1590565633827	1590565633853	OK	 
REQUEST	472		Home	1590565633832	1590565633853	OK	 
REQUEST	68		Home	1590565633830	1590565633854	OK	 
REQUEST	59		Home	1590565633785	1590565633855	OK	 
USER	CrearFiesta	72	START	1590565633855	1590565633855
REQUEST	475		Home	1590565633842	1590565633857	OK	 
USER	CrearFiesta	73	START	1590565633857	1590565633857
REQUEST	466		Home	1590565633808	1590565633860	OK	 
REQUEST	45		Home	1590565633709	1590565633860	OK	 
REQUEST	73		Home	1590565633857	1590565633862	OK	 
USER	AceptarLocal	476	START	1590565633857	1590565633857
USER	AceptarLocal	477	START	1590565633862	1590565633862
USER	AceptarLocal	479	START	1590565633862	1590565633862
USER	AceptarLocal	478	START	1590565633862	1590565633862
USER	CrearFiesta	75	START	1590565633862	1590565633862
USER	CrearFiesta	74	START	1590565633862	1590565633862
REQUEST	462		Home	1590565633785	1590565633866	OK	 
REQUEST	75		Home	1590565633862	1590565633866	OK	 
REQUEST	63		Home	1590565633808	1590565633868	OK	 
REQUEST	74		Home	1590565633864	1590565633869	OK	 
REQUEST	476		Home	1590565633860	1590565633870	OK	 
REQUEST	479		Home	1590565633863	1590565633870	OK	 
REQUEST	71		Home	1590565633842	1590565633871	OK	 
REQUEST	478		Home	1590565633862	1590565633872	OK	 
USER	CrearFiesta	77	START	1590565633872	1590565633872
REQUEST	477		Home	1590565633862	1590565633873	OK	 
REQUEST	72		Home	1590565633856	1590565633873	OK	 
REQUEST	474		Home	1590565633841	1590565633873	OK	 
USER	CrearFiesta	76	START	1590565633872	1590565633872
USER	AceptarLocal	480	START	1590565633874	1590565633874
USER	AceptarLocal	481	START	1590565633874	1590565633874
REQUEST	76		Home	1590565633874	1590565633878	OK	 
REQUEST	480		Home	1590565633875	1590565633878	OK	 
REQUEST	77		Home	1590565633873	1590565633878	OK	 
USER	CrearFiesta	78	START	1590565633878	1590565633878
REQUEST	481		Home	1590565633875	1590565633879	OK	 
USER	CrearFiesta	79	START	1590565633879	1590565633879
USER	AceptarLocal	482	START	1590565633879	1590565633879
USER	AceptarLocal	483	START	1590565633881	1590565633881
REQUEST	78		Home	1590565633879	1590565633883	OK	 
REQUEST	79		Home	1590565633879	1590565633883	OK	 
REQUEST	482		Home	1590565633880	1590565633884	OK	 
REQUEST	483		Home	1590565633881	1590565633885	OK	 
USER	AceptarLocal	484	START	1590565633888	1590565633888
USER	CrearFiesta	80	START	1590565633888	1590565633888
USER	CrearFiesta	81	START	1590565633888	1590565633888
USER	AceptarLocal	485	START	1590565633888	1590565633888
REQUEST	485		Home	1590565633888	1590565633892	OK	 
REQUEST	484		Home	1590565633888	1590565633892	OK	 
REQUEST	80		Home	1590565633888	1590565633892	OK	 
REQUEST	81		Home	1590565633888	1590565633892	OK	 
USER	CrearFiesta	82	START	1590565633907	1590565633907
USER	CrearFiesta	83	START	1590565633907	1590565633907
USER	AceptarLocal	487	START	1590565633907	1590565633907
USER	AceptarLocal	488	START	1590565633908	1590565633908
USER	CrearFiesta	85	START	1590565633908	1590565633908
USER	CrearFiesta	84	START	1590565633908	1590565633908
USER	AceptarLocal	486	START	1590565633907	1590565633907
USER	AceptarLocal	489	START	1590565633908	1590565633908
REQUEST	83		Home	1590565633908	1590565633912	OK	 
REQUEST	486		Home	1590565633908	1590565633912	OK	 
REQUEST	85		Home	1590565633908	1590565633912	OK	 
REQUEST	488		Home	1590565633908	1590565633912	OK	 
REQUEST	82		Home	1590565633908	1590565633913	OK	 
REQUEST	489		Home	1590565633910	1590565633915	OK	 
REQUEST	84		Home	1590565633908	1590565633915	OK	 
REQUEST	487		Home	1590565633908	1590565633915	OK	 
USER	CrearFiesta	86	START	1590565633923	1590565633923
USER	AceptarLocal	491	START	1590565633923	1590565633923
USER	CrearFiesta	87	START	1590565633923	1590565633923
USER	AceptarLocal	490	START	1590565633923	1590565633923
REQUEST	490		Home	1590565633924	1590565633928	OK	 
REQUEST	87		Home	1590565633924	1590565633929	OK	 
REQUEST	86		Home	1590565633924	1590565633930	OK	 
USER	AceptarLocal	492	START	1590565633929	1590565633929
USER	CrearFiesta	89	START	1590565633929	1590565633929
USER	CrearFiesta	88	START	1590565633929	1590565633929
USER	AceptarLocal	493	START	1590565633933	1590565633933
REQUEST	491		Home	1590565633924	1590565633934	OK	 
REQUEST	88		Home	1590565633932	1590565633938	OK	 
REQUEST	493		Home	1590565633934	1590565633938	OK	 
REQUEST	492		Home	1590565633930	1590565633938	OK	 
USER	AceptarLocal	494	START	1590565633940	1590565633940
REQUEST	89		Home	1590565633931	1590565633941	OK	 
USER	CrearFiesta	90	START	1590565633939	1590565633939
USER	CrearFiesta	91	START	1590565633939	1590565633939
USER	AceptarLocal	495	START	1590565633942	1590565633942
REQUEST	90		Home	1590565633940	1590565633945	OK	 
REQUEST	494		Home	1590565633940	1590565633945	OK	 
REQUEST	495		Home	1590565633943	1590565633946	OK	 
REQUEST	91		Home	1590565633942	1590565633946	OK	 
USER	AceptarLocal	497	START	1590565633954	1590565633954
USER	CrearFiesta	93	START	1590565633954	1590565633954
USER	AceptarLocal	496	START	1590565633954	1590565633954
USER	CrearFiesta	92	START	1590565633954	1590565633954
USER	CrearFiesta	94	START	1590565633958	1590565633958
REQUEST	92		Home	1590565633955	1590565633958	OK	 
REQUEST	93		Home	1590565633955	1590565633958	OK	 
REQUEST	497		Home	1590565633955	1590565633958	OK	 
USER	AceptarLocal	498	START	1590565633958	1590565633958
REQUEST	496		Home	1590565633955	1590565633958	OK	 
USER	CrearFiesta	95	START	1590565633958	1590565633958
USER	AceptarLocal	499	START	1590565633959	1590565633959
REQUEST	498		Home	1590565633959	1590565633962	OK	 
REQUEST	94		Home	1590565633959	1590565633962	OK	 
REQUEST	95		Home	1590565633959	1590565633962	OK	 
REQUEST	499		Home	1590565633960	1590565633963	OK	 
USER	CrearFiesta	96	START	1590565633970	1590565633970
USER	AceptarLocal	501	START	1590565633970	1590565633970
USER	CrearFiesta	97	START	1590565633970	1590565633970
REQUEST	97		Home	1590565633970	1590565633973	OK	 
REQUEST	501		Home	1590565633970	1590565633973	OK	 
REQUEST	96		Home	1590565633970	1590565633973	OK	 
USER	AceptarLocal	500	START	1590565633970	1590565633970
REQUEST	500		Home	1590565633975	1590565633978	OK	 
USER	CrearFiesta	98	START	1590565633985	1590565633985
USER	CrearFiesta	99	START	1590565633985	1590565633985
USER	AceptarLocal	502	START	1590565633985	1590565633985
USER	CrearFiesta	101	START	1590565633988	1590565633988
REQUEST	98		Home	1590565633986	1590565633989	OK	 
USER	CrearFiesta	100	START	1590565633988	1590565633988
USER	AceptarLocal	505	START	1590565633988	1590565633988
USER	AceptarLocal	504	START	1590565633988	1590565633988
REQUEST	502		Home	1590565633986	1590565633991	OK	 
USER	AceptarLocal	503	START	1590565633985	1590565633985
REQUEST	99		Home	1590565633986	1590565633992	OK	 
REQUEST	504		Home	1590565633988	1590565633993	OK	 
REQUEST	100		Home	1590565633988	1590565633994	OK	 
REQUEST	505		Home	1590565633988	1590565633995	OK	 
REQUEST	101		Home	1590565633988	1590565633995	OK	 
REQUEST	503		Home	1590565633992	1590565633995	OK	 
USER	AceptarLocal	506	START	1590565634008	1590565634008
USER	AceptarLocal	508	START	1590565634008	1590565634008
USER	AceptarLocal	509	START	1590565634008	1590565634008
USER	CrearFiesta	102	START	1590565634007	1590565634007
USER	AceptarLocal	507	START	1590565634008	1590565634008
REQUEST	508		Home	1590565634008	1590565634011	OK	 
REQUEST	509		Home	1590565634008	1590565634011	OK	 
REQUEST	102		Home	1590565634008	1590565634011	OK	 
REQUEST	506		Home	1590565634008	1590565634011	OK	 
REQUEST	507		Home	1590565634008	1590565634011	OK	 
USER	AceptarLocal	511	START	1590565634023	1590565634023
USER	AceptarLocal	510	START	1590565634023	1590565634023
USER	CrearFiesta	103	START	1590565634023	1590565634023
REQUEST	511		Home	1590565634024	1590565634026	OK	 
REQUEST	510		Home	1590565634024	1590565634026	OK	 
REQUEST	103		Home	1590565634024	1590565634026	OK	 
USER	CrearFiesta	104	START	1590565634028	1590565634028
USER	CrearFiesta	105	START	1590565634028	1590565634028
USER	AceptarLocal	512	START	1590565634028	1590565634028
USER	AceptarLocal	513	START	1590565634028	1590565634028
REQUEST	512		Home	1590565634028	1590565634032	OK	 
REQUEST	104		Home	1590565634028	1590565634032	OK	 
REQUEST	513		Home	1590565634028	1590565634032	OK	 
REQUEST	105		Home	1590565634028	1590565634032	OK	 
USER	AceptarLocal	514	START	1590565634039	1590565634039
USER	CrearFiesta	106	START	1590565634039	1590565634039
USER	AceptarLocal	515	START	1590565634039	1590565634039
USER	CrearFiesta	107	START	1590565634039	1590565634039
REQUEST	515		Home	1590565634039	1590565634042	OK	 
REQUEST	514		Home	1590565634039	1590565634042	OK	 
REQUEST	106		Home	1590565634039	1590565634042	OK	 
REQUEST	107		Home	1590565634039	1590565634042	OK	 
USER	AceptarLocal	517	START	1590565634054	1590565634054
USER	CrearFiesta	108	START	1590565634054	1590565634054
USER	CrearFiesta	109	START	1590565634054	1590565634054
USER	AceptarLocal	516	START	1590565634054	1590565634054
REQUEST	517		Home	1590565634055	1590565634058	OK	 
REQUEST	109		Home	1590565634055	1590565634058	OK	 
REQUEST	108		Home	1590565634055	1590565634058	OK	 
REQUEST	516		Home	1590565634055	1590565634058	OK	 
USER	CrearFiesta	111	START	1590565634058	1590565634058
USER	AceptarLocal	518	START	1590565634058	1590565634058
USER	AceptarLocal	519	START	1590565634059	1590565634059
USER	CrearFiesta	110	START	1590565634058	1590565634058
REQUEST	518		Home	1590565634059	1590565634062	OK	 
REQUEST	111		Home	1590565634059	1590565634062	OK	 
REQUEST	519		Home	1590565634060	1590565634063	OK	 
REQUEST	110		Home	1590565634060	1590565634063	OK	 
USER	AceptarLocal	520	START	1590565634070	1590565634070
USER	AceptarLocal	521	START	1590565634070	1590565634070
USER	CrearFiesta	113	START	1590565634070	1590565634070
USER	CrearFiesta	112	START	1590565634070	1590565634070
REQUEST	520		Home	1590565634070	1590565634074	OK	 
REQUEST	112		Home	1590565634070	1590565634074	OK	 
REQUEST	521		Home	1590565634070	1590565634074	OK	 
REQUEST	113		Home	1590565634070	1590565634074	OK	 
USER	AceptarLocal	522	START	1590565634086	1590565634086
USER	CrearFiesta	114	START	1590565634086	1590565634086
USER	AceptarLocal	523	START	1590565634086	1590565634086
USER	CrearFiesta	115	START	1590565634086	1590565634086
USER	CrearFiesta	116	START	1590565634088	1590565634088
USER	AceptarLocal	525	START	1590565634088	1590565634088
USER	AceptarLocal	524	START	1590565634088	1590565634088
USER	CrearFiesta	117	START	1590565634088	1590565634088
REQUEST	114		Home	1590565634086	1590565634090	OK	 
REQUEST	522		Home	1590565634086	1590565634091	OK	 
REQUEST	523		Home	1590565634086	1590565634091	OK	 
REQUEST	115		Home	1590565634086	1590565634091	OK	 
REQUEST	116		Home	1590565634088	1590565634093	OK	 
REQUEST	524		Home	1590565634088	1590565634093	OK	 
REQUEST	117		Home	1590565634088	1590565634093	OK	 
REQUEST	525		Home	1590565634088	1590565634093	OK	 
USER	CrearFiesta	120	START	1590565634108	1590565634108
USER	AceptarLocal	527	START	1590565634108	1590565634108
USER	AceptarLocal	528	START	1590565634108	1590565634108
USER	CrearFiesta	118	START	1590565634108	1590565634108
USER	CrearFiesta	121	START	1590565634108	1590565634108
USER	AceptarLocal	526	START	1590565634108	1590565634108
USER	CrearFiesta	119	START	1590565634108	1590565634108
USER	AceptarLocal	529	START	1590565634110	1590565634110
REQUEST	526		Home	1590565634108	1590565634112	OK	 
REQUEST	121		Home	1590565634108	1590565634112	OK	 
REQUEST	528		Home	1590565634108	1590565634112	OK	 
REQUEST	527		Home	1590565634108	1590565634113	OK	 
REQUEST	120		Home	1590565634108	1590565634114	OK	 
REQUEST	118		Home	1590565634109	1590565634114	OK	 
REQUEST	529		Home	1590565634111	1590565634114	OK	 
REQUEST	119		Home	1590565634110	1590565634114	OK	 
USER	AceptarLocal	531	START	1590565634123	1590565634123
USER	CrearFiesta	122	START	1590565634123	1590565634123
USER	CrearFiesta	123	START	1590565634123	1590565634123
USER	AceptarLocal	530	START	1590565634123	1590565634123
REQUEST	530		Home	1590565634124	1590565634127	OK	 
REQUEST	531		Home	1590565634124	1590565634127	OK	 
