ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	dp2.VerMensajesTest	vermensajestest	1590958749112	 	3.3.1
USER	VerMensajeTestPositivo	45	START	1590958751060	1590958751060
REQUEST	45		Welcome	1590958751061	1590958751063	OK	 
USER	VerMensajesTestNegativo	127	START	1590958751071	1590958751071
REQUEST	127		Welcome	1590958751072	1590958751074	OK	 
USER	VerMensajeTestPositivo	46	START	1590958751076	1590958751076
REQUEST	46		Welcome	1590958751076	1590958751079	OK	 
USER	VerMensajesTestNegativo	128	START	1590958751086	1590958751086
REQUEST	128		Welcome	1590958751087	1590958751089	OK	 
USER	VerMensajeTestPositivo	47	START	1590958751107	1590958751107
REQUEST	47		Welcome	1590958751108	1590958751110	OK	 
USER	VerMensajesTestNegativo	129	START	1590958751118	1590958751118
REQUEST	129		Welcome	1590958751119	1590958751121	OK	 
USER	VerMensajeTestPositivo	48	START	1590958751129	1590958751129
REQUEST	48		Welcome	1590958751130	1590958751134	OK	 
USER	VerMensajesTestNegativo	130	START	1590958751140	1590958751140
REQUEST	130		Welcome	1590958751141	1590958751143	OK	 
USER	VerMensajeTestPositivo	49	START	1590958751161	1590958751161
REQUEST	49		Welcome	1590958751161	1590958751163	OK	 
USER	VerMensajesTestNegativo	131	START	1590958751172	1590958751172
REQUEST	131		Welcome	1590958751173	1590958751175	OK	 
USER	VerMensajeTestPositivo	50	START	1590958751176	1590958751176
REQUEST	50		Welcome	1590958751176	1590958751178	OK	 
USER	VerMensajesTestNegativo	132	START	1590958751186	1590958751186
REQUEST	132		Welcome	1590958751186	1590958751189	OK	 
USER	VerMensajeTestPositivo	51	START	1590958751207	1590958751207
REQUEST	51		Welcome	1590958751207	1590958751210	OK	 
USER	VerMensajesTestNegativo	133	START	1590958751218	1590958751218
REQUEST	133		Welcome	1590958751219	1590958751221	OK	 
USER	VerMensajeTestPositivo	52	START	1590958751229	1590958751229
REQUEST	52		Welcome	1590958751229	1590958751231	OK	 
USER	VerMensajesTestNegativo	134	START	1590958751239	1590958751239
REQUEST	134		Welcome	1590958751239	1590958751241	OK	 
USER	VerMensajeTestPositivo	53	START	1590958751260	1590958751260
REQUEST	53		Welcome	1590958751260	1590958751262	OK	 
USER	VerMensajesTestNegativo	135	START	1590958751270	1590958751270
REQUEST	135		Welcome	1590958751271	1590958751273	OK	 
USER	VerMensajeTestPositivo	54	START	1590958751281	1590958751281
