ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	dp2.AceptarLocalTest	aceptarlocaltest	1590257529057	 	3.3.1
REQUEST	10		Welcome	1590257530906	1590257530908	OK	 
USER	AceptarLocalTestNegativo	42	START	1590257530953	1590257530953
REQUEST	42		Welcome	1590257530953	1590257530957	OK	 
USER	AceptarLocalTestPositivo	11	START	1590257530957	1590257530957
REQUEST	11		Welcome	1590257530958	1590257530960	OK	 
USER	AceptarLocalTestNegativo	43	START	1590257531017	1590257531017
REQUEST	43		Welcome	1590257531017	1590257531020	OK	 
USER	AceptarLocalTestPositivo	12	START	1590257531033	1590257531033
REQUEST	12		Welcome	1590257531033	1590257531037	OK	 
USER	AceptarLocalTestNegativo	44	START	1590257531095	1590257531095
USER	AceptarLocalTestPositivo	13	START	1590257531097	1590257531097
REQUEST	44		Welcome	1590257531096	1590257531099	OK	 
REQUEST	13		Welcome	1590257531097	1590257531099	OK	 
USER	AceptarLocalTestNegativo	45	START	1590257531147	1590257531147
REQUEST	45		Welcome	1590257531147	1590257531150	OK	 
USER	AceptarLocalTestPositivo	14	START	1590257531158	1590257531158
REQUEST	14		Welcome	1590257531158	1590257531161	OK	 
USER	AceptarLocalTestNegativo	46	START	1590257531220	1590257531220
REQUEST	46		Welcome	1590257531221	1590257531227	OK	 
USER	AceptarLocalTestPositivo	15	START	1590257531235	1590257531235
REQUEST	15		Welcome	1590257531235	1590257531238	OK	 
USER	AceptarLocalTestNegativo	47	START	1590257531287	1590257531287
REQUEST	47		Welcome	1590257531287	1590257531290	OK	 
USER	AceptarLocalTestPositivo	16	START	1590257531298	1590257531298
REQUEST	16		Welcome	1590257531299	1590257531301	OK	 
USER	AceptarLocalTestNegativo	48	START	1590257531350	1590257531350
REQUEST	48		Welcome	1590257531351	1590257531353	OK	 
USER	AceptarLocalTestPositivo	17	START	1590257531366	1590257531366
REQUEST	17		Welcome	1590257531366	1590257531369	OK	 
USER	AceptarLocalTestNegativo	49	START	1590257531417	1590257531417
REQUEST	49		Welcome	1590257531418	1590257531424	OK	 
USER	AceptarLocalTestPositivo	18	START	1590257531444	1590257531444
REQUEST	18		Welcome	1590257531446	1590257531451	OK	 
USER	AceptarLocalTestNegativo	50	START	1590257531491	1590257531491
REQUEST	50		Welcome	1590257531491	1590257531493	OK	 
USER	AceptarLocalTestPositivo	19	START	1590257531506	1590257531506
REQUEST	19		Welcome	1590257531507	1590257531509	OK	 
USER	AceptarLocalTestNegativo	51	START	1590257531553	1590257531553
REQUEST	51		Welcome	1590257531554	1590257531557	OK	 
USER	AceptarLocalTestPositivo	20	START	1590257531557	1590257531557
REQUEST	20		Welcome	1590257531558	1590257531560	OK	 
USER	AceptarLocalTestNegativo	52	START	1590257531619	1590257531619
REQUEST	52		Welcome	1590257531620	1590257531622	OK	 
USER	AceptarLocalTestPositivo	21	START	1590257531635	1590257531635
REQUEST	21		Welcome	1590257531635	1590257531638	OK	 
USER	AceptarLocalTestPositivo	22	START	1590257531697	1590257531697
USER	AceptarLocalTestNegativo	53	START	1590257531697	1590257531697
REQUEST	53		Welcome	1590257531698	1590257531700	OK	 
REQUEST	22		Welcome	1590257531698	1590257531700	OK	 
USER	AceptarLocalTestNegativo	54	START	1590257531747	1590257531747
REQUEST	54		Welcome	1590257531747	1590257531749	OK	 
USER	AceptarLocalTestPositivo	23	START	1590257531760	1590257531760
REQUEST	23		Welcome	1590257531761	1590257531763	OK	 
USER	AceptarLocalTestNegativo	55	START	1590257531825	1590257531825
USER	AceptarLocalTestPositivo	24	START	1590257531827	1590257531827
REQUEST	55		Welcome	1590257531825	1590257531828	OK	 
REQUEST	24		Welcome	1590257531827	1590257531831	OK	 
USER	AceptarLocalTestNegativo	56	START	1590257531887	1590257531887
REQUEST	56		Welcome	1590257531887	1590257531890	OK	 
USER	AceptarLocalTestPositivo	25	START	1590257531903	1590257531903
REQUEST	25		Welcome	1590257531904	1590257531906	OK	 
USER	AceptarLocalTestNegativo	57	START	1590257531950	1590257531950
REQUEST	57		Welcome	1590257531950	1590257531953	OK	 
USER	AceptarLocalTestPositivo	26	START	1590257531965	1590257531965
REQUEST	26		Welcome	1590257531966	1590257531968	OK	 
USER	AceptarLocalTestNegativo	58	START	1590257532017	1590257532017
REQUEST	58		Welcome	1590257532018	1590257532024	OK	 
USER	AceptarLocalTestPositivo	27	START	1590257532044	1590257532044
REQUEST	27		Welcome	1590257532045	1590257532051	OK	 
USER	AceptarLocalTestNegativo	59	START	1590257532101	1590257532101
USER	AceptarLocalTestPositivo	28	START	1590257532101	1590257532101
REQUEST	28		Welcome	1590257532101	1590257532104	OK	 
REQUEST	59		Welcome	1590257532101	1590257532104	OK	 
USER	AceptarLocalTestNegativo	60	START	1590257532147	1590257532147
REQUEST	60		Welcome	1590257532148	1590257532150	OK	 
USER	AceptarLocalTestPositivo	29	START	1590257532157	1590257532157
REQUEST	29		Welcome	1590257532158	1590257532160	OK	 
USER	AceptarLocalTestNegativo	61	START	1590257532221	1590257532221
REQUEST	61		Welcome	1590257532221	1590257532225	OK	 
USER	AceptarLocalTestPositivo	30	START	1590257532231	1590257532231
REQUEST	30		Welcome	1590257532232	1590257532237	OK	 
USER	AceptarLocalTestNegativo	62	START	1590257532287	1590257532287
REQUEST	62		Welcome	1590257532287	1590257532289	OK	 
USER	AceptarLocalTestPositivo	31	START	1590257532297	1590257532297
REQUEST	31		Welcome	1590257532298	1590257532300	OK	 
USER	AceptarLocalTestNegativo	78	START	1590257532362	1590257532362
USER	AceptarLocalTestPositivo	63	START	1590257532362	1590257532362
REQUEST	78		Welcome	1590257532363	1590257532367	OK	 
REQUEST	63		Welcome	1590257532363	1590257532367	OK	 
USER	AceptarLocalTestPositivo	64	START	1590257532430	1590257532430
USER	AceptarLocalTestNegativo	79	START	1590257532430	1590257532430
REQUEST	79		Welcome	1590257532431	1590257532437	OK	 
REQUEST	64		Welcome	1590257532431	1590257532437	OK	 
USER	AceptarLocalTestPositivo	65	START	1590257532491	1590257532491
USER	AceptarLocalTestNegativo	80	START	1590257532491	1590257532491
REQUEST	80		Welcome	1590257532491	1590257532494	OK	 
REQUEST	65		Welcome	1590257532491	1590257532494	OK	 
USER	AceptarLocalTestPositivo	66	START	1590257532557	1590257532557
USER	AceptarLocalTestNegativo	81	START	1590257532557	1590257532557
REQUEST	81		Welcome	1590257532557	1590257532560	OK	 
REQUEST	66		Welcome	1590257532557	1590257532560	OK	 
USER	AceptarLocalTestNegativo	82	START	1590257532627	1590257532627
USER	AceptarLocalTestPositivo	67	START	1590257532627	1590257532627
REQUEST	67		Welcome	1590257532628	1590257532630	OK	 
REQUEST	82		Welcome	1590257532628	1590257532631	OK	 
USER	AceptarLocalTestNegativo	83	START	1590257532690	1590257532690
USER	AceptarLocalTestPositivo	68	START	1590257532690	1590257532690
REQUEST	83		Welcome	1590257532690	1590257532693	OK	 
REQUEST	68		Welcome	1590257532690	1590257532693	OK	 
USER	AceptarLocalTestNegativo	84	START	1590257532757	1590257532757
USER	AceptarLocalTestPositivo	69	START	1590257532757	1590257532757
REQUEST	69		Welcome	1590257532757	1590257532760	OK	 
REQUEST	84		Welcome	1590257532757	1590257532760	OK	 
USER	AceptarLocalTestNegativo	85	START	1590257532832	1590257532832
USER	AceptarLocalTestPositivo	70	START	1590257532832	1590257532832
REQUEST	85		Welcome	1590257532833	1590257532835	OK	 
REQUEST	70		Welcome	1590257532833	1590257532835	OK	 
USER	AceptarLocalTestPositivo	71	START	1590257532891	1590257532891
USER	AceptarLocalTestNegativo	86	START	1590257532891	1590257532891
REQUEST	86		Welcome	1590257532891	1590257532893	OK	 
REQUEST	71		Welcome	1590257532891	1590257532893	OK	 
USER	AceptarLocalTestNegativo	87	START	1590257532957	1590257532957
USER	AceptarLocalTestPositivo	72	START	1590257532957	1590257532957
REQUEST	72		Welcome	1590257532957	1590257532960	OK	 
REQUEST	87		Welcome	1590257532957	1590257532960	OK	 
USER	AceptarLocalTestNegativo	88	START	1590257533031	1590257533031
USER	AceptarLocalTestPositivo	73	START	1590257533031	1590257533031
REQUEST	73		Welcome	1590257533032	1590257533034	OK	 
REQUEST	88		Welcome	1590257533032	1590257533034	OK	 
USER	AceptarLocalTestNegativo	89	START	1590257533094	1590257533094
USER	AceptarLocalTestPositivo	74	START	1590257533094	1590257533094
REQUEST	89		Welcome	1590257533095	1590257533101	OK	 
REQUEST	74		Welcome	1590257533095	1590257533101	OK	 
USER	AceptarLocalTestNegativo	90	START	1590257533157	1590257533157
USER	AceptarLocalTestPositivo	75	START	1590257533157	1590257533157
REQUEST	90		Welcome	1590257533157	1590257533160	OK	 
REQUEST	75		Welcome	1590257533157	1590257533160	OK	 
USER	AceptarLocalTestNegativo	91	START	1590257533234	1590257533234
USER	AceptarLocalTestPositivo	76	START	1590257533234	1590257533234
REQUEST	91		Welcome	1590257533235	1590257533241	OK	 
REQUEST	76		Welcome	1590257533235	1590257533241	OK	 
USER	AceptarLocalTestNegativo	92	START	1590257533312	1590257533312
USER	AceptarLocalTestPositivo	77	START	1590257533312	1590257533312
REQUEST	77		Welcome	1590257533313	1590257533319	OK	 
REQUEST	92		Welcome	1590257533313	1590257533319	OK	 
USER	AceptarLocalTestNegativo	108	START	1590257533337	1590257533337
REQUEST	108		Welcome	1590257533338	1590257533342	OK	 
USER	AceptarLocalTestPositivo	93	START	1590257533350	1590257533350
REQUEST	93		Welcome	1590257533351	1590257533356	OK	 
USER	AceptarLocalTestPositivo	94	START	1590257533412	1590257533412
USER	AceptarLocalTestNegativo	109	START	1590257533412	1590257533412
REQUEST	94		Welcome	1590257533412	1590257533416	OK	 
REQUEST	109		Welcome	1590257533412	1590257533416	OK	 
USER	AceptarLocalTestPositivo	95	START	1590257533477	1590257533477
USER	AceptarLocalTestNegativo	110	START	1590257533477	1590257533477
REQUEST	110		Welcome	1590257533478	1590257533484	OK	 
REQUEST	95		Welcome	1590257533478	1590257533484	OK	 
USER	AceptarLocalTestNegativo	111	START	1590257533537	1590257533537
REQUEST	111		Welcome	1590257533537	1590257533540	OK	 
USER	AceptarLocalTestPositivo	96	START	1590257533553	1590257533553
REQUEST	96		Welcome	1590257533553	1590257533555	OK	 
USER	AceptarLocalTestPositivo	97	START	1590257533615	1590257533615
USER	AceptarLocalTestNegativo	112	START	1590257533615	1590257533615
REQUEST	97		Welcome	1590257533616	1590257533619	OK	 
REQUEST	112		Welcome	1590257533616	1590257533619	OK	 
USER	AceptarLocalTestPositivo	98	START	1590257533678	1590257533678
USER	AceptarLocalTestNegativo	113	START	1590257533678	1590257533678
REQUEST	98		Welcome	1590257533678	1590257533681	OK	 
REQUEST	113		Welcome	1590257533678	1590257533681	OK	 
USER	AceptarLocalTestNegativo	114	START	1590257533740	1590257533740
REQUEST	114		Welcome	1590257533741	1590257533743	OK	 
USER	AceptarLocalTestPositivo	99	START	1590257533756	1590257533756
REQUEST	99		Welcome	1590257533756	1590257533758	OK	 
USER	AceptarLocalTestNegativo	115	START	1590257533807	1590257533807
USER	AceptarLocalTestPositivo	100	START	1590257533807	1590257533807
REQUEST	115		Welcome	1590257533807	1590257533810	OK	 
REQUEST	100		Welcome	1590257533807	1590257533810	OK	 
USER	AceptarLocalTestNegativo	116	START	1590257533881	1590257533881
USER	AceptarLocalTestPositivo	101	START	1590257533881	1590257533881
REQUEST	101		Welcome	1590257533882	1590257533887	OK	 
REQUEST	116		Welcome	1590257533882	1590257533887	OK	 
USER	AceptarLocalTestNegativo	117	START	1590257533943	1590257533943
REQUEST	117		Welcome	1590257533943	1590257533946	OK	 
USER	AceptarLocalTestPositivo	102	START	1590257533947	1590257533947
REQUEST	102		Welcome	1590257533947	1590257533949	OK	 
USER	AceptarLocalTestNegativo	118	START	1590257534007	1590257534007
USER	AceptarLocalTestPositivo	103	START	1590257534007	1590257534007
REQUEST	103		Welcome	1590257534007	1590257534009	OK	 
REQUEST	118		Welcome	1590257534007	1590257534009	OK	 
USER	AceptarLocalTestNegativo	119	START	1590257534084	1590257534084
USER	AceptarLocalTestPositivo	104	START	1590257534084	1590257534084
REQUEST	119		Welcome	1590257534084	1590257534088	OK	 
REQUEST	104		Welcome	1590257534084	1590257534088	OK	 
USER	AceptarLocalTestNegativo	120	START	1590257534146	1590257534146
USER	AceptarLocalTestPositivo	105	START	1590257534147	1590257534147
REQUEST	120		Welcome	1590257534147	1590257534151	OK	 
REQUEST	105		Welcome	1590257534148	1590257534151	OK	 
USER	AceptarLocalTestNegativo	121	START	1590257534209	1590257534209
USER	AceptarLocalTestPositivo	106	START	1590257534209	1590257534209
REQUEST	106		Welcome	1590257534209	1590257534212	OK	 
REQUEST	121		Welcome	1590257534209	1590257534212	OK	 
USER	AceptarLocalTestNegativo	122	START	1590257534287	1590257534287
USER	AceptarLocalTestPositivo	107	START	1590257534287	1590257534287
REQUEST	107		Welcome	1590257534287	1590257534290	OK	 
REQUEST	122		Welcome	1590257534287	1590257534290	OK	 
USER	AceptarLocalTestPositivo	123	START	1590257534365	1590257534365
USER	AceptarLocalTestNegativo	138	START	1590257534365	1590257534365
REQUEST	123		Welcome	1590257534365	1590257534371	OK	 
REQUEST	138		Welcome	1590257534365	1590257534371	OK	 
USER	AceptarLocalTestPositivo	124	START	1590257534431	1590257534431
USER	AceptarLocalTestNegativo	139	START	1590257534431	1590257534431
REQUEST	139		Welcome	1590257534432	1590257534434	OK	 
REQUEST	124		Welcome	1590257534432	1590257534434	OK	 
USER	AceptarLocalTestPositivo	125	START	1590257534494	1590257534494
USER	AceptarLocalTestNegativo	140	START	1590257534494	1590257534494
REQUEST	125		Welcome	1590257534495	1590257534497	OK	 
REQUEST	140		Welcome	1590257534495	1590257534497	OK	 
USER	AceptarLocalTestPositivo	126	START	1590257534557	1590257534557
USER	AceptarLocalTestNegativo	141	START	1590257534557	1590257534557
REQUEST	141		Welcome	1590257534557	1590257534560	OK	 
REQUEST	126		Welcome	1590257534557	1590257534560	OK	 
USER	AceptarLocalTestNegativo	142	START	1590257534634	1590257534634
USER	AceptarLocalTestPositivo	127	START	1590257534634	1590257534634
REQUEST	142		Welcome	1590257534635	1590257534638	OK	 
REQUEST	127		Welcome	1590257534635	1590257534638	OK	 
USER	AceptarLocalTestNegativo	143	START	1590257534713	1590257534713
USER	AceptarLocalTestPositivo	128	START	1590257534713	1590257534713
REQUEST	143		Welcome	1590257534713	1590257534716	OK	 
REQUEST	128		Welcome	1590257534713	1590257534716	OK	 
USER	AceptarLocalTestNegativo	144	START	1590257534763	1590257534763
USER	AceptarLocalTestPositivo	129	START	1590257534763	1590257534763
REQUEST	144		Welcome	1590257534764	1590257534766	OK	 
REQUEST	129		Welcome	1590257534764	1590257534766	OK	 
USER	AceptarLocalTestPositivo	130	START	1590257534827	1590257534827
USER	AceptarLocalTestNegativo	145	START	1590257534827	1590257534827
REQUEST	145		Welcome	1590257534827	1590257534830	OK	 
REQUEST	130		Welcome	1590257534827	1590257534830	OK	 
USER	AceptarLocalTestNegativo	146	START	1590257534888	1590257534888
USER	AceptarLocalTestPositivo	131	START	1590257534888	1590257534888
REQUEST	131		Welcome	1590257534889	1590257534892	OK	 
REQUEST	146		Welcome	1590257534889	1590257534892	OK	 
USER	AceptarLocalTestPositivo	132	START	1590257534966	1590257534966
USER	AceptarLocalTestNegativo	147	START	1590257534966	1590257534966
REQUEST	147		Welcome	1590257534966	1590257534969	OK	 
REQUEST	132		Welcome	1590257534966	1590257534969	OK	 
USER	AceptarLocalTestNegativo	148	START	1590257535029	1590257535029
USER	AceptarLocalTestPositivo	133	START	1590257535029	1590257535029
REQUEST	148		Welcome	1590257535029	1590257535032	OK	 
REQUEST	133		Welcome	1590257535029	1590257535032	OK	 
USER	AceptarLocalTestNegativo	149	START	1590257535091	1590257535091
USER	AceptarLocalTestPositivo	134	START	1590257535091	1590257535091
REQUEST	134		Welcome	1590257535092	1590257535095	OK	 
REQUEST	149		Welcome	1590257535092	1590257535095	OK	 
USER	AceptarLocalTestPositivo	135	START	1590257535157	1590257535157
USER	AceptarLocalTestNegativo	150	START	1590257535157	1590257535157
REQUEST	150		Welcome	1590257535157	1590257535160	OK	 
REQUEST	135		Welcome	1590257535157	1590257535160	OK	 
USER	AceptarLocalTestNegativo	151	START	1590257535232	1590257535232
USER	AceptarLocalTestPositivo	136	START	1590257535232	1590257535232
REQUEST	151		Welcome	1590257535232	1590257535235	OK	 
REQUEST	136		Welcome	1590257535232	1590257535235	OK	 
USER	AceptarLocalTestPositivo	137	START	1590257535294	1590257535294
USER	AceptarLocalTestNegativo	152	START	1590257535294	1590257535294
REQUEST	137		Welcome	1590257535294	1590257535296	OK	 
REQUEST	152		Welcome	1590257535294	1590257535296	OK	 
USER	AceptarLocalTestPositivo	153	START	1590257535341	1590257535341
USER	AceptarLocalTestNegativo	168	START	1590257535341	1590257535341
REQUEST	153		Welcome	1590257535342	1590257535356	OK	 
REQUEST	168		Welcome	1590257535342	1590257535356	OK	 
USER	AceptarLocalTestNegativo	169	START	1590257535407	1590257535407
USER	AceptarLocalTestPositivo	154	START	1590257535407	1590257535407
REQUEST	154		Welcome	1590257535407	1590257535412	OK	 
REQUEST	169		Welcome	1590257535407	1590257535412	OK	 
USER	AceptarLocalTestNegativo	170	START	1590257535477	1590257535477
USER	AceptarLocalTestPositivo	155	START	1590257535477	1590257535477
REQUEST	155		Welcome	1590257535477	1590257535479	OK	 
REQUEST	170		Welcome	1590257535477	1590257535479	OK	 
USER	AceptarLocalTestPositivo	156	START	1590257535537	1590257535537
USER	AceptarLocalTestNegativo	171	START	1590257535537	1590257535537
REQUEST	156		Welcome	1590257535537	1590257535540	OK	 
REQUEST	171		Welcome	1590257535537	1590257535540	OK	 
USER	AceptarLocalTestPositivo	157	START	1590257535615	1590257535615
USER	AceptarLocalTestNegativo	172	START	1590257535615	1590257535615
REQUEST	157		Welcome	1590257535615	1590257535618	OK	 
REQUEST	172		Welcome	1590257535615	1590257535618	OK	 
USER	AceptarLocalTestPositivo	158	START	1590257535677	1590257535677
USER	AceptarLocalTestNegativo	173	START	1590257535677	1590257535677
REQUEST	173		Welcome	1590257535678	1590257535683	OK	 
REQUEST	158		Welcome	1590257535678	1590257535683	OK	 
USER	AceptarLocalTestPositivo	159	START	1590257535740	1590257535740
USER	AceptarLocalTestNegativo	174	START	1590257535740	1590257535740
REQUEST	159		Welcome	1590257535740	1590257535742	OK	 
REQUEST	174		Welcome	1590257535740	1590257535751	OK	 
USER	AceptarLocalTestNegativo	175	START	1590257535808	1590257535808
USER	AceptarLocalTestPositivo	160	START	1590257535808	1590257535808
REQUEST	175		Welcome	1590257535808	1590257535811	OK	 
REQUEST	160		Welcome	1590257535808	1590257535811	OK	 
USER	AceptarLocalTestNegativo	176	START	1590257535886	1590257535886
USER	AceptarLocalTestPositivo	161	START	1590257535886	1590257535886
REQUEST	161		Welcome	1590257535887	1590257535890	OK	 
REQUEST	176		Welcome	1590257535887	1590257535890	OK	 
USER	AceptarLocalTestPositivo	162	START	1590257535937	1590257535937
USER	AceptarLocalTestNegativo	177	START	1590257535937	1590257535937
REQUEST	162		Welcome	1590257535938	1590257535943	OK	 
REQUEST	177		Welcome	1590257535938	1590257535943	OK	 
USER	AceptarLocalTestPositivo	163	START	1590257536013	1590257536013
USER	AceptarLocalTestNegativo	178	START	1590257536013	1590257536013
REQUEST	178		Welcome	1590257536014	1590257536016	OK	 
REQUEST	163		Welcome	1590257536014	1590257536016	OK	 
USER	AceptarLocalTestNegativo	179	START	1590257536077	1590257536077
USER	AceptarLocalTestPositivo	164	START	1590257536077	1590257536077
REQUEST	179		Welcome	1590257536077	1590257536079	OK	 
REQUEST	164		Welcome	1590257536077	1590257536079	OK	 
USER	AceptarLocalTestNegativo	180	START	1590257536154	1590257536154
USER	AceptarLocalTestPositivo	165	START	1590257536154	1590257536154
REQUEST	165		Welcome	1590257536154	1590257536156	OK	 
REQUEST	180		Welcome	1590257536154	1590257536156	OK	 
USER	AceptarLocalTestNegativo	181	START	1590257536216	1590257536216
USER	AceptarLocalTestPositivo	166	START	1590257536216	1590257536216
REQUEST	181		Welcome	1590257536217	1590257536220	OK	 
REQUEST	166		Welcome	1590257536217	1590257536220	OK	 
USER	AceptarLocalTestNegativo	182	START	1590257536279	1590257536279
USER	AceptarLocalTestPositivo	167	START	1590257536279	1590257536279
REQUEST	182		Welcome	1590257536279	1590257536282	OK	 
REQUEST	167		Welcome	1590257536279	1590257536282	OK	 
USER	AceptarLocalTestPositivo	183	START	1590257536357	1590257536357
USER	AceptarLocalTestNegativo	198	START	1590257536357	1590257536357
REQUEST	198		Welcome	1590257536358	1590257536363	OK	 
REQUEST	183		Welcome	1590257536358	1590257536363	OK	 
REQUEST	1		RightLogin	1590257536327	1590257536329	OK	 
REQUEST	33		WrongLogin	1590257536372	1590257536373	OK	 
REQUEST	32		WrongLogin	1590257536327	1590257536329	OK	 
REQUEST	2		RightLogin	1590257536372	1590257536373	OK	 
USER	AceptarLocalTestNegativo	199	START	1590257536435	1590257536435
USER	AceptarLocalTestPositivo	184	START	1590257536435	1590257536435
REQUEST	184		Welcome	1590257536435	1590257536438	OK	 
REQUEST	199		Welcome	1590257536435	1590257536438	OK	 
REQUEST	34		WrongLogin	1590257536437	1590257536438	OK	 
REQUEST	3		RightLogin	1590257536469	1590257536470	OK	 
USER	AceptarLocalTestNegativo	200	START	1590257536487	1590257536487
USER	AceptarLocalTestPositivo	185	START	1590257536487	1590257536487
REQUEST	200		Welcome	1590257536487	1590257536490	OK	 
REQUEST	185		Welcome	1590257536487	1590257536490	OK	 
REQUEST	4		RightLogin	1590257536517	1590257536518	OK	 
REQUEST	35		WrongLogin	1590257536517	1590257536518	OK	 
USER	AceptarLocalTestPositivo	186	START	1590257536563	1590257536563
USER	AceptarLocalTestNegativo	201	START	1590257536563	1590257536563
REQUEST	186		Welcome	1590257536564	1590257536566	OK	 
REQUEST	201		Welcome	1590257536564	1590257536566	OK	 
REQUEST	36		WrongLogin	1590257536579	1590257536580	OK	 
REQUEST	5		RightLogin	1590257536610	1590257536611	OK	 
USER	AceptarLocalTestNegativo	202	START	1590257536627	1590257536627
USER	AceptarLocalTestPositivo	187	START	1590257536627	1590257536627
REQUEST	187		Welcome	1590257536628	1590257536632	OK	 
REQUEST	202		Welcome	1590257536628	1590257536632	OK	 
REQUEST	37		WrongLogin	1590257536657	1590257536658	OK	 
REQUEST	6		RightLogin	1590257536657	1590257536658	OK	 
USER	AceptarLocalTestNegativo	203	START	1590257536688	1590257536688
USER	AceptarLocalTestPositivo	188	START	1590257536688	1590257536688
REQUEST	188		Welcome	1590257536689	1590257536691	OK	 
REQUEST	203		Welcome	1590257536689	1590257536691	OK	 
REQUEST	38		WrongLogin	1590257536719	1590257536720	OK	 
REQUEST	7		RightLogin	1590257536751	1590257536752	OK	 
USER	AceptarLocalTestPositivo	189	START	1590257536766	1590257536766
REQUEST	189		Welcome	1590257536767	1590257536769	OK	 
USER	AceptarLocalTestNegativo	204	START	1590257536766	1590257536766
REQUEST	39		WrongLogin	1590257536767	1590257536781	OK	 
REQUEST	204		Welcome	1590257536781	1590257536782	OK	 
REQUEST	8		RightLogin	1590257536798	1590257536799	OK	 
USER	AceptarLocalTestPositivo	190	START	1590257536829	1590257536829
REQUEST	190		Welcome	1590257536829	1590257536831	OK	 
USER	AceptarLocalTestNegativo	205	START	1590257536829	1590257536829
REQUEST	205		Welcome	1590257536845	1590257536847	OK	 
REQUEST	9		RightLogin	1590257536860	1590257536861	OK	 
REQUEST	40		WrongLogin	1590257536860	1590257536861	OK	 
USER	AceptarLocalTestPositivo	191	START	1590257536891	1590257536891
USER	AceptarLocalTestNegativo	206	START	1590257536891	1590257536891
REQUEST	206		Welcome	1590257536892	1590257536894	OK	 
REQUEST	191		Welcome	1590257536892	1590257536894	OK	 
REQUEST	41		WrongLogin	1590257536907	1590257536908	OK	 
REQUEST	10		RightLogin	1590257536927	1590257536928	OK	 
USER	AceptarLocalTestNegativo	207	START	1590257536957	1590257536957
USER	AceptarLocalTestPositivo	192	START	1590257536957	1590257536957
REQUEST	207		Welcome	1590257536957	1590257536959	OK	 
REQUEST	192		Welcome	1590257536957	1590257536959	OK	 
REQUEST	11		RightLogin	1590257536985	1590257536986	OK	 
REQUEST	42		WrongLogin	1590257536985	1590257536986	OK	 
USER	AceptarLocalTestPositivo	193	START	1590257537032	1590257537032
USER	AceptarLocalTestNegativo	208	START	1590257537032	1590257537032
REQUEST	193		Welcome	1590257537033	1590257537035	OK	 
REQUEST	208		Welcome	1590257537033	1590257537035	OK	 
REQUEST	43		WrongLogin	1590257537037	1590257537037	OK	 
REQUEST	12		RightLogin	1590257537063	1590257537064	OK	 
USER	AceptarLocalTestPositivo	194	START	1590257537094	1590257537094
USER	AceptarLocalTestNegativo	209	START	1590257537094	1590257537094
REQUEST	209		Welcome	1590257537095	1590257537097	OK	 
REQUEST	194		Welcome	1590257537095	1590257537097	OK	 
