ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	DashboardTest	dashboardtest	1590851489531	 	3.3.1
REQUEST	11		Home	1590851490615	1590851490619	OK	 
USER	VerDashboardPositivo	12	START	1590851490637	1590851490637
USER	VerDashboardNegativo	113	START	1590851490637	1590851490637
REQUEST	12		Home	1590851490637	1590851490641	OK	 
REQUEST	113		Home	1590851490637	1590851490641	OK	 
USER	VerDashboardPositivo	13	START	1590851490658	1590851490658
USER	VerDashboardNegativo	114	START	1590851490658	1590851490658
REQUEST	13		Home	1590851490658	1590851490662	OK	 
REQUEST	114		Home	1590851490658	1590851490662	OK	 
USER	VerDashboardNegativo	115	START	1590851490673	1590851490673
USER	VerDashboardPositivo	14	START	1590851490673	1590851490673
REQUEST	115		Home	1590851490674	1590851490677	OK	 
REQUEST	14		Home	1590851490674	1590851490677	OK	 
USER	VerDashboardNegativo	116	START	1590851490695	1590851490695
USER	VerDashboardPositivo	15	START	1590851490695	1590851490695
REQUEST	15		Home	1590851490696	1590851490700	OK	 
REQUEST	116		Home	1590851490696	1590851490700	OK	 
USER	VerDashboardPositivo	16	START	1590851490717	1590851490717
USER	VerDashboardNegativo	117	START	1590851490717	1590851490717
REQUEST	117		Home	1590851490717	1590851490721	OK	 
REQUEST	16		Home	1590851490717	1590851490721	OK	 
USER	VerDashboardNegativo	118	START	1590851490738	1590851490738
USER	VerDashboardPositivo	17	START	1590851490738	1590851490738
REQUEST	118		Home	1590851490738	1590851490741	OK	 
REQUEST	17		Home	1590851490738	1590851490741	OK	 
USER	VerDashboardPositivo	18	START	1590851490753	1590851490753
USER	VerDashboardNegativo	119	START	1590851490753	1590851490753
REQUEST	18		Home	1590851490753	1590851490757	OK	 
REQUEST	119		Home	1590851490753	1590851490757	OK	 
USER	VerDashboardNegativo	120	START	1590851490775	1590851490775
USER	VerDashboardPositivo	19	START	1590851490775	1590851490775
REQUEST	120		Home	1590851490775	1590851490778	OK	 
REQUEST	19		Home	1590851490775	1590851490778	OK	 
USER	VerDashboardPositivo	20	START	1590851490795	1590851490795
USER	VerDashboardNegativo	121	START	1590851490795	1590851490795
REQUEST	121		Home	1590851490796	1590851490799	OK	 
REQUEST	20		Home	1590851490796	1590851490799	OK	 
USER	VerDashboardNegativo	122	START	1590851490816	1590851490816
USER	VerDashboardPositivo	21	START	1590851490816	1590851490816
REQUEST	21		Home	1590851490816	1590851490820	OK	 
REQUEST	122		Home	1590851490816	1590851490820	OK	 
USER	VerDashboardNegativo	123	START	1590851490836	1590851490836
USER	VerDashboardPositivo	22	START	1590851490836	1590851490836
REQUEST	22		Home	1590851490837	1590851490840	OK	 
REQUEST	123		Home	1590851490837	1590851490840	OK	 
USER	VerDashboardNegativo	124	START	1590851490857	1590851490857
USER	VerDashboardPositivo	23	START	1590851490857	1590851490857
REQUEST	23		Home	1590851490858	1590851490861	OK	 
REQUEST	124		Home	1590851490858	1590851490861	OK	 
USER	VerDashboardPositivo	24	START	1590851490878	1590851490878
USER	VerDashboardNegativo	125	START	1590851490878	1590851490878
REQUEST	125		Home	1590851490879	1590851490882	OK	 
REQUEST	24		Home	1590851490879	1590851490883	OK	 
USER	VerDashboardNegativo	126	START	1590851490893	1590851490893
USER	VerDashboardPositivo	25	START	1590851490893	1590851490893
REQUEST	126		Home	1590851490893	1590851490897	OK	 
REQUEST	25		Home	1590851490893	1590851490897	OK	 
USER	VerDashboardPositivo	26	START	1590851490915	1590851490915
USER	VerDashboardNegativo	127	START	1590851490915	1590851490915
REQUEST	127		Home	1590851490915	1590851490918	OK	 
REQUEST	26		Home	1590851490915	1590851490919	OK	 
USER	VerDashboardNegativo	128	START	1590851490936	1590851490936
USER	VerDashboardPositivo	27	START	1590851490936	1590851490936
REQUEST	128		Home	1590851490936	1590851490939	OK	 
REQUEST	27		Home	1590851490936	1590851490939	OK	 
USER	VerDashboardNegativo	129	START	1590851490956	1590851490956
USER	VerDashboardPositivo	28	START	1590851490956	1590851490956
REQUEST	129		Home	1590851490957	1590851490960	OK	 
REQUEST	28		Home	1590851490957	1590851490960	OK	 
USER	VerDashboardPositivo	29	START	1590851490978	1590851490978
USER	VerDashboardNegativo	130	START	1590851490978	1590851490978
REQUEST	29		Home	1590851490979	1590851490982	OK	 
REQUEST	130		Home	1590851490979	1590851490982	OK	 
USER	VerDashboardNegativo	131	START	1590851490993	1590851490993
USER	VerDashboardPositivo	30	START	1590851490993	1590851490993
REQUEST	131		Home	1590851490993	1590851490997	OK	 
REQUEST	30		Home	1590851490993	1590851490997	OK	 
USER	VerDashboardPositivo	31	START	1590851491013	1590851491013
USER	VerDashboardNegativo	132	START	1590851491013	1590851491013
REQUEST	132		Home	1590851491014	1590851491017	OK	 
REQUEST	31		Home	1590851491014	1590851491017	OK	 
USER	VerDashboardNegativo	133	START	1590851491035	1590851491035
USER	VerDashboardPositivo	32	START	1590851491035	1590851491035
REQUEST	133		Home	1590851491035	1590851491038	OK	 
REQUEST	32		Home	1590851491035	1590851491038	OK	 
USER	VerDashboardNegativo	134	START	1590851491056	1590851491056
USER	VerDashboardPositivo	33	START	1590851491056	1590851491056
REQUEST	33		Home	1590851491057	1590851491060	OK	 
REQUEST	134		Home	1590851491057	1590851491060	OK	 
USER	VerDashboardPositivo	34	START	1590851491077	1590851491077
USER	VerDashboardNegativo	135	START	1590851491078	1590851491078
REQUEST	135		Home	1590851491078	1590851491082	OK	 
REQUEST	34		Home	1590851491078	1590851491082	OK	 
USER	VerDashboardNegativo	136	START	1590851491093	1590851491093
USER	VerDashboardPositivo	35	START	1590851491093	1590851491093
REQUEST	136		Home	1590851491093	1590851491097	OK	 
REQUEST	35		Home	1590851491093	1590851491097	OK	 
USER	VerDashboardNegativo	137	START	1590851491113	1590851491113
USER	VerDashboardPositivo	36	START	1590851491113	1590851491113
REQUEST	36		Home	1590851491114	1590851491117	OK	 
REQUEST	137		Home	1590851491114	1590851491117	OK	 
USER	VerDashboardPositivo	37	START	1590851491135	1590851491135
USER	VerDashboardNegativo	138	START	1590851491135	1590851491135
REQUEST	37		Home	1590851491136	1590851491139	OK	 
REQUEST	138		Home	1590851491136	1590851491139	OK	 
USER	VerDashboardNegativo	139	START	1590851491156	1590851491156
USER	VerDashboardPositivo	38	START	1590851491156	1590851491156
REQUEST	139		Home	1590851491157	1590851491160	OK	 
REQUEST	38		Home	1590851491157	1590851491160	OK	 
USER	VerDashboardNegativo	140	START	1590851491177	1590851491177
USER	VerDashboardPositivo	39	START	1590851491177	1590851491177
REQUEST	39		Home	1590851491178	1590851491181	OK	 
REQUEST	140		Home	1590851491178	1590851491181	OK	 
USER	VerDashboardPositivo	40	START	1590851491199	1590851491199
USER	VerDashboardNegativo	141	START	1590851491199	1590851491199
REQUEST	141		Home	1590851491199	1590851491202	OK	 
REQUEST	40		Home	1590851491199	1590851491203	OK	 
USER	VerDashboardNegativo	142	START	1590851491214	1590851491214
USER	VerDashboardPositivo	41	START	1590851491214	1590851491214
REQUEST	41		Home	1590851491214	1590851491217	OK	 
REQUEST	142		Home	1590851491214	1590851491217	OK	 
USER	VerDashboardNegativo	143	START	1590851491234	1590851491234
USER	VerDashboardPositivo	42	START	1590851491234	1590851491234
REQUEST	143		Home	1590851491234	1590851491237	OK	 
REQUEST	42		Home	1590851491234	1590851491237	OK	 
USER	VerDashboardPositivo	43	START	1590851491255	1590851491255
USER	VerDashboardNegativo	144	START	1590851491255	1590851491255
REQUEST	144		Home	1590851491255	1590851491258	OK	 
REQUEST	43		Home	1590851491255	1590851491258	OK	 
USER	VerDashboardPositivo	44	START	1590851491276	1590851491276
USER	VerDashboardNegativo	145	START	1590851491276	1590851491276
REQUEST	44		Home	1590851491276	1590851491280	OK	 
REQUEST	145		Home	1590851491276	1590851491280	OK	 
USER	VerDashboardNegativo	146	START	1590851491297	1590851491297
USER	VerDashboardPositivo	45	START	1590851491297	1590851491297
REQUEST	45		Home	1590851491297	1590851491300	OK	 
REQUEST	146		Home	1590851491297	1590851491300	OK	 
USER	VerDashboardPositivo	46	START	1590851491317	1590851491317
USER	VerDashboardNegativo	147	START	1590851491317	1590851491317
REQUEST	147		Home	1590851491318	1590851491322	OK	 
REQUEST	46		Home	1590851491318	1590851491322	OK	 
USER	VerDashboardPositivo	47	START	1590851491333	1590851491333
USER	VerDashboardNegativo	148	START	1590851491333	1590851491333
REQUEST	148		Home	1590851491333	1590851491337	OK	 
REQUEST	47		Home	1590851491333	1590851491337	OK	 
USER	VerDashboardPositivo	48	START	1590851491355	1590851491355
USER	VerDashboardNegativo	149	START	1590851491355	1590851491355
REQUEST	48		Home	1590851491355	1590851491358	OK	 
REQUEST	149		Home	1590851491355	1590851491358	OK	 
USER	VerDashboardPositivo	49	START	1590851491376	1590851491376
USER	VerDashboardNegativo	150	START	1590851491376	1590851491376
REQUEST	49		Home	1590851491376	1590851491379	OK	 
REQUEST	150		Home	1590851491376	1590851491379	OK	 
USER	VerDashboardPositivo	50	START	1590851491397	1590851491397
USER	VerDashboardNegativo	151	START	1590851491397	1590851491397
REQUEST	151		Home	1590851491398	1590851491401	OK	 
REQUEST	50		Home	1590851491398	1590851491401	OK	 
USER	VerDashboardPositivo	51	START	1590851491413	1590851491413
USER	VerDashboardNegativo	152	START	1590851491413	1590851491413
REQUEST	152		Home	1590851491413	1590851491417	OK	 
REQUEST	51		Home	1590851491413	1590851491417	OK	 
USER	VerDashboardNegativo	153	START	1590851491438	1590851491438
USER	VerDashboardPositivo	52	START	1590851491438	1590851491438
REQUEST	52		Home	1590851491439	1590851491442	OK	 
REQUEST	153		Home	1590851491439	1590851491442	OK	 
USER	VerDashboardPositivo	53	START	1590851491453	1590851491453
USER	VerDashboardNegativo	154	START	1590851491453	1590851491453
REQUEST	53		Home	1590851491453	1590851491458	OK	 
REQUEST	154		Home	1590851491453	1590851491458	OK	 
USER	VerDashboardPositivo	54	START	1590851491475	1590851491475
USER	VerDashboardNegativo	155	START	1590851491475	1590851491475
REQUEST	54		Home	1590851491475	1590851491478	OK	 
REQUEST	155		Home	1590851491475	1590851491478	OK	 
USER	VerDashboardNegativo	156	START	1590851491496	1590851491496
USER	VerDashboardPositivo	55	START	1590851491496	1590851491496
REQUEST	156		Home	1590851491497	1590851491500	OK	 
REQUEST	55		Home	1590851491497	1590851491500	OK	 
USER	VerDashboardNegativo	157	START	1590851491517	1590851491517
USER	VerDashboardPositivo	56	START	1590851491517	1590851491517
REQUEST	56		Home	1590851491517	1590851491520	OK	 
REQUEST	157		Home	1590851491517	1590851491520	OK	 
USER	VerDashboardNegativo	158	START	1590851491539	1590851491539
USER	VerDashboardPositivo	57	START	1590851491539	1590851491539
REQUEST	57		Home	1590851491539	1590851491542	OK	 
REQUEST	158		Home	1590851491539	1590851491542	OK	 
USER	VerDashboardPositivo	58	START	1590851491553	1590851491553
USER	VerDashboardNegativo	159	START	1590851491553	1590851491553
REQUEST	58		Home	1590851491553	1590851491557	OK	 
REQUEST	159		Home	1590851491553	1590851491557	OK	 
USER	VerDashboardPositivo	59	START	1590851491574	1590851491574
USER	VerDashboardNegativo	160	START	1590851491574	1590851491574
REQUEST	59		Home	1590851491575	1590851491578	OK	 
REQUEST	160		Home	1590851491575	1590851491578	OK	 
USER	VerDashboardNegativo	161	START	1590851491596	1590851491596
USER	VerDashboardPositivo	60	START	1590851491596	1590851491596
REQUEST	161		Home	1590851491597	1590851491601	OK	 
REQUEST	60		Home	1590851491597	1590851491601	OK	 
USER	VerDashboardPositivo	61	START	1590851491617	1590851491617
USER	VerDashboardNegativo	162	START	1590851491617	1590851491617
REQUEST	61		Home	1590851491618	1590851491621	OK	 
REQUEST	162		Home	1590851491618	1590851491621	OK	 
USER	VerDashboardPositivo	62	START	1590851491637	1590851491637
USER	VerDashboardNegativo	163	START	1590851491637	1590851491637
REQUEST	163		Home	1590851491638	1590851491641	OK	 
REQUEST	62		Home	1590851491638	1590851491641	OK	 
USER	VerDashboardPositivo	63	START	1590851491658	1590851491658
USER	VerDashboardNegativo	164	START	1590851491658	1590851491658
REQUEST	63		Home	1590851491658	1590851491661	OK	 
REQUEST	164		Home	1590851491658	1590851491661	OK	 
USER	VerDashboardNegativo	165	START	1590851491679	1590851491679
USER	VerDashboardPositivo	64	START	1590851491679	1590851491679
REQUEST	64		Home	1590851491679	1590851491682	OK	 
REQUEST	165		Home	1590851491679	1590851491682	OK	 
USER	VerDashboardNegativo	166	START	1590851491693	1590851491693
USER	VerDashboardPositivo	65	START	1590851491693	1590851491693
REQUEST	65		Home	1590851491694	1590851491697	OK	 
REQUEST	166		Home	1590851491694	1590851491697	OK	 
USER	VerDashboardNegativo	167	START	1590851491714	1590851491714
REQUEST	167		Home	1590851491726	1590851491729	OK	 
USER	VerDashboardPositivo	66	START	1590851491735	1590851491735
USER	VerDashboardNegativo	168	START	1590851491735	1590851491735
REQUEST	66		Home	1590851491736	1590851491739	OK	 
REQUEST	168		Home	1590851491736	1590851491739	OK	 
USER	VerDashboardPositivo	67	START	1590851491756	1590851491756
USER	VerDashboardNegativo	169	START	1590851491756	1590851491756
REQUEST	169		Home	1590851491757	1590851491760	OK	 
REQUEST	67		Home	1590851491757	1590851491760	OK	 
USER	VerDashboardNegativo	170	START	1590851491776	1590851491776
USER	VerDashboardPositivo	68	START	1590851491776	1590851491776
REQUEST	170		Home	1590851491777	1590851491782	OK	 
REQUEST	68		Home	1590851491777	1590851491784	OK	 
USER	VerDashboardPositivo	69	START	1590851491797	1590851491797
USER	VerDashboardNegativo	171	START	1590851491797	1590851491797
REQUEST	171		Home	1590851491798	1590851491801	OK	 
REQUEST	69		Home	1590851491798	1590851491801	OK	 
USER	VerDashboardPositivo	70	START	1590851491813	1590851491813
REQUEST	70		Home	1590851491814	1590851491816	OK	 
USER	VerDashboardNegativo	172	START	1590851491813	1590851491813
REQUEST	172		Home	1590851491826	1590851491828	OK	 
USER	VerDashboardNegativo	173	START	1590851491836	1590851491836
USER	VerDashboardPositivo	71	START	1590851491836	1590851491836
REQUEST	71		Home	1590851491837	1590851491839	OK	 
REQUEST	173		Home	1590851491836	1590851491839	OK	 
USER	VerDashboardPositivo	72	START	1590851491858	1590851491858
USER	VerDashboardNegativo	174	START	1590851491858	1590851491858
REQUEST	174		Home	1590851491858	1590851491863	OK	 
REQUEST	72		Home	1590851491858	1590851491864	OK	 
USER	VerDashboardNegativo	175	START	1590851491873	1590851491873
USER	VerDashboardPositivo	73	START	1590851491873	1590851491873
REQUEST	73		Home	1590851491873	1590851491876	OK	 
REQUEST	175		Home	1590851491873	1590851491876	OK	 
USER	VerDashboardNegativo	176	START	1590851491894	1590851491894
USER	VerDashboardPositivo	74	START	1590851491894	1590851491894
REQUEST	74		Home	1590851491894	1590851491899	OK	 
REQUEST	176		Home	1590851491894	1590851491899	OK	 
USER	VerDashboardNegativo	177	START	1590851491914	1590851491914
USER	VerDashboardPositivo	75	START	1590851491914	1590851491914
REQUEST	177		Home	1590851491914	1590851491917	OK	 
REQUEST	75		Home	1590851491914	1590851491917	OK	 
USER	VerDashboardPositivo	76	START	1590851491935	1590851491935
USER	VerDashboardNegativo	178	START	1590851491935	1590851491935
REQUEST	76		Home	1590851491936	1590851491938	OK	 
REQUEST	178		Home	1590851491936	1590851491938	OK	 
USER	VerDashboardPositivo	77	START	1590851491956	1590851491956
USER	VerDashboardNegativo	179	START	1590851491956	1590851491956
REQUEST	77		Home	1590851491957	1590851491960	OK	 
REQUEST	179		Home	1590851491957	1590851491960	OK	 
USER	VerDashboardPositivo	78	START	1590851491978	1590851491978
USER	VerDashboardNegativo	180	START	1590851491978	1590851491978
REQUEST	180		Home	1590851491979	1590851491988	OK	 
REQUEST	78		Home	1590851491979	1590851491988	OK	 
USER	VerDashboardNegativo	181	START	1590851491993	1590851491993
USER	VerDashboardPositivo	79	START	1590851491993	1590851491993
REQUEST	181		Home	1590851491994	1590851492001	OK	 
REQUEST	79		Home	1590851491994	1590851492001	OK	 
USER	VerDashboardPositivo	80	START	1590851492015	1590851492015
USER	VerDashboardNegativo	182	START	1590851492015	1590851492015
REQUEST	80		Home	1590851492017	1590851492021	OK	 
REQUEST	182		Home	1590851492017	1590851492021	OK	 
USER	VerDashboardPositivo	81	START	1590851492037	1590851492037
USER	VerDashboardNegativo	183	START	1590851492037	1590851492037
REQUEST	183		Home	1590851492038	1590851492042	OK	 
REQUEST	81		Home	1590851492038	1590851492042	OK	 
USER	VerDashboardPositivo	82	START	1590851492059	1590851492059
USER	VerDashboardNegativo	184	START	1590851492059	1590851492059
REQUEST	82		Home	1590851492059	1590851492063	OK	 
REQUEST	184		Home	1590851492059	1590851492063	OK	 
USER	VerDashboardNegativo	185	START	1590851492074	1590851492074
USER	VerDashboardPositivo	83	START	1590851492074	1590851492074
REQUEST	83		Home	1590851492074	1590851492078	OK	 
REQUEST	185		Home	1590851492074	1590851492078	OK	 
USER	VerDashboardNegativo	186	START	1590851492096	1590851492096
USER	VerDashboardPositivo	84	START	1590851492096	1590851492096
REQUEST	186		Home	1590851492097	1590851492100	OK	 
REQUEST	84		Home	1590851492097	1590851492100	OK	 
USER	VerDashboardPositivo	85	START	1590851492118	1590851492118
USER	VerDashboardNegativo	187	START	1590851492118	1590851492118
REQUEST	85		Home	1590851492118	1590851492121	OK	 
REQUEST	187		Home	1590851492118	1590851492121	OK	 
USER	VerDashboardNegativo	188	START	1590851492133	1590851492133
USER	VerDashboardPositivo	86	START	1590851492133	1590851492133
REQUEST	188		Home	1590851492134	1590851492141	OK	 
REQUEST	86		Home	1590851492134	1590851492141	OK	 
USER	VerDashboardNegativo	189	START	1590851492155	1590851492155
USER	VerDashboardPositivo	87	START	1590851492155	1590851492155
REQUEST	189		Home	1590851492156	1590851492161	OK	 
REQUEST	87		Home	1590851492156	1590851492161	OK	 
USER	VerDashboardPositivo	88	START	1590851492176	1590851492176
USER	VerDashboardNegativo	190	START	1590851492176	1590851492176
REQUEST	88		Home	1590851492176	1590851492179	OK	 
REQUEST	190		Home	1590851492176	1590851492179	OK	 
USER	VerDashboardPositivo	89	START	1590851492197	1590851492197
USER	VerDashboardNegativo	191	START	1590851492197	1590851492197
REQUEST	89		Home	1590851492198	1590851492204	OK	 
REQUEST	191		Home	1590851492198	1590851492204	OK	 
USER	VerDashboardNegativo	192	START	1590851492218	1590851492218
USER	VerDashboardPositivo	90	START	1590851492218	1590851492218
REQUEST	90		Home	1590851492218	1590851492221	OK	 
REQUEST	192		Home	1590851492218	1590851492221	OK	 
USER	VerDashboardPositivo	91	START	1590851492233	1590851492233
USER	VerDashboardNegativo	193	START	1590851492233	1590851492233
REQUEST	193		Home	1590851492234	1590851492237	OK	 
REQUEST	91		Home	1590851492234	1590851492237	OK	 
USER	VerDashboardNegativo	194	START	1590851492253	1590851492253
USER	VerDashboardPositivo	92	START	1590851492253	1590851492253
REQUEST	194		Home	1590851492254	1590851492257	OK	 
REQUEST	92		Home	1590851492254	1590851492257	OK	 
USER	VerDashboardPositivo	93	START	1590851492274	1590851492274
USER	VerDashboardNegativo	195	START	1590851492274	1590851492274
REQUEST	93		Home	1590851492274	1590851492277	OK	 
REQUEST	195		Home	1590851492274	1590851492277	OK	 
USER	VerDashboardPositivo	94	START	1590851492295	1590851492295
USER	VerDashboardNegativo	196	START	1590851492295	1590851492295
REQUEST	94		Home	1590851492295	1590851492302	OK	 
REQUEST	196		Home	1590851492295	1590851492302	OK	 
USER	VerDashboardPositivo	95	START	1590851492315	1590851492315
USER	VerDashboardNegativo	197	START	1590851492315	1590851492315
REQUEST	197		Home	1590851492317	1590851492320	OK	 
REQUEST	95		Home	1590851492317	1590851492320	OK	 
USER	VerDashboardNegativo	198	START	1590851492336	1590851492336
USER	VerDashboardPositivo	96	START	1590851492336	1590851492336
REQUEST	96		Home	1590851492337	1590851492340	OK	 
REQUEST	198		Home	1590851492337	1590851492340	OK	 
USER	VerDashboardNegativo	199	START	1590851492358	1590851492358
USER	VerDashboardPositivo	97	START	1590851492358	1590851492358
REQUEST	97		Home	1590851492358	1590851492361	OK	 
REQUEST	199		Home	1590851492358	1590851492361	OK	 
USER	VerDashboardNegativo	200	START	1590851492373	1590851492373
USER	VerDashboardPositivo	98	START	1590851492373	1590851492373
REQUEST	200		Home	1590851492373	1590851492376	OK	 
REQUEST	98		Home	1590851492373	1590851492376	OK	 
USER	VerDashboardPositivo	99	START	1590851492393	1590851492393
USER	VerDashboardNegativo	201	START	1590851492393	1590851492393
REQUEST	201		Home	1590851492393	1590851492398	OK	 
REQUEST	99		Home	1590851492393	1590851492398	OK	 
USER	VerDashboardPositivo	100	START	1590851492415	1590851492415
USER	VerDashboardNegativo	202	START	1590851492415	1590851492415
REQUEST	202		Home	1590851492415	1590851492418	OK	 
REQUEST	100		Home	1590851492415	1590851492418	OK	 
USER	VerDashboardPositivo	204	START	1590851492425	1590851492425
REQUEST	204		Home	1590851492426	1590851492430	OK	 
USER	VerDashboardNegativo	203	START	1590851492436	1590851492436
USER	VerDashboardPositivo	101	START	1590851492436	1590851492436
REQUEST	101		Home	1590851492436	1590851492439	OK	 
REQUEST	203		Home	1590851492436	1590851492439	OK	 
USER	VerDashboardNegativo	254	START	1590851492457	1590851492457
USER	VerDashboardPositivo	205	START	1590851492457	1590851492457
REQUEST	205		Home	1590851492457	1590851492462	OK	 
REQUEST	254		Home	1590851492457	1590851492462	OK	 
USER	VerDashboardNegativo	255	START	1590851492477	1590851492477
USER	VerDashboardPositivo	206	START	1590851492477	1590851492477
REQUEST	255		Home	1590851492478	1590851492482	OK	 
REQUEST	206		Home	1590851492478	1590851492482	OK	 
USER	VerDashboardNegativo	256	START	1590851492499	1590851492499
USER	VerDashboardPositivo	207	START	1590851492499	1590851492499
REQUEST	207		Home	1590851492499	1590851492502	OK	 
REQUEST	256		Home	1590851492499	1590851492503	OK	 
USER	VerDashboardPositivo	208	START	1590851492513	1590851492513
USER	VerDashboardNegativo	257	START	1590851492513	1590851492513
REQUEST	257		Home	1590851492514	1590851492517	OK	 
REQUEST	208		Home	1590851492514	1590851492517	OK	 
USER	VerDashboardPositivo	209	START	1590851492534	1590851492534
USER	VerDashboardNegativo	258	START	1590851492534	1590851492534
REQUEST	258		Home	1590851492534	1590851492537	OK	 
REQUEST	209		Home	1590851492534	1590851492537	OK	 
USER	VerDashboardNegativo	259	START	1590851492555	1590851492555
USER	VerDashboardPositivo	210	START	1590851492555	1590851492555
REQUEST	210		Home	1590851492556	1590851492559	OK	 
REQUEST	259		Home	1590851492556	1590851492559	OK	 
USER	VerDashboardPositivo	211	START	1590851492576	1590851492576
USER	VerDashboardNegativo	260	START	1590851492576	1590851492576
REQUEST	211		Home	1590851492577	1590851492580	OK	 
REQUEST	260		Home	1590851492577	1590851492580	OK	 
USER	VerDashboardPositivo	212	START	1590851492597	1590851492597
USER	VerDashboardNegativo	261	START	1590851492597	1590851492597
REQUEST	212		Home	1590851492597	1590851492600	OK	 
REQUEST	261		Home	1590851492597	1590851492600	OK	 
USER	VerDashboardPositivo	213	START	1590851492618	1590851492618
USER	VerDashboardNegativo	262	START	1590851492618	1590851492618
REQUEST	262		Home	1590851492618	1590851492622	OK	 
REQUEST	213		Home	1590851492618	1590851492622	OK	 
USER	VerDashboardPositivo	214	START	1590851492633	1590851492633
USER	VerDashboardNegativo	263	START	1590851492633	1590851492633
REQUEST	263		Home	1590851492633	1590851492637	OK	 
REQUEST	214		Home	1590851492633	1590851492637	OK	 
USER	VerDashboardNegativo	264	START	1590851492654	1590851492654
USER	VerDashboardPositivo	215	START	1590851492654	1590851492654
REQUEST	264		Home	1590851492655	1590851492658	OK	 
REQUEST	215		Home	1590851492655	1590851492658	OK	 
USER	VerDashboardPositivo	216	START	1590851492676	1590851492676
USER	VerDashboardNegativo	265	START	1590851492676	1590851492676
REQUEST	265		Home	1590851492677	1590851492681	OK	 
REQUEST	216		Home	1590851492677	1590851492681	OK	 
USER	VerDashboardNegativo	266	START	1590851492698	1590851492698
USER	VerDashboardPositivo	217	START	1590851492698	1590851492698
REQUEST	266		Home	1590851492699	1590851492702	OK	 
REQUEST	217		Home	1590851492699	1590851492703	OK	 
USER	VerDashboardNegativo	267	START	1590851492713	1590851492713
USER	VerDashboardPositivo	218	START	1590851492713	1590851492713
REQUEST	218		Home	1590851492713	1590851492717	OK	 
REQUEST	267		Home	1590851492713	1590851492717	OK	 
USER	VerDashboardPositivo	219	START	1590851492735	1590851492735
USER	VerDashboardNegativo	268	START	1590851492735	1590851492735
REQUEST	268		Home	1590851492735	1590851492739	OK	 
REQUEST	219		Home	1590851492735	1590851492739	OK	 
USER	VerDashboardNegativo	269	START	1590851492757	1590851492757
USER	VerDashboardPositivo	220	START	1590851492757	1590851492757
REQUEST	269		Home	1590851492757	1590851492761	OK	 
REQUEST	220		Home	1590851492757	1590851492761	OK	 
USER	VerDashboardPositivo	221	START	1590851492773	1590851492773
USER	VerDashboardNegativo	270	START	1590851492773	1590851492773
