ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	DashboardTest	dashboardtest	1590851688957	 	3.3.1
USER	VerDashboardNegativo	76	START	1590851691544	1590851691544
REQUEST	76		Home	1590851691545	1590851691548	OK	 
USER	VerDashboardPositivo	35	START	1590851691554	1590851691554
REQUEST	35		Home	1590851691555	1590851691558	OK	 
USER	VerDashboardNegativo	77	START	1590851691590	1590851691590
REQUEST	77		Home	1590851691590	1590851691594	OK	 
USER	VerDashboardPositivo	36	START	1590851691600	1590851691600
REQUEST	36		Home	1590851691600	1590851691603	OK	 
USER	VerDashboardNegativo	78	START	1590851691641	1590851691641
REQUEST	78		Home	1590851691642	1590851691645	OK	 
USER	VerDashboardPositivo	37	START	1590851691651	1590851691651
REQUEST	37		Home	1590851691652	1590851691655	OK	 
USER	VerDashboardNegativo	79	START	1590851691693	1590851691693
REQUEST	79		Home	1590851691693	1590851691696	OK	 
USER	VerDashboardPositivo	38	START	1590851691703	1590851691703
REQUEST	38		Home	1590851691704	1590851691706	OK	 
USER	VerDashboardNegativo	80	START	1590851691740	1590851691740
REQUEST	80		Home	1590851691740	1590851691744	OK	 
USER	VerDashboardPositivo	39	START	1590851691750	1590851691750
REQUEST	39		Home	1590851691751	1590851691754	OK	 
USER	VerDashboardNegativo	81	START	1590851691792	1590851691792
REQUEST	81		Home	1590851691793	1590851691795	OK	 
USER	VerDashboardPositivo	40	START	1590851691802	1590851691802
REQUEST	40		Home	1590851691803	1590851691806	OK	 
USER	VerDashboardNegativo	82	START	1590851691844	1590851691844
REQUEST	82		Home	1590851691845	1590851691848	OK	 
USER	VerDashboardPositivo	41	START	1590851691854	1590851691854
REQUEST	41		Home	1590851691855	1590851691859	OK	 
USER	VerDashboardNegativo	103	START	1590851691891	1590851691891
USER	VerDashboardPositivo	83	START	1590851691891	1590851691891
REQUEST	83		Home	1590851691892	1590851691897	OK	 
REQUEST	103		Home	1590851691892	1590851691897	OK	 
USER	VerDashboardPositivo	84	START	1590851691944	1590851691944
USER	VerDashboardNegativo	104	START	1590851691944	1590851691944
REQUEST	104		Home	1590851691944	1590851691947	OK	 
REQUEST	84		Home	1590851691944	1590851691947	OK	 
USER	VerDashboardNegativo	105	START	1590851691990	1590851691990
USER	VerDashboardPositivo	85	START	1590851691990	1590851691990
REQUEST	105		Home	1590851691991	1590851691994	OK	 
REQUEST	85		Home	1590851691991	1590851691994	OK	 
USER	VerDashboardNegativo	106	START	1590851692044	1590851692044
USER	VerDashboardPositivo	86	START	1590851692044	1590851692044
REQUEST	86		Home	1590851692044	1590851692047	OK	 
REQUEST	106		Home	1590851692044	1590851692047	OK	 
USER	VerDashboardPositivo	87	START	1590851692090	1590851692090
USER	VerDashboardNegativo	107	START	1590851692090	1590851692090
REQUEST	87		Home	1590851692090	1590851692093	OK	 
REQUEST	107		Home	1590851692090	1590851692093	OK	 
USER	VerDashboardNegativo	108	START	1590851692142	1590851692142
USER	VerDashboardPositivo	88	START	1590851692142	1590851692142
REQUEST	108		Home	1590851692143	1590851692146	OK	 
REQUEST	88		Home	1590851692143	1590851692146	OK	 
USER	VerDashboardPositivo	89	START	1590851692195	1590851692195
USER	VerDashboardNegativo	109	START	1590851692195	1590851692195
REQUEST	89		Home	1590851692196	1590851692199	OK	 
REQUEST	109		Home	1590851692196	1590851692199	OK	 
USER	VerDashboardNegativo	110	START	1590851692240	1590851692240
USER	VerDashboardPositivo	90	START	1590851692240	1590851692240
REQUEST	110		Home	1590851692240	1590851692243	OK	 
REQUEST	90		Home	1590851692240	1590851692243	OK	 
USER	VerDashboardNegativo	111	START	1590851692292	1590851692292
USER	VerDashboardPositivo	91	START	1590851692292	1590851692292
REQUEST	91		Home	1590851692292	1590851692295	OK	 
REQUEST	111		Home	1590851692292	1590851692295	OK	 
USER	VerDashboardPositivo	92	START	1590851692343	1590851692343
USER	VerDashboardNegativo	112	START	1590851692343	1590851692343
REQUEST	92		Home	1590851692343	1590851692346	OK	 
REQUEST	112		Home	1590851692343	1590851692346	OK	 
USER	VerDashboardNegativo	113	START	1590851692394	1590851692394
USER	VerDashboardPositivo	93	START	1590851692394	1590851692394
REQUEST	113		Home	1590851692395	1590851692398	OK	 
REQUEST	93		Home	1590851692395	1590851692398	OK	 
USER	VerDashboardPositivo	94	START	1590851692440	1590851692440
USER	VerDashboardNegativo	114	START	1590851692440	1590851692440
REQUEST	94		Home	1590851692440	1590851692443	OK	 
REQUEST	114		Home	1590851692440	1590851692443	OK	 
USER	VerDashboardNegativo	115	START	1590851692491	1590851692491
USER	VerDashboardPositivo	95	START	1590851692491	1590851692491
REQUEST	115		Home	1590851692491	1590851692495	OK	 
REQUEST	95		Home	1590851692491	1590851692495	OK	 
USER	VerDashboardPositivo	96	START	1590851692542	1590851692542
USER	VerDashboardNegativo	116	START	1590851692542	1590851692542
REQUEST	96		Home	1590851692543	1590851692547	OK	 
REQUEST	116		Home	1590851692543	1590851692547	OK	 
USER	VerDashboardPositivo	97	START	1590851692594	1590851692594
USER	VerDashboardNegativo	117	START	1590851692594	1590851692594
REQUEST	97		Home	1590851692594	1590851692598	OK	 
REQUEST	117		Home	1590851692594	1590851692598	OK	 
USER	VerDashboardPositivo	98	START	1590851692641	1590851692641
USER	VerDashboardNegativo	118	START	1590851692641	1590851692641
REQUEST	98		Home	1590851692641	1590851692644	OK	 
REQUEST	118		Home	1590851692641	1590851692644	OK	 
USER	VerDashboardPositivo	99	START	1590851692692	1590851692692
USER	VerDashboardNegativo	119	START	1590851692692	1590851692692
REQUEST	99		Home	1590851692692	1590851692695	OK	 
REQUEST	119		Home	1590851692692	1590851692695	OK	 
