ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	CrearValoraciones	crearvaloraciones	1590567675602	 	3.3.1
REQUEST	439		Home	1590567676480	1590567676584	OK	 
REQUEST	39		Home	1590567676499	1590567676587	OK	 
REQUEST	33		Home	1590567676464	1590567676588	OK	 
REQUEST	23		Home	1590567676417	1590567676590	OK	 
REQUEST	449		Home	1590567676525	1590567676590	OK	 
USER	CrearValoracion	54	START	1590567676592	1590567676592
USER	AceptarLocal	457	START	1590567676591	1590567676591
USER	CrearValoracion	55	START	1590567676592	1590567676592
USER	AceptarLocal	459	START	1590567676593	1590567676593
USER	CrearValoracion	58	START	1590567676595	1590567676595
USER	CrearValoracion	57	START	1590567676594	1590567676594
USER	AceptarLocal	461	START	1590567676594	1590567676594
USER	AceptarLocal	463	START	1590567676596	1590567676596
USER	CrearValoracion	59	START	1590567676596	1590567676596
USER	AceptarLocal	458	START	1590567676593	1590567676593
USER	AceptarLocal	460	START	1590567676594	1590567676594
USER	CrearValoracion	56	START	1590567676594	1590567676594
USER	AceptarLocal	462	START	1590567676596	1590567676596
REQUEST	442		Home	1590567676499	1590567676602	OK	 
USER	CrearValoracion	60	START	1590567676601	1590567676601
USER	CrearValoracion	61	START	1590567676602	1590567676602
REQUEST	44		Home	1590567676533	1590567676604	OK	 
REQUEST	24		Home	1590567676434	1590567676608	OK	 
REQUEST	436		Home	1590567676466	1590567676608	OK	 
REQUEST	427		Home	1590567676417	1590567676608	OK	 
REQUEST	42		Home	1590567676518	1590567676609	OK	 
REQUEST	437		Home	1590567676467	1590567676610	OK	 
REQUEST	443		Home	1590567676499	1590567676611	OK	 
REQUEST	37		Home	1590567676498	1590567676612	OK	 
USER	AceptarLocal	465	START	1590567676607	1590567676607
USER	AceptarLocal	464	START	1590567676607	1590567676607
USER	CrearValoracion	62	START	1590567676620	1590567676620
USER	CrearValoracion	63	START	1590567676622	1590567676622
USER	AceptarLocal	466	START	1590567676627	1590567676627
USER	AceptarLocal	467	START	1590567676627	1590567676627
USER	CrearValoracion	65	START	1590567676630	1590567676630
USER	AceptarLocal	469	START	1590567676630	1590567676630
USER	AceptarLocal	470	START	1590567676634	1590567676634
USER	CrearValoracion	64	START	1590567676630	1590567676630
USER	AceptarLocal	468	START	1590567676630	1590567676630
REQUEST	444		Home	1590567676502	1590567676639	OK	 
REQUEST	430		Home	1590567676444	1590567676639	OK	 
REQUEST	45		Home	1590567676525	1590567676639	OK	 
USER	CrearValoracion	67	START	1590567676634	1590567676634
USER	AceptarLocal	471	START	1590567676636	1590567676636
REQUEST	423		Home	1590567676407	1590567676644	OK	 
REQUEST	30		Home	1590567676463	1590567676644	OK	 
USER	CrearValoracion	66	START	1590567676633	1590567676633
REQUEST	61		Home	1590567676603	1590567676641	OK	 
REQUEST	63		Home	1590567676623	1590567676651	OK	 
REQUEST	452		Home	1590567676548	1590567676646	OK	 
REQUEST	465		Home	1590567676608	1590567676644	OK	 
REQUEST	65		Home	1590567676631	1590567676654	OK	 
USER	AceptarLocal	475	START	1590567676654	1590567676654
USER	AceptarLocal	473	START	1590567676654	1590567676654
USER	AceptarLocal	474	START	1590567676654	1590567676654
REQUEST	434		Home	1590567676463	1590567676656	OK	 
USER	CrearValoracion	71	START	1590567676654	1590567676654
REQUEST	464		Home	1590567676608	1590567676657	OK	 
USER	CrearValoracion	68	START	1590567676653	1590567676653
REQUEST	433		Home	1590567676443	1590567676658	OK	 
REQUEST	46		Home	1590567676545	1590567676659	OK	 
REQUEST	59		Home	1590567676597	1590567676660	OK	 
USER	CrearValoracion	69	START	1590567676653	1590567676653
USER	CrearValoracion	70	START	1590567676654	1590567676654
REQUEST	428		Home	1590567676433	1590567676657	OK	 
REQUEST	64		Home	1590567676633	1590567676661	OK	 
REQUEST	471		Home	1590567676643	1590567676663	OK	 
REQUEST	49		Home	1590567676547	1590567676664	OK	 
USER	AceptarLocal	472	START	1590567676653	1590567676653
REQUEST	28		Home	1590567676443	1590567676666	OK	 
REQUEST	36		Home	1590567676498	1590567676667	OK	 
REQUEST	453		Home	1590567676548	1590567676667	OK	 
REQUEST	16		Home	1590567676406	1590567676671	OK	 
REQUEST	429		Home	1590567676431	1590567676671	OK	 
REQUEST	447		Home	1590567676518	1590567676671	OK	 
REQUEST	68		Home	1590567676654	1590567676673	OK	 
REQUEST	47		Home	1590567676559	1590567676673	OK	 
REQUEST	25		Home	1590567676435	1590567676673	OK	 
REQUEST	426		Home	1590567676417	1590567676674	OK	 
REQUEST	475		Home	1590567676655	1590567676674	OK	 
REQUEST	41		Home	1590567676502	1590567676677	OK	 
REQUEST	26		Home	1590567676444	1590567676676	OK	 
REQUEST	38		Home	1590567676499	1590567676676	OK	 
