ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	dp2.CrearLocalTest	crearlocaltest	1590235716678	 	3.3.1
REQUEST	135		Welcome	1590235720300	1590235720302	OK	 
USER	CrearLocalTestPositivo	110	START	1590235720314	1590235720314
REQUEST	110		Welcome	1590235720315	1590235720318	OK	 
USER	CrearLocalTestNegativo	136	START	1590235720346	1590235720346
USER	CrearLocalTestPositivo	111	START	1590235720347	1590235720347
REQUEST	136		Welcome	1590235720346	1590235720349	OK	 
REQUEST	111		Welcome	1590235720347	1590235720349	OK	 
USER	CrearLocalTestNegativo	137	START	1590235720377	1590235720377
REQUEST	137		Welcome	1590235720378	1590235720381	OK	 
USER	CrearLocalTestPositivo	112	START	1590235720393	1590235720393
REQUEST	112		Welcome	1590235720394	1590235720396	OK	 
USER	CrearLocalTestPositivo	113	START	1590235720440	1590235720440
USER	CrearLocalTestNegativo	138	START	1590235720440	1590235720440
REQUEST	113		Welcome	1590235720441	1590235720444	OK	 
REQUEST	138		Welcome	1590235720441	1590235720444	OK	 
USER	CrearLocalTestNegativo	139	START	1590235720457	1590235720457
REQUEST	139		Welcome	1590235720458	1590235720461	OK	 
USER	CrearLocalTestPositivo	114	START	1590235720471	1590235720471
REQUEST	114		Welcome	1590235720472	1590235720475	OK	 
USER	CrearLocalTestNegativo	140	START	1590235720502	1590235720502
REQUEST	140		Welcome	1590235720503	1590235720506	OK	 
USER	CrearLocalTestPositivo	115	START	1590235720507	1590235720507
REQUEST	115		Welcome	1590235720508	1590235720511	OK	 
USER	CrearLocalTestNegativo	141	START	1590235720538	1590235720538
REQUEST	141		Welcome	1590235720539	1590235720541	OK	 
USER	CrearLocalTestPositivo	116	START	1590235720549	1590235720549
REQUEST	116		Welcome	1590235720549	1590235720554	OK	 
USER	CrearLocalTestNegativo	142	START	1590235720578	1590235720578
REQUEST	142		Welcome	1590235720579	1590235720584	OK	 
USER	CrearLocalTestPositivo	117	START	1590235720594	1590235720594
REQUEST	117		Welcome	1590235720595	1590235720600	OK	 
USER	CrearLocalTestNegativo	143	START	1590235720625	1590235720625
USER	CrearLocalTestPositivo	118	START	1590235720627	1590235720627
REQUEST	143		Welcome	1590235720626	1590235720628	OK	 
REQUEST	118		Welcome	1590235720627	1590235720630	OK	 
USER	CrearLocalTestNegativo	144	START	1590235720657	1590235720657
REQUEST	144		Welcome	1590235720658	1590235720660	OK	 
USER	CrearLocalTestPositivo	119	START	1590235720672	1590235720672
REQUEST	119		Welcome	1590235720672	1590235720675	OK	 
USER	CrearLocalTestNegativo	145	START	1590235720703	1590235720703
USER	CrearLocalTestPositivo	120	START	1590235720707	1590235720707
REQUEST	145		Welcome	1590235720704	1590235720708	OK	 
REQUEST	120		Welcome	1590235720707	1590235720711	OK	 
USER	CrearLocalTestNegativo	146	START	1590235720737	1590235720737
REQUEST	146		Welcome	1590235720737	1590235720740	OK	 
USER	CrearLocalTestPositivo	121	START	1590235720749	1590235720749
REQUEST	121		Welcome	1590235720750	1590235720752	OK	 
USER	CrearLocalTestNegativo	147	START	1590235720781	1590235720781
REQUEST	147		Welcome	1590235720782	1590235720784	OK	 
USER	CrearLocalTestPositivo	122	START	1590235720798	1590235720798
REQUEST	122		Welcome	1590235720799	1590235720801	OK	 
USER	CrearLocalTestNegativo	148	START	1590235720817	1590235720817
REQUEST	148		Welcome	1590235720817	1590235720820	OK	 
USER	CrearLocalTestPositivo	123	START	1590235720829	1590235720829
REQUEST	123		Welcome	1590235720830	1590235720832	OK	 
USER	CrearLocalTestPositivo	124	START	1590235720876	1590235720876
USER	CrearLocalTestNegativo	149	START	1590235720876	1590235720876
REQUEST	149		Welcome	1590235720877	1590235720879	OK	 
REQUEST	124		Welcome	1590235720877	1590235720879	OK	 
USER	CrearLocalTestNegativo	150	START	1590235720897	1590235720897
REQUEST	150		Welcome	1590235720897	1590235720900	OK	 
USER	CrearLocalTestPositivo	125	START	1590235720908	1590235720908
REQUEST	125		Welcome	1590235720908	1590235720911	OK	 
USER	CrearLocalTestNegativo	151	START	1590235720939	1590235720939
REQUEST	151		Welcome	1590235720939	1590235720942	OK	 
USER	CrearLocalTestPositivo	126	START	1590235720955	1590235720955
REQUEST	126		Welcome	1590235720955	1590235720958	OK	 
USER	CrearLocalTestNegativo	152	START	1590235720986	1590235720986
USER	CrearLocalTestPositivo	127	START	1590235720987	1590235720987
REQUEST	152		Welcome	1590235720986	1590235720990	OK	 
REQUEST	127		Welcome	1590235720987	1590235720990	OK	 
USER	CrearLocalTestNegativo	178	START	1590235721017	1590235721017
REQUEST	178		Welcome	1590235721018	1590235721020	OK	 
USER	CrearLocalTestPositivo	153	START	1590235721033	1590235721033
REQUEST	153		Welcome	1590235721033	1590235721036	OK	 
USER	CrearLocalTestNegativo	179	START	1590235721057	1590235721057
REQUEST	179		Welcome	1590235721057	1590235721060	OK	 
USER	CrearLocalTestPositivo	154	START	1590235721069	1590235721069
REQUEST	154		Welcome	1590235721070	1590235721072	OK	 
USER	CrearLocalTestNegativo	180	START	1590235721101	1590235721101
REQUEST	180		Welcome	1590235721101	1590235721104	OK	 
USER	CrearLocalTestPositivo	155	START	1590235721116	1590235721116
REQUEST	155		Welcome	1590235721117	1590235721120	OK	 
USER	CrearLocalTestPositivo	156	START	1590235721147	1590235721147
USER	CrearLocalTestNegativo	181	START	1590235721147	1590235721147
REQUEST	181		Welcome	1590235721148	1590235721150	OK	 
REQUEST	156		Welcome	1590235721148	1590235721150	OK	 
USER	CrearLocalTestNegativo	182	START	1590235721178	1590235721178
REQUEST	182		Welcome	1590235721179	1590235721181	OK	 
USER	CrearLocalTestPositivo	157	START	1590235721194	1590235721194
REQUEST	157		Welcome	1590235721194	1590235721197	OK	 
USER	CrearLocalTestNegativo	183	START	1590235721226	1590235721226
USER	CrearLocalTestPositivo	158	START	1590235721227	1590235721227
REQUEST	183		Welcome	1590235721226	1590235721229	OK	 
REQUEST	158		Welcome	1590235721227	1590235721229	OK	 
USER	CrearLocalTestNegativo	184	START	1590235721257	1590235721257
REQUEST	184		Welcome	1590235721257	1590235721260	OK	 
USER	CrearLocalTestPositivo	159	START	1590235721272	1590235721272
REQUEST	159		Welcome	1590235721273	1590235721277	OK	 
USER	CrearLocalTestNegativo	185	START	1590235721304	1590235721304
USER	CrearLocalTestPositivo	160	START	1590235721307	1590235721307
REQUEST	185		Welcome	1590235721305	1590235721309	OK	 
REQUEST	160		Welcome	1590235721308	1590235721311	OK	 
USER	CrearLocalTestNegativo	186	START	1590235721337	1590235721337
REQUEST	186		Welcome	1590235721338	1590235721344	OK	 
USER	CrearLocalTestPositivo	161	START	1590235721350	1590235721350
REQUEST	161		Welcome	1590235721351	1590235721354	OK	 
USER	CrearLocalTestNegativo	187	START	1590235721382	1590235721382
REQUEST	187		Welcome	1590235721382	1590235721385	OK	 
USER	CrearLocalTestPositivo	162	START	1590235721387	1590235721387
REQUEST	162		Welcome	1590235721387	1590235721390	OK	 
USER	CrearLocalTestNegativo	188	START	1590235721417	1590235721417
REQUEST	188		Welcome	1590235721417	1590235721420	OK	 
USER	CrearLocalTestPositivo	163	START	1590235721429	1590235721429
REQUEST	163		Welcome	1590235721429	1590235721432	OK	 
USER	CrearLocalTestNegativo	189	START	1590235721459	1590235721459
REQUEST	189		Welcome	1590235721460	1590235721462	OK	 
USER	CrearLocalTestPositivo	164	START	1590235721476	1590235721476
REQUEST	164		Welcome	1590235721476	1590235721478	OK	 
USER	CrearLocalTestNegativo	190	START	1590235721506	1590235721506
USER	CrearLocalTestPositivo	165	START	1590235721507	1590235721507
REQUEST	190		Welcome	1590235721507	1590235721510	OK	 
REQUEST	165		Welcome	1590235721507	1590235721510	OK	 
USER	CrearLocalTestNegativo	191	START	1590235721538	1590235721538
REQUEST	191		Welcome	1590235721539	1590235721543	OK	 
USER	CrearLocalTestPositivo	166	START	1590235721554	1590235721554
REQUEST	166		Welcome	1590235721555	1590235721559	OK	 
USER	CrearLocalTestNegativo	192	START	1590235721585	1590235721585
USER	CrearLocalTestPositivo	167	START	1590235721587	1590235721587
REQUEST	192		Welcome	1590235721585	1590235721588	OK	 
REQUEST	167		Welcome	1590235721587	1590235721589	OK	 
USER	CrearLocalTestNegativo	193	START	1590235721617	1590235721617
REQUEST	193		Welcome	1590235721617	1590235721620	OK	 
USER	CrearLocalTestPositivo	168	START	1590235721632	1590235721632
REQUEST	168		Welcome	1590235721632	1590235721635	OK	 
USER	CrearLocalTestNegativo	194	START	1590235721664	1590235721664
USER	CrearLocalTestPositivo	169	START	1590235721667	1590235721667
REQUEST	194		Welcome	1590235721664	1590235721667	OK	 
REQUEST	169		Welcome	1590235721667	1590235721670	OK	 
USER	CrearLocalTestNegativo	195	START	1590235721697	1590235721697
REQUEST	195		Welcome	1590235721698	1590235721703	OK	 
USER	CrearLocalTestPositivo	170	START	1590235721710	1590235721710
REQUEST	170		Welcome	1590235721711	1590235721716	OK	 
USER	CrearLocalTestNegativo	196	START	1590235721741	1590235721741
REQUEST	196		Welcome	1590235721742	1590235721747	OK	 
USER	CrearLocalTestNegativo	197	START	1590235721777	1590235721777
REQUEST	197		Welcome	1590235721777	1590235721780	OK	 
USER	CrearLocalTestPositivo	172	START	1590235721788	1590235721788
USER	CrearLocalTestPositivo	171	START	1590235721757	1590235721757
REQUEST	171		Welcome	1590235721803	1590235721806	OK	 
REQUEST	172		Welcome	1590235721788	1590235721806	OK	 
USER	CrearLocalTestNegativo	198	START	1590235721819	1590235721819
REQUEST	198		Welcome	1590235721820	1590235721822	OK	 
USER	CrearLocalTestPositivo	173	START	1590235721835	1590235721835
REQUEST	173		Welcome	1590235721835	1590235721838	OK	 
USER	CrearLocalTestNegativo	199	START	1590235721866	1590235721866
USER	CrearLocalTestPositivo	174	START	1590235721867	1590235721867
REQUEST	199		Welcome	1590235721866	1590235721869	OK	 
REQUEST	174		Welcome	1590235721867	1590235721870	OK	 
USER	CrearLocalTestNegativo	200	START	1590235721897	1590235721897
REQUEST	200		Welcome	1590235721898	1590235721904	OK	 
USER	CrearLocalTestPositivo	175	START	1590235721913	1590235721913
REQUEST	175		Welcome	1590235721914	1590235721920	OK	 
USER	CrearLocalTestNegativo	201	START	1590235721944	1590235721944
USER	CrearLocalTestPositivo	176	START	1590235721947	1590235721947
REQUEST	201		Welcome	1590235721945	1590235721949	OK	 
REQUEST	176		Welcome	1590235721947	1590235721951	OK	 
USER	CrearLocalTestNegativo	202	START	1590235721977	1590235721977
REQUEST	202		Welcome	1590235721977	1590235721981	OK	 
USER	CrearLocalTestPositivo	177	START	1590235721991	1590235721991
REQUEST	177		Welcome	1590235721992	1590235721997	OK	 
USER	CrearLocalTestPositivo	203	START	1590235722022	1590235722022
USER	CrearLocalTestNegativo	228	START	1590235722022	1590235722022
REQUEST	228		Welcome	1590235722023	1590235722028	OK	 
REQUEST	203		Welcome	1590235722023	1590235722028	OK	 
USER	CrearLocalTestNegativo	229	START	1590235722057	1590235722057
USER	CrearLocalTestPositivo	204	START	1590235722057	1590235722057
REQUEST	204		Welcome	1590235722057	1590235722064	OK	 
REQUEST	229		Welcome	1590235722057	1590235722064	OK	 
USER	CrearLocalTestNegativo	230	START	1590235722097	1590235722097
USER	CrearLocalTestPositivo	205	START	1590235722097	1590235722097
REQUEST	205		Welcome	1590235722097	1590235722101	OK	 
REQUEST	230		Welcome	1590235722097	1590235722101	OK	 
USER	CrearLocalTestNegativo	231	START	1590235722139	1590235722139
USER	CrearLocalTestPositivo	206	START	1590235722139	1590235722139
REQUEST	231		Welcome	1590235722139	1590235722142	OK	 
REQUEST	206		Welcome	1590235722139	1590235722142	OK	 
USER	CrearLocalTestNegativo	232	START	1590235722186	1590235722186
USER	CrearLocalTestPositivo	207	START	1590235722186	1590235722186
REQUEST	232		Welcome	1590235722187	1590235722191	OK	 
REQUEST	207		Welcome	1590235722187	1590235722191	OK	 
USER	CrearLocalTestPositivo	208	START	1590235722217	1590235722217
USER	CrearLocalTestNegativo	233	START	1590235722217	1590235722217
REQUEST	233		Welcome	1590235722218	1590235722221	OK	 
REQUEST	208		Welcome	1590235722218	1590235722221	OK	 
USER	CrearLocalTestNegativo	234	START	1590235722257	1590235722257
USER	CrearLocalTestPositivo	209	START	1590235722257	1590235722257
REQUEST	209		Welcome	1590235722257	1590235722260	OK	 
REQUEST	234		Welcome	1590235722257	1590235722260	OK	 
USER	CrearLocalTestNegativo	235	START	1590235722300	1590235722300
USER	CrearLocalTestPositivo	210	START	1590235722300	1590235722300
REQUEST	235		Welcome	1590235722301	1590235722305	OK	 
REQUEST	210		Welcome	1590235722301	1590235722305	OK	 
USER	CrearLocalTestNegativo	236	START	1590235722347	1590235722347
USER	CrearLocalTestPositivo	211	START	1590235722347	1590235722347
REQUEST	236		Welcome	1590235722347	1590235722350	OK	 
