ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	dp2.AceptarAnuncioTest	aceptaranunciotest	1590183478526	 	3.3.1
USER	AceptarAnuncioTestNegativo	101	START	1590183482137	1590183482137
USER	AceptarAnuncioTestPositivo	49	START	1590183482137	1590183482137
REQUEST	101		Welcome	1590183482138	1590183482144	OK	 
REQUEST	49		Welcome	1590183482138	1590183482144	OK	 
USER	AceptarAnuncioTestPositivo	50	START	1590183482185	1590183482185
USER	AceptarAnuncioTestNegativo	102	START	1590183482185	1590183482185
REQUEST	50		Welcome	1590183482186	1590183482194	OK	 
REQUEST	102		Welcome	1590183482186	1590183482196	OK	 
USER	AceptarAnuncioTestPositivo	51	START	1590183482226	1590183482226
USER	AceptarAnuncioTestNegativo	103	START	1590183482230	1590183482230
USER	AceptarAnuncioTestPositivo	104	START	1590183482232	1590183482232
REQUEST	51		Welcome	1590183482227	1590183482235	OK	 
REQUEST	103		Welcome	1590183482231	1590183482237	OK	 
REQUEST	104		Welcome	1590183482233	1590183482240	OK	 
USER	AceptarAnuncioTestPositivo	105	START	1590183482266	1590183482266
USER	AceptarAnuncioTestNegativo	129	START	1590183482266	1590183482266
REQUEST	105		Welcome	1590183482267	1590183482272	OK	 
REQUEST	129		Welcome	1590183482267	1590183482274	OK	 
USER	AceptarAnuncioTestNegativo	130	START	1590183482305	1590183482305
USER	AceptarAnuncioTestPositivo	106	START	1590183482305	1590183482305
REQUEST	106		Welcome	1590183482306	1590183482313	OK	 
REQUEST	130		Welcome	1590183482306	1590183482315	OK	 
USER	AceptarAnuncioTestNegativo	131	START	1590183482358	1590183482358
USER	AceptarAnuncioTestPositivo	107	START	1590183482358	1590183482358
REQUEST	107		Welcome	1590183482359	1590183482367	OK	 
REQUEST	131		Welcome	1590183482359	1590183482369	OK	 
USER	AceptarAnuncioTestPositivo	108	START	1590183482395	1590183482395
USER	AceptarAnuncioTestNegativo	132	START	1590183482396	1590183482396
REQUEST	108		Welcome	1590183482396	1590183482403	OK	 
REQUEST	132		Welcome	1590183482397	1590183482405	OK	 
USER	AceptarAnuncioTestNegativo	133	START	1590183482436	1590183482436
USER	AceptarAnuncioTestPositivo	109	START	1590183482436	1590183482436
REQUEST	109		Welcome	1590183482437	1590183482444	OK	 
REQUEST	133		Welcome	1590183482437	1590183482448	OK	 
USER	AceptarAnuncioTestPositivo	110	START	1590183482464	1590183482464
USER	AceptarAnuncioTestNegativo	134	START	1590183482464	1590183482464
REQUEST	134		Welcome	1590183482465	1590183482473	OK	 
REQUEST	110		Welcome	1590183482465	1590183482475	OK	 
USER	AceptarAnuncioTestPositivo	111	START	1590183482506	1590183482506
USER	AceptarAnuncioTestNegativo	135	START	1590183482506	1590183482506
REQUEST	111		Welcome	1590183482507	1590183482513	OK	 
REQUEST	135		Welcome	1590183482507	1590183482515	OK	 
USER	AceptarAnuncioTestPositivo	112	START	1590183482544	1590183482544
USER	AceptarAnuncioTestNegativo	136	START	1590183482544	1590183482544
REQUEST	112		Welcome	1590183482545	1590183482551	OK	 
REQUEST	136		Welcome	1590183482545	1590183482554	OK	 
USER	AceptarAnuncioTestNegativo	137	START	1590183482585	1590183482585
USER	AceptarAnuncioTestPositivo	113	START	1590183482585	1590183482585
REQUEST	137		Welcome	1590183482586	1590183482593	OK	 
REQUEST	113		Welcome	1590183482586	1590183482595	OK	 
USER	AceptarAnuncioTestPositivo	114	START	1590183482627	1590183482627
USER	AceptarAnuncioTestNegativo	138	START	1590183482627	1590183482627
REQUEST	138		Welcome	1590183482628	1590183482634	OK	 
REQUEST	114		Welcome	1590183482628	1590183482636	OK	 
USER	AceptarAnuncioTestNegativo	139	START	1590183482666	1590183482666
USER	AceptarAnuncioTestPositivo	115	START	1590183482666	1590183482666
REQUEST	115		Welcome	1590183482667	1590183482673	OK	 
