ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	dp2.BuscarLocalTestDiagnosis	buscarlocaltestdiagnosis	1590161608069	 	3.3.1
REQUEST	5023		Welcome	1590161681260	1590161681265	OK	 
REQUEST	4533		BuscarLocalForm	1590161681270	1590161681272	OK	 
REQUEST	4499		BuscarLocalForm	1590161681270	1590161681272	OK	 
USER	BuscarLocalNegativoTest	2713	END	1590161648250	1590161681280
USER	BuscarLocalNegativoTest	5024	START	1590161681281	1590161681281
USER	BuscarLocalPositivoTest	4990	START	1590161681280	1590161681280
USER	BuscarLocalPositivoTest	3309	END	1590161657241	1590161681282
REQUEST	3799		ThereAreResults	1590161681280	1590161681284	OK	 
REQUEST	3833		ThereAreNoResults	1590161681280	1590161681286	OK	 
REQUEST	4990		Welcome	1590161681281	1590161681288	OK	 
REQUEST	5024		Welcome	1590161681281	1590161681289	OK	 
USER	BuscarLocalPositivoTest	3310	END	1590161657266	1590161681302
REQUEST	4534		BuscarLocalForm	1590161681301	1590161681303	OK	 
REQUEST	3834		ThereAreNoResults	1590161681301	1590161681303	OK	 
USER	BuscarLocalPositivoTest	4991	START	1590161681306	1590161681306
REQUEST	4500		BuscarLocalForm	1590161681302	1590161681306	OK	 
REQUEST	3800		ThereAreResults	1590161681301	1590161681306	OK	 
USER	BuscarLocalNegativoTest	5025	START	1590161681306	1590161681306
REQUEST	4991		Welcome	1590161681306	1590161681310	OK	 
REQUEST	5025		Welcome	1590161681307	1590161681311	OK	 
USER	BuscarLocalNegativoTest	2714	END	1590161648287	1590161681317
USER	BuscarLocalNegativoTest	2715	END	1590161648309	1590161681328
USER	BuscarLocalPositivoTest	3311	END	1590161657299	1590161681330
REQUEST	4535		BuscarLocalForm	1590161681330	1590161681332	OK	 
REQUEST	4501		BuscarLocalForm	1590161681328	1590161681332	OK	 
USER	BuscarLocalNegativoTest	5026	START	1590161681341	1590161681341
USER	BuscarLocalPositivoTest	4992	START	1590161681341	1590161681341
REQUEST	3835		ThereAreNoResults	1590161681341	1590161681344	OK	 
REQUEST	3801		ThereAreResults	1590161681341	1590161681345	OK	 
REQUEST	5026		Welcome	1590161681341	1590161681346	OK	 
USER	BuscarLocalPositivoTest	3312	END	1590161657331	1590161681347
REQUEST	4992		Welcome	1590161681341	1590161681347	OK	 
USER	BuscarLocalNegativoTest	2716	END	1590161648340	1590161681357
REQUEST	4502		BuscarLocalForm	1590161681357	1590161681358	OK	 
REQUEST	4536		BuscarLocalForm	1590161681357	1590161681359	OK	 
USER	BuscarLocalPositivoTest	4993	START	1590161681368	1590161681368
REQUEST	3836		ThereAreNoResults	1590161681368	1590161681370	OK	 
USER	BuscarLocalNegativoTest	5027	START	1590161681371	1590161681371
REQUEST	3802		ThereAreResults	1590161681368	1590161681372	OK	 
REQUEST	4993		Welcome	1590161681368	1590161681374	OK	 
REQUEST	5027		Welcome	1590161681371	1590161681376	OK	 
USER	BuscarLocalPositivoTest	3313	END	1590161657360	1590161681386
REQUEST	4537		BuscarLocalForm	1590161681386	1590161681387	OK	 
REQUEST	4503		BuscarLocalForm	1590161681386	1590161681387	OK	 
USER	BuscarLocalNegativoTest	2717	END	1590161648366	1590161681397
USER	BuscarLocalPositivoTest	4994	START	1590161681397	1590161681397
USER	BuscarLocalNegativoTest	5028	START	1590161681397	1590161681397
REQUEST	3837		ThereAreNoResults	1590161681397	1590161681401	OK	 
REQUEST	3803		ThereAreResults	1590161681397	1590161681403	OK	 
REQUEST	4994		Welcome	1590161681397	1590161681405	OK	 
REQUEST	5028		Welcome	1590161681399	1590161681405	OK	 
USER	BuscarLocalPositivoTest	3314	END	1590161657376	1590161681408
REQUEST	4538		BuscarLocalForm	1590161681419	1590161681420	OK	 
REQUEST	4504		BuscarLocalForm	1590161681419	1590161681420	OK	 
USER	BuscarLocalPositivoTest	4995	START	1590161681429	1590161681429
USER	BuscarLocalNegativoTest	5029	START	1590161681429	1590161681429
REQUEST	3838		ThereAreNoResults	1590161681429	1590161681432	OK	 
REQUEST	3804		ThereAreResults	1590161681429	1590161681432	OK	 
REQUEST	5029		Welcome	1590161681429	1590161681434	OK	 
REQUEST	4995		Welcome	1590161681429	1590161681435	OK	 
USER	BuscarLocalPositivoTest	3315	END	1590161657406	1590161681440
USER	BuscarLocalNegativoTest	2718	END	1590161648398	1590161681440
USER	BuscarLocalNegativoTest	2719	END	1590161648420	1590161681450
REQUEST	4505		BuscarLocalForm	1590161681450	1590161681452	OK	 
REQUEST	4539		BuscarLocalForm	1590161681450	1590161681453	OK	 
USER	BuscarLocalPositivoTest	4996	START	1590161681461	1590161681461
USER	BuscarLocalNegativoTest	5030	START	1590161681461	1590161681461
REQUEST	3839		ThereAreNoResults	1590161681461	1590161681464	OK	 
REQUEST	3805		ThereAreResults	1590161681461	1590161681465	OK	 
REQUEST	4996		Welcome	1590161681461	1590161681467	OK	 
REQUEST	5030		Welcome	1590161681461	1590161681467	OK	 
USER	BuscarLocalPositivoTest	3316	END	1590161657439	1590161681473
REQUEST	4540		BuscarLocalForm	1590161681471	1590161681474	OK	 
USER	BuscarLocalNegativoTest	2720	END	1590161648446	1590161681476
REQUEST	4506		BuscarLocalForm	1590161681476	1590161681478	OK	 
USER	BuscarLocalPositivoTest	4997	START	1590161681477	1590161681477
USER	BuscarLocalNegativoTest	5031	START	1590161681479	1590161681479
REQUEST	4997		Welcome	1590161681477	1590161681483	OK	 
REQUEST	5031		Welcome	1590161681479	1590161681484	OK	 
REQUEST	3806		ThereAreResults	1590161681490	1590161681493	OK	 
REQUEST	3840		ThereAreNoResults	1590161681490	1590161681494	OK	 
USER	BuscarLocalNegativoTest	2721	END	1590161648477	1590161681501
REQUEST	3841		ThereAreNoResults	1590161681501	1590161681504	OK	 
REQUEST	3807		ThereAreResults	1590161681502	1590161681506	OK	 
REQUEST	4507		BuscarLocalForm	1590161681506	1590161681508	OK	 
USER	BuscarLocalPositivoTest	3317	END	1590161657466	1590161681508
USER	BuscarLocalPositivoTest	4998	START	1590161681509	1590161681509
REQUEST	4541		BuscarLocalForm	1590161681507	1590161681511	OK	 
USER	BuscarLocalNegativoTest	5032	START	1590161681511	1590161681511
REQUEST	4998		Welcome	1590161681509	1590161681514	OK	 
REQUEST	5032		Welcome	1590161681511	1590161681517	OK	 
USER	BuscarLocalPositivoTest	4999	START	1590161681540	1590161681540
USER	BuscarLocalNegativoTest	2722	END	1590161648510	1590161681540
USER	BuscarLocalPositivoTest	3318	END	1590161657502	1590161681540
USER	BuscarLocalNegativoTest	5033	START	1590161681540	1590161681540
REQUEST	3808		ThereAreResults	1590161681540	1590161681544	OK	 
REQUEST	3842		ThereAreNoResults	1590161681540	1590161681545	OK	 
REQUEST	5033		Welcome	1590161681541	1590161681547	OK	 
REQUEST	4999		Welcome	1590161681540	1590161681547	OK	 
REQUEST	4542		BuscarLocalForm	1590161681550	1590161681552	OK	 
REQUEST	4508		BuscarLocalForm	1590161681550	1590161681554	OK	 
USER	BuscarLocalPositivoTest	3319	END	1590161657537	1590161681556
REQUEST	4509		BuscarLocalForm	1590161681556	1590161681557	OK	 
REQUEST	4543		BuscarLocalForm	1590161681556	1590161681559	OK	 
USER	BuscarLocalNegativoTest	2723	END	1590161648537	1590161681569
USER	BuscarLocalNegativoTest	5034	START	1590161681569	1590161681569
USER	BuscarLocalPositivoTest	5000	START	1590161681569	1590161681569
REQUEST	3809		ThereAreResults	1590161681569	1590161681572	OK	 
REQUEST	3843		ThereAreNoResults	1590161681569	1590161681573	OK	 
REQUEST	5034		Welcome	1590161681569	1590161681573	OK	 
REQUEST	5000		Welcome	1590161681569	1590161681574	OK	 
REQUEST	4510		BuscarLocalForm	1590161681579	1590161681581	OK	 
USER	BuscarLocalNegativoTest	2724	END	1590161648566	1590161681590
REQUEST	3844		ThereAreNoResults	1590161681590	1590161681592	OK	 
REQUEST	3810		ThereAreResults	1590161681590	1590161681592	OK	 
USER	BuscarLocalPositivoTest	3320	END	1590161657557	1590161681600
USER	BuscarLocalNegativoTest	5035	START	1590161681600	1590161681600
USER	BuscarLocalPositivoTest	5001	START	1590161681600	1590161681600
REQUEST	4544		BuscarLocalForm	1590161681600	1590161681602	OK	 
REQUEST	5035		Welcome	1590161681600	1590161681605	OK	 
REQUEST	5001		Welcome	1590161681600	1590161681605	OK	 
USER	BuscarLocalPositivoTest	3321	END	1590161657579	1590161681620
REQUEST	4511		BuscarLocalForm	1590161681620	1590161681622	OK	 
REQUEST	4545		BuscarLocalForm	1590161681620	1590161681623	OK	 
USER	BuscarLocalNegativoTest	2725	END	1590161648596	1590161681631
USER	BuscarLocalPositivoTest	5002	START	1590161681631	1590161681631
USER	BuscarLocalNegativoTest	5036	START	1590161681631	1590161681631
REQUEST	3811		ThereAreResults	1590161681631	1590161681635	OK	 
REQUEST	3845		ThereAreNoResults	1590161681631	1590161681635	OK	 
USER	BuscarLocalPositivoTest	3322	END	1590161657606	1590161681636
REQUEST	5036		Welcome	1590161681631	1590161681637	OK	 
REQUEST	5002		Welcome	1590161681631	1590161681637	OK	 
USER	BuscarLocalNegativoTest	2726	END	1590161648617	1590161681647
REQUEST	4546		BuscarLocalForm	1590161681646	1590161681648	OK	 
REQUEST	4512		BuscarLocalForm	1590161681646	1590161681648	OK	 
USER	BuscarLocalNegativoTest	5037	START	1590161681657	1590161681657
USER	BuscarLocalPositivoTest	5003	START	1590161681657	1590161681657
REQUEST	3846		ThereAreNoResults	1590161681657	1590161681660	OK	 
REQUEST	5003		Welcome	1590161681657	1590161681664	OK	 
REQUEST	5037		Welcome	1590161681657	1590161681664	OK	 
REQUEST	4547		BuscarLocalForm	1590161681667	1590161681669	OK	 
REQUEST	3812		ThereAreResults	1590161681667	1590161681670	OK	 
USER	BuscarLocalNegativoTest	2727	END	1590161648646	1590161681677
USER	BuscarLocalNegativoTest	5038	START	1590161681677	1590161681677
USER	BuscarLocalPositivoTest	5004	START	1590161681677	1590161681677
USER	BuscarLocalPositivoTest	3323	END	1590161657638	1590161681679
REQUEST	4513		BuscarLocalForm	1590161681677	1590161681680	OK	 
REQUEST	3847		ThereAreNoResults	1590161681677	1590161681681	OK	 
REQUEST	3813		ThereAreResults	1590161681677	1590161681683	OK	 
REQUEST	5038		Welcome	1590161681678	1590161681683	OK	 
REQUEST	5004		Welcome	1590161681678	1590161681683	OK	 
USER	BuscarLocalPositivoTest	3324	END	1590161657670	1590161681699
REQUEST	4514		BuscarLocalForm	1590161681699	1590161681701	OK	 
REQUEST	4548		BuscarLocalForm	1590161681699	1590161681701	OK	 
USER	BuscarLocalNegativoTest	5039	START	1590161681710	1590161681710
USER	BuscarLocalPositivoTest	5005	START	1590161681710	1590161681710
REQUEST	5039		Welcome	1590161681710	1590161681714	OK	 
REQUEST	5005		Welcome	1590161681710	1590161681714	OK	 
USER	BuscarLocalNegativoTest	2728	END	1590161648678	1590161681721
USER	BuscarLocalPositivoTest	3325	END	1590161657696	1590161681721
REQUEST	3814		ThereAreResults	1590161681721	1590161681723	OK	 
REQUEST	3848		ThereAreNoResults	1590161681721	1590161681723	OK	 
REQUEST	4515		BuscarLocalForm	1590161681726	1590161681727	OK	 
REQUEST	4549		BuscarLocalForm	1590161681726	1590161681728	OK	 
USER	BuscarLocalPositivoTest	5006	START	1590161681736	1590161681736
USER	BuscarLocalNegativoTest	5040	START	1590161681736	1590161681736
REQUEST	3849		ThereAreNoResults	1590161681736	1590161681739	OK	 
REQUEST	3815		ThereAreResults	1590161681736	1590161681739	OK	 
REQUEST	5040		Welcome	1590161681736	1590161681741	OK	 
REQUEST	5006		Welcome	1590161681736	1590161681742	OK	 
USER	BuscarLocalNegativoTest	2729	END	1590161648710	1590161681747
REQUEST	4516		BuscarLocalForm	1590161681747	1590161681749	OK	 
REQUEST	4550		BuscarLocalForm	1590161681747	1590161681749	OK	 
REQUEST	3816		ThereAreResults	1590161681757	1590161681759	OK	 
REQUEST	3850		ThereAreNoResults	1590161681757	1590161681760	OK	 
USER	BuscarLocalPositivoTest	3326	END	1590161657728	1590161681768
USER	BuscarLocalNegativoTest	5041	START	1590161681768	1590161681768
USER	BuscarLocalPositivoTest	5007	START	1590161681768	1590161681768
REQUEST	5007		Welcome	1590161681768	1590161681773	OK	 
REQUEST	5041		Welcome	1590161681768	1590161681773	OK	 
USER	BuscarLocalNegativoTest	2730	END	1590161648736	1590161681779
REQUEST	4551		BuscarLocalForm	1590161681790	1590161681791	OK	 
REQUEST	4517		BuscarLocalForm	1590161681790	1590161681792	OK	 
USER	BuscarLocalNegativoTest	2731	END	1590161648769	1590161681801
USER	BuscarLocalNegativoTest	5042	START	1590161681801	1590161681801
USER	BuscarLocalPositivoTest	5008	START	1590161681801	1590161681801
USER	BuscarLocalPositivoTest	3327	END	1590161657761	1590161681802
USER	BuscarLocalPositivoTest	5043	START	1590161681803	1590161681803
USER	BuscarLocalNegativoTest	5079	START	1590161681803	1590161681803
REQUEST	3851		ThereAreNoResults	1590161681801	1590161681806	OK	 
REQUEST	3817		ThereAreResults	1590161681801	1590161681808	OK	 
REQUEST	5042		Welcome	1590161681802	1590161681808	OK	 
REQUEST	5043		Welcome	1590161681804	1590161681809	OK	 
USER	BuscarLocalPositivoTest	3328	END	1590161657776	1590161681812
REQUEST	5008		Welcome	1590161681802	1590161681813	OK	 
REQUEST	5079		Welcome	1590161681804	1590161681814	OK	 
REQUEST	4589		BuscarLocalForm	1590161681816	1590161681817	OK	 
REQUEST	4518		BuscarLocalForm	1590161681816	1590161681818	OK	 
REQUEST	4553		BuscarLocalForm	1590161681816	1590161681818	OK	 
REQUEST	4552		BuscarLocalForm	1590161681816	1590161681819	OK	 
REQUEST	3852		ThereAreNoResults	1590161681826	1590161681828	OK	 
REQUEST	3818		ThereAreResults	1590161681826	1590161681829	OK	 
USER	BuscarLocalPositivoTest	3329	END	1590161657807	1590161681837
USER	BuscarLocalNegativoTest	2732	END	1590161648803	1590161681848
USER	BuscarLocalNegativoTest	2769	END	1590161648806	1590161681848
USER	BuscarLocalNegativoTest	5080	START	1590161681848	1590161681848
USER	BuscarLocalPositivoTest	5044	START	1590161681848	1590161681848
REQUEST	3853		ThereAreResults	1590161681848	1590161681851	OK	 
REQUEST	3888		ThereAreNoResults	1590161681848	1590161681852	OK	 
REQUEST	5080		Welcome	1590161681849	1590161681854	OK	 
REQUEST	5044		Welcome	1590161681849	1590161681854	OK	 
REQUEST	4554		BuscarLocalForm	1590161681869	1590161681870	OK	 
REQUEST	4590		BuscarLocalForm	1590161681869	1590161681870	OK	 
USER	BuscarLocalNegativoTest	2770	END	1590161648856	1590161681880
USER	BuscarLocalPositivoTest	3365	END	1590161657847	1590161681880
USER	BuscarLocalPositivoTest	5045	START	1590161681880	1590161681880
USER	BuscarLocalNegativoTest	5081	START	1590161681880	1590161681880
REQUEST	3854		ThereAreResults	1590161681880	1590161681884	OK	 
REQUEST	3889		ThereAreNoResults	1590161681880	1590161681884	OK	 
REQUEST	5081		Welcome	1590161681881	1590161681886	OK	 
REQUEST	5045		Welcome	1590161681881	1590161681887	OK	 
REQUEST	3855		ThereAreResults	1590161681891	1590161681893	OK	 
USER	BuscarLocalPositivoTest	3366	END	1590161657866	1590161681901
REQUEST	3890		ThereAreNoResults	1590161681901	1590161681903	OK	 
REQUEST	4591		BuscarLocalForm	1590161681901	1590161681903	OK	 
REQUEST	4555		BuscarLocalForm	1590161681901	1590161681904	OK	 
USER	BuscarLocalNegativoTest	2771	END	1590161648889	1590161681906
USER	BuscarLocalPositivoTest	5046	START	1590161681906	1590161681906
USER	BuscarLocalNegativoTest	5082	START	1590161681906	1590161681906
REQUEST	5046		Welcome	1590161681906	1590161681910	OK	 
REQUEST	5082		Welcome	1590161681906	1590161681910	OK	 
USER	BuscarLocalPositivoTest	3367	END	1590161657899	1590161681916
REQUEST	3891		ThereAreNoResults	1590161681916	1590161681918	OK	 
USER	BuscarLocalNegativoTest	5083	START	1590161681927	1590161681927
REQUEST	4556		BuscarLocalForm	1590161681927	1590161681929	OK	 
REQUEST	4592		BuscarLocalForm	1590161681927	1590161681930	OK	 
REQUEST	3856		ThereAreResults	1590161681927	1590161681930	OK	 
REQUEST	5083		Welcome	1590161681927	1590161681932	OK	 
USER	BuscarLocalPositivoTest	5047	START	1590161681937	1590161681937
REQUEST	5047		Welcome	1590161681938	1590161681941	OK	 
USER	BuscarLocalNegativoTest	2772	END	1590161648917	1590161681949
REQUEST	3857		ThereAreResults	1590161681948	1590161681951	OK	 
USER	BuscarLocalPositivoTest	3368	END	1590161657926	1590161681959
USER	BuscarLocalNegativoTest	5084	START	1590161681959	1590161681959
USER	BuscarLocalPositivoTest	5048	START	1590161681959	1590161681959
REQUEST	4593		BuscarLocalForm	1590161681959	1590161681962	OK	 
REQUEST	4557		BuscarLocalForm	1590161681959	1590161681963	OK	 
REQUEST	3892		ThereAreNoResults	1590161681959	1590161681964	OK	 
REQUEST	5084		Welcome	1590161681959	1590161681965	OK	 
REQUEST	5048		Welcome	1590161681960	1590161681966	OK	 
USER	BuscarLocalNegativoTest	2773	END	1590161648949	1590161681980
REQUEST	4594		BuscarLocalForm	1590161681980	1590161681982	OK	 
USER	BuscarLocalPositivoTest	3369	END	1590161657957	1590161681986
USER	BuscarLocalPositivoTest	5049	START	1590161681986	1590161681986
USER	BuscarLocalNegativoTest	5085	START	1590161681986	1590161681986
REQUEST	3893		ThereAreNoResults	1590161681986	1590161681989	OK	 
REQUEST	4558		BuscarLocalForm	1590161681986	1590161681989	OK	 
REQUEST	3858		ThereAreResults	1590161681986	1590161681991	OK	 
REQUEST	5049		Welcome	1590161681986	1590161681993	OK	 
REQUEST	5085		Welcome	1590161681986	1590161681994	OK	 
USER	BuscarLocalNegativoTest	2774	END	1590161648971	1590161681996
REQUEST	4595		BuscarLocalForm	1590161682007	1590161682009	OK	 
REQUEST	4559		BuscarLocalForm	1590161682007	1590161682010	OK	 
USER	BuscarLocalNegativoTest	2775	END	1590161648999	1590161682018
USER	BuscarLocalPositivoTest	5050	START	1590161682018	1590161682018
USER	BuscarLocalNegativoTest	5086	START	1590161682018	1590161682018
REQUEST	3894		ThereAreNoResults	1590161682018	1590161682021	OK	 
REQUEST	3859		ThereAreResults	1590161682018	1590161682021	OK	 
REQUEST	5050		Welcome	1590161682018	1590161682024	OK	 
REQUEST	5086		Welcome	1590161682019	1590161682024	OK	 
USER	BuscarLocalPositivoTest	3370	END	1590161657989	1590161682029
REQUEST	4560		BuscarLocalForm	1590161682039	1590161682041	OK	 
REQUEST	3860		ThereAreResults	1590161682039	1590161682041	OK	 
REQUEST	4596		BuscarLocalForm	1590161682039	1590161682042	OK	 
REQUEST	3895		ThereAreNoResults	1590161682039	1590161682042	OK	 
USER	BuscarLocalPositivoTest	3371	END	1590161658016	1590161682050
USER	BuscarLocalPositivoTest	5051	START	1590161682050	1590161682050
USER	BuscarLocalNegativoTest	5087	START	1590161682054	1590161682054
REQUEST	5051		Welcome	1590161682050	1590161682058	OK	 
REQUEST	5087		Welcome	1590161682054	1590161682060	OK	 
USER	BuscarLocalNegativoTest	2776	END	1590161649031	1590161682067
USER	BuscarLocalPositivoTest	3372	END	1590161658046	1590161682067
REQUEST	4561		BuscarLocalForm	1590161682067	1590161682069	OK	 
REQUEST	4597		BuscarLocalForm	1590161682067	1590161682071	OK	 
USER	BuscarLocalNegativoTest	5088	START	1590161682078	1590161682078
USER	BuscarLocalPositivoTest	5052	START	1590161682078	1590161682078
REQUEST	3896		ThereAreNoResults	1590161682078	1590161682081	OK	 
REQUEST	3861		ThereAreResults	1590161682078	1590161682082	OK	 
REQUEST	5088		Welcome	1590161682078	1590161682084	OK	 
REQUEST	5052		Welcome	1590161682078	1590161682084	OK	 
USER	BuscarLocalPositivoTest	3373	END	1590161658067	1590161682088
USER	BuscarLocalNegativoTest	2777	END	1590161649062	1590161682098
REQUEST	4562		BuscarLocalForm	1590161682098	1590161682100	OK	 
REQUEST	3862		ThereAreResults	1590161682098	1590161682101	OK	 
REQUEST	3897		ThereAreNoResults	1590161682098	1590161682101	OK	 
USER	BuscarLocalNegativoTest	5089	START	1590161682109	1590161682109
USER	BuscarLocalPositivoTest	5053	START	1590161682109	1590161682109
REQUEST	4598		BuscarLocalForm	1590161682109	1590161682112	OK	 
REQUEST	5089		Welcome	1590161682110	1590161682114	OK	 
REQUEST	5053		Welcome	1590161682110	1590161682115	OK	 
USER	BuscarLocalNegativoTest	2778	END	1590161649093	1590161682120
REQUEST	4563		BuscarLocalForm	1590161682130	1590161682133	OK	 
REQUEST	3898		ThereAreNoResults	1590161682130	1590161682134	OK	 
USER	BuscarLocalPositivoTest	3374	END	1590161658100	1590161682135
REQUEST	3863		ThereAreResults	1590161682130	1590161682136	OK	 
REQUEST	4599		BuscarLocalForm	1590161682134	1590161682137	OK	 
USER	BuscarLocalNegativoTest	5090	START	1590161682138	1590161682138
USER	BuscarLocalPositivoTest	5054	START	1590161682138	1590161682138
REQUEST	5090		Welcome	1590161682138	1590161682143	OK	 
REQUEST	5054		Welcome	1590161682139	1590161682145	OK	 
REQUEST	3899		ThereAreNoResults	1590161682148	1590161682151	OK	 
REQUEST	3864		ThereAreResults	1590161682148	1590161682151	OK	 
USER	BuscarLocalNegativoTest	2779	END	1590161649116	1590161682160
USER	BuscarLocalPositivoTest	5055	START	1590161682160	1590161682160
USER	BuscarLocalNegativoTest	5091	START	1590161682160	1590161682160
REQUEST	4564		BuscarLocalForm	1590161682160	1590161682163	OK	 
REQUEST	4600		BuscarLocalForm	1590161682160	1590161682163	OK	 
REQUEST	5091		Welcome	1590161682161	1590161682166	OK	 
REQUEST	5055		Welcome	1590161682161	1590161682167	OK	 
REQUEST	4601		BuscarLocalForm	1590161682171	1590161682173	OK	 
USER	BuscarLocalNegativoTest	2780	END	1590161649147	1590161682176
USER	BuscarLocalPositivoTest	3375	END	1590161658128	1590161682177
REQUEST	3865		ThereAreResults	1590161682176	1590161682179	OK	 
USER	BuscarLocalPositivoTest	3376	END	1590161658160	1590161682189
REQUEST	4565		BuscarLocalForm	1590161682188	1590161682190	OK	 
REQUEST	3900		ThereAreNoResults	1590161682188	1590161682191	OK	 
USER	BuscarLocalPositivoTest	5056	START	1590161682191	1590161682191
USER	BuscarLocalNegativoTest	5092	START	1590161682191	1590161682191
REQUEST	5092		Welcome	1590161682202	1590161682205	OK	 
REQUEST	5056		Welcome	1590161682191	1590161682206	OK	 
USER	BuscarLocalNegativoTest	2781	END	1590161649170	1590161682206
REQUEST	4566		BuscarLocalForm	1590161682207	1590161682208	OK	 
REQUEST	4602		BuscarLocalForm	1590161682207	1590161682208	OK	 
USER	BuscarLocalNegativoTest	5093	START	1590161682216	1590161682216
USER	BuscarLocalPositivoTest	5057	START	1590161682216	1590161682216
REQUEST	3901		ThereAreNoResults	1590161682216	1590161682219	OK	 
REQUEST	3866		ThereAreResults	1590161682216	1590161682219	OK	 
USER	BuscarLocalNegativoTest	2782	END	1590161649201	1590161682227
USER	BuscarLocalPositivoTest	3377	END	1590161658191	1590161682227
REQUEST	5057		Welcome	1590161682217	1590161682232	OK	 
REQUEST	5093		Welcome	1590161682217	1590161682232	OK	 
USER	BuscarLocalPositivoTest	3378	END	1590161658220	1590161682237
REQUEST	4603		BuscarLocalForm	1590161682237	1590161682239	OK	 
REQUEST	4567		BuscarLocalForm	1590161682237	1590161682239	OK	 
USER	BuscarLocalPositivoTest	5058	START	1590161682248	1590161682248
REQUEST	3902		ThereAreNoResults	1590161682248	1590161682252	OK	 
REQUEST	3867		ThereAreResults	1590161682248	1590161682253	OK	 
USER	BuscarLocalNegativoTest	5094	START	1590161682254	1590161682254
REQUEST	5058		Welcome	1590161682249	1590161682255	OK	 
USER	BuscarLocalNegativoTest	2783	END	1590161649226	1590161682256
REQUEST	5094		Welcome	1590161682254	1590161682258	OK	 
REQUEST	4604		BuscarLocalForm	1590161682266	1590161682268	OK	 
REQUEST	4568		BuscarLocalForm	1590161682266	1590161682268	OK	 
USER	BuscarLocalPositivoTest	3379	END	1590161658246	1590161682277
USER	BuscarLocalPositivoTest	5059	START	1590161682276	1590161682276
USER	BuscarLocalNegativoTest	5095	START	1590161682276	1590161682276
REQUEST	3868		ThereAreResults	1590161682276	1590161682280	OK	 
REQUEST	3903		ThereAreNoResults	1590161682276	1590161682282	OK	 
REQUEST	5095		Welcome	1590161682277	1590161682284	OK	 
REQUEST	5059		Welcome	1590161682277	1590161682284	OK	 
USER	BuscarLocalNegativoTest	2784	END	1590161649258	1590161682287
USER	BuscarLocalPositivoTest	3380	END	1590161658267	1590161682298
REQUEST	4569		BuscarLocalForm	1590161682298	1590161682300	OK	 
REQUEST	3904		ThereAreNoResults	1590161682298	1590161682301	OK	 
REQUEST	4605		BuscarLocalForm	1590161682298	1590161682302	OK	 
REQUEST	3869		ThereAreResults	1590161682298	1590161682302	OK	 
USER	BuscarLocalPositivoTest	5060	START	1590161682309	1590161682309
USER	BuscarLocalNegativoTest	5096	START	1590161682309	1590161682309
REQUEST	5096		Welcome	1590161682309	1590161682314	OK	 
REQUEST	5060		Welcome	1590161682309	1590161682314	OK	 
REQUEST	3905		ThereAreNoResults	1590161682319	1590161682321	OK	 
REQUEST	3870		ThereAreResults	1590161682319	1590161682321	OK	 
USER	BuscarLocalNegativoTest	2785	END	1590161649290	1590161682330
USER	BuscarLocalNegativoTest	5097	START	1590161682330	1590161682330
REQUEST	4606		BuscarLocalForm	1590161682330	1590161682333	OK	 
REQUEST	4570		BuscarLocalForm	1590161682330	1590161682333	OK	 
REQUEST	5097		Welcome	1590161682331	1590161682335	OK	 
USER	BuscarLocalPositivoTest	3381	END	1590161658299	1590161682341
USER	BuscarLocalPositivoTest	5061	START	1590161682341	1590161682341
REQUEST	5061		Welcome	1590161682341	1590161682345	OK	 
USER	BuscarLocalNegativoTest	2786	END	1590161649316	1590161682346
USER	BuscarLocalPositivoTest	3382	END	1590161658326	1590161682346
USER	BuscarLocalPositivoTest	5062	START	1590161682356	1590161682356
USER	BuscarLocalNegativoTest	5098	START	1590161682356	1590161682356
REQUEST	4607		BuscarLocalForm	1590161682356	1590161682358	OK	 
REQUEST	3906		ThereAreNoResults	1590161682356	1590161682360	OK	 
REQUEST	4571		BuscarLocalForm	1590161682356	1590161682360	OK	 
REQUEST	3871		ThereAreResults	1590161682356	1590161682361	OK	 
REQUEST	5098		Welcome	1590161682357	1590161682363	OK	 
REQUEST	5062		Welcome	1590161682356	1590161682363	OK	 
REQUEST	3907		ThereAreNoResults	1590161682366	1590161682368	OK	 
USER	BuscarLocalNegativoTest	2787	END	1590161649347	1590161682377
REQUEST	4608		BuscarLocalForm	1590161682377	1590161682386	OK	 
REQUEST	3872		ThereAreResults	1590161682377	1590161682387	OK	 
USER	BuscarLocalPositivoTest	3383	END	1590161658358	1590161682387
USER	BuscarLocalPositivoTest	5063	START	1590161682387	1590161682387
USER	BuscarLocalNegativoTest	5099	START	1590161682387	1590161682387
REQUEST	4572		BuscarLocalForm	1590161682387	1590161682389	OK	 
REQUEST	5099		Welcome	1590161682388	1590161682393	OK	 
REQUEST	5063		Welcome	1590161682387	1590161682393	OK	 
USER	BuscarLocalNegativoTest	2788	END	1590161649377	1590161682398
REQUEST	4573		BuscarLocalForm	1590161682408	1590161682410	OK	 
REQUEST	4609		BuscarLocalForm	1590161682408	1590161682410	OK	 
USER	BuscarLocalNegativoTest	5100	START	1590161682419	1590161682419
USER	BuscarLocalPositivoTest	5064	START	1590161682419	1590161682419
REQUEST	3908		ThereAreNoResults	1590161682419	1590161682423	OK	 
REQUEST	5100		Welcome	1590161682419	1590161682424	OK	 
