ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	dp2.BuscarLocalTestDiagnosis	buscarlocaltestdiagnosis	1590161608069	 	3.3.1
USER	BuscarLocalPositivoTest	38	START	1590161610866	1590161610866
REQUEST	38		Welcome	1590161610866	1590161610870	OK	 
USER	BuscarLocalNegativoTest	110	START	1590161610877	1590161610877
REQUEST	110		Welcome	1590161610877	1590161610881	OK	 
USER	BuscarLocalPositivoTest	39	START	1590161610898	1590161610898
REQUEST	39		Welcome	1590161610899	1590161610902	OK	 
USER	BuscarLocalNegativoTest	111	START	1590161610909	1590161610909
REQUEST	111		Welcome	1590161610909	1590161610913	OK	 
USER	BuscarLocalPositivoTest	40	START	1590161610930	1590161610930
REQUEST	40		Welcome	1590161610930	1590161610934	OK	 
USER	BuscarLocalNegativoTest	112	START	1590161610941	1590161610941
REQUEST	112		Welcome	1590161610941	1590161610946	OK	 
USER	BuscarLocalPositivoTest	41	START	1590161610946	1590161610946
REQUEST	41		Welcome	1590161610946	1590161610951	OK	 
USER	BuscarLocalNegativoTest	113	START	1590161610967	1590161610967
REQUEST	113		Welcome	1590161610967	1590161610971	OK	 
USER	BuscarLocalPositivoTest	42	START	1590161610978	1590161610978
REQUEST	42		Welcome	1590161610978	1590161610982	OK	 
USER	BuscarLocalNegativoTest	114	START	1590161610999	1590161610999
REQUEST	114		Welcome	1590161610999	1590161611005	OK	 
USER	BuscarLocalPositivoTest	43	START	1590161611009	1590161611009
REQUEST	43		Welcome	1590161611010	1590161611014	OK	 
USER	BuscarLocalNegativoTest	115	START	1590161611020	1590161611020
REQUEST	115		Welcome	1590161611021	1590161611025	OK	 
USER	BuscarLocalPositivoTest	44	START	1590161611041	1590161611041
REQUEST	44		Welcome	1590161611042	1590161611046	OK	 
USER	BuscarLocalNegativoTest	116	START	1590161611046	1590161611046
REQUEST	116		Welcome	1590161611047	1590161611051	OK	 
USER	BuscarLocalPositivoTest	45	START	1590161611067	1590161611067
REQUEST	45		Welcome	1590161611068	1590161611072	OK	 
USER	BuscarLocalNegativoTest	117	START	1590161611078	1590161611078
REQUEST	117		Welcome	1590161611079	1590161611084	OK	 
USER	BuscarLocalPositivoTest	46	START	1590161611099	1590161611099
REQUEST	46		Welcome	1590161611100	1590161611105	OK	 
USER	BuscarLocalNegativoTest	118	START	1590161611110	1590161611110
REQUEST	118		Welcome	1590161611111	1590161611114	OK	 
USER	BuscarLocalPositivoTest	47	START	1590161611126	1590161611126
REQUEST	47		Welcome	1590161611126	1590161611130	OK	 
USER	BuscarLocalNegativoTest	119	START	1590161611136	1590161611136
REQUEST	119		Welcome	1590161611136	1590161611140	OK	 
USER	BuscarLocalPositivoTest	48	START	1590161611146	1590161611146
REQUEST	48		Welcome	1590161611147	1590161611150	OK	 
USER	BuscarLocalNegativoTest	120	START	1590161611168	1590161611168
REQUEST	120		Welcome	1590161611169	1590161611173	OK	 
USER	BuscarLocalPositivoTest	49	START	1590161611179	1590161611179
REQUEST	49		Welcome	1590161611180	1590161611184	OK	 
USER	BuscarLocalNegativoTest	121	START	1590161611196	1590161611196
REQUEST	121		Welcome	1590161611196	1590161611202	OK	 
USER	BuscarLocalPositivoTest	50	START	1590161611211	1590161611211
REQUEST	50		Welcome	1590161611212	1590161611216	OK	 
USER	BuscarLocalNegativoTest	122	START	1590161611217	1590161611217
REQUEST	122		Welcome	1590161611218	1590161611224	OK	 
USER	BuscarLocalPositivoTest	51	START	1590161611239	1590161611239
REQUEST	51		Welcome	1590161611239	1590161611243	OK	 
USER	BuscarLocalNegativoTest	123	START	1590161611249	1590161611249
REQUEST	123		Welcome	1590161611249	1590161611253	OK	 
USER	BuscarLocalNegativoTest	124	START	1590161611280	1590161611280
USER	BuscarLocalPositivoTest	52	START	1590161611280	1590161611280
