ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	VerFiestasQueAsistoTest	verfiestasqueasistotest	1590262739038	 	3.3.1
REQUEST	7		jquery-ui.theme.min.css	1590262740548	1590262740564	OK	 
REQUEST	28		jquery-ui.theme.min.css	1590262740548	1590262740564	OK	 
REQUEST	7		bootstrap.min.js	1590262740559	1590262740565	OK	 
REQUEST	28		bootstrap.min.js	1590262740556	1590262740565	OK	 
REQUEST	6		jquery.min.js	1590262740442	1590262740599	OK	 
USER	VerFiestasQueAsistoNegativo	29	START	1590262740622	1590262740622
REQUEST	27		jquery.min.js	1590262740442	1590262740624	OK	 
REQUEST	29		Home	1590262740623	1590262740633	OK	 
USER	VerFiestasQueAsistoPositivo	8	START	1590262740633	1590262740633
REQUEST	8		Home	1590262740633	1590262740638	OK	 
REQUEST	29		favicon.png	1590262740636	1590262740639	OK	 
REQUEST	29		petclinic.css	1590262740636	1590262740643	OK	 
REQUEST	29		jquery-ui.min.css	1590262740636	1590262740645	OK	 
REQUEST	8		favicon.png	1590262740642	1590262740646	OK	 
REQUEST	29		jquery.min.js	1590262740637	1590262740646	OK	 
REQUEST	29		jquery-ui.min.js	1590262740639	1590262740647	OK	 
REQUEST	29		jquery-ui.theme.min.css	1590262740637	1590262740647	OK	 
REQUEST	29		spring-pivotal-logo.png	1590262740637	1590262740648	OK	 
REQUEST	29		bootstrap.min.js	1590262740645	1590262740649	OK	 
REQUEST	8		petclinic.css	1590262740643	1590262740650	OK	 
REQUEST	8		jquery-ui.theme.min.css	1590262740644	1590262740653	OK	 
REQUEST	8		spring-pivotal-logo.png	1590262740644	1590262740654	OK	 
REQUEST	8		jquery.min.js	1590262740645	1590262740654	OK	 
REQUEST	8		jquery-ui.min.js	1590262740646	1590262740655	OK	 
REQUEST	8		bootstrap.min.js	1590262740652	1590262740655	OK	 
REQUEST	8		jquery-ui.min.css	1590262740643	1590262740656	OK	 
REQUEST	7		jquery.min.js	1590262740547	1590262740696	OK	 
REQUEST	28		jquery.min.js	1590262740546	1590262740716	OK	 
USER	VerFiestasQueAsistoNegativo	30	START	1590262740722	1590262740722
REQUEST	30		Home	1590262740723	1590262740726	OK	 
REQUEST	30		favicon.png	1590262740729	1590262740732	OK	 
USER	VerFiestasQueAsistoPositivo	9	START	1590262740733	1590262740733
REQUEST	30		petclinic.css	1590262740729	1590262740735	OK	 
REQUEST	30		jquery-ui.min.css	1590262740730	1590262740737	OK	 
REQUEST	9		Home	1590262740734	1590262740738	OK	 
REQUEST	30		jquery-ui.min.js	1590262740732	1590262740738	OK	 
REQUEST	30		jquery-ui.theme.min.css	1590262740730	1590262740738	OK	 
REQUEST	30		spring-pivotal-logo.png	1590262740730	1590262740739	OK	 
REQUEST	30		jquery.min.js	1590262740731	1590262740739	OK	 
REQUEST	30		bootstrap.min.js	1590262740737	1590262740740	OK	 
