ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	dp2.AceptarLocalTest	aceptarlocaltest	1590257910400	 	3.3.1
REQUEST	31		Welcome	1590257912450	1590257912453	OK	 
USER	AceptarLocalTestPositivo	10	START	1590257912465	1590257912465
REQUEST	10		Welcome	1590257912465	1590257912468	OK	 
USER	AceptarLocalTestNegativo	32	START	1590257912555	1590257912555
USER	AceptarLocalTestPositivo	11	START	1590257912556	1590257912556
REQUEST	32		Welcome	1590257912556	1590257912559	OK	 
REQUEST	11		Welcome	1590257912556	1590257912560	OK	 
USER	AceptarLocalTestNegativo	33	START	1590257912649	1590257912649
REQUEST	33		Welcome	1590257912650	1590257912652	OK	 
USER	AceptarLocalTestPositivo	12	START	1590257912670	1590257912670
REQUEST	12		Welcome	1590257912670	1590257912673	OK	 
USER	AceptarLocalTestNegativo	34	START	1590257912748	1590257912748
REQUEST	34		Welcome	1590257912748	1590257912751	OK	 
USER	AceptarLocalTestPositivo	13	START	1590257912763	1590257912763
REQUEST	13		Welcome	1590257912764	1590257912767	OK	 
USER	AceptarLocalTestNegativo	35	START	1590257912846	1590257912846
REQUEST	35		Welcome	1590257912846	1590257912848	OK	 
USER	AceptarLocalTestPositivo	14	START	1590257912857	1590257912857
REQUEST	14		Welcome	1590257912858	1590257912861	OK	 
USER	AceptarLocalTestNegativo	36	START	1590257912951	1590257912951
REQUEST	36		Welcome	1590257912951	1590257912954	OK	 
USER	AceptarLocalTestPositivo	15	START	1590257912956	1590257912956
REQUEST	15		Welcome	1590257912956	1590257912959	OK	 
USER	AceptarLocalTestNegativo	37	START	1590257913048	1590257913048
REQUEST	37		Welcome	1590257913048	1590257913051	OK	 
USER	AceptarLocalTestPositivo	16	START	1590257913063	1590257913063
REQUEST	16		Welcome	1590257913064	1590257913068	OK	 
USER	AceptarLocalTestNegativo	38	START	1590257913146	1590257913146
REQUEST	38		Welcome	1590257913146	1590257913148	OK	 
USER	AceptarLocalTestPositivo	17	START	1590257913173	1590257913173
REQUEST	17		Welcome	1590257913173	1590257913176	OK	 
USER	AceptarLocalTestNegativo	39	START	1590257913251	1590257913251
REQUEST	39		Welcome	1590257913251	1590257913254	OK	 
USER	AceptarLocalTestPositivo	18	START	1590257913256	1590257913256
REQUEST	18		Welcome	1590257913256	1590257913261	OK	 
USER	AceptarLocalTestPositivo	19	START	1590257913362	1590257913362
USER	AceptarLocalTestNegativo	40	START	1590257913366	1590257913366
REQUEST	19		Welcome	1590257913363	1590257913370	OK	 
REQUEST	40		Welcome	1590257913367	1590257913371	OK	 
USER	AceptarLocalTestPositivo	20	START	1590257913456	1590257913456
REQUEST	20		Welcome	1590257913456	1590257913461	OK	 
USER	AceptarLocalTestNegativo	41	START	1590257913472	1590257913472
REQUEST	41		Welcome	1590257913472	1590257913475	OK	 
USER	AceptarLocalTestPositivo	21	START	1590257913565	1590257913565
USER	AceptarLocalTestNegativo	42	START	1590257913566	1590257913566
REQUEST	42		Welcome	1590257913566	1590257913569	OK	 
REQUEST	21		Welcome	1590257913566	1590257913570	OK	 
USER	AceptarLocalTestPositivo	43	START	1590257913646	1590257913646
REQUEST	43		Welcome	1590257913646	1590257913648	OK	 
USER	AceptarLocalTestNegativo	53	START	1590257913659	1590257913659
REQUEST	53		Welcome	1590257913659	1590257913661	OK	 
USER	AceptarLocalTestPositivo	44	START	1590257913746	1590257913746
REQUEST	44		Welcome	1590257913746	1590257913748	OK	 
USER	AceptarLocalTestNegativo	54	START	1590257913757	1590257913757
REQUEST	54		Welcome	1590257913758	1590257913760	OK	 
USER	AceptarLocalTestPositivo	45	START	1590257913851	1590257913851
REQUEST	45		Welcome	1590257913852	1590257913855	OK	 
USER	AceptarLocalTestNegativo	55	START	1590257913856	1590257913856
REQUEST	55		Welcome	1590257913856	1590257913859	OK	 
USER	AceptarLocalTestPositivo	46	START	1590257913946	1590257913946
REQUEST	46		Welcome	1590257913947	1590257913951	OK	 
USER	AceptarLocalTestNegativo	56	START	1590257913960	1590257913960
REQUEST	56		Welcome	1590257913962	1590257913968	OK	 
USER	AceptarLocalTestNegativo	57	START	1590257914056	1590257914056
USER	AceptarLocalTestPositivo	47	START	1590257914056	1590257914056
REQUEST	47		Welcome	1590257914056	1590257914059	OK	 
REQUEST	57		Welcome	1590257914056	1590257914059	OK	 
USER	AceptarLocalTestNegativo	58	START	1590257914163	1590257914163
USER	AceptarLocalTestPositivo	48	START	1590257914166	1590257914166
REQUEST	58		Welcome	1590257914164	1590257914168	OK	 
REQUEST	48		Welcome	1590257914167	1590257914171	OK	 
USER	AceptarLocalTestNegativo	59	START	1590257914257	1590257914257
REQUEST	59		Welcome	1590257914258	1590257914264	OK	 
USER	AceptarLocalTestPositivo	49	START	1590257914273	1590257914273
REQUEST	49		Welcome	1590257914273	1590257914276	OK	 
USER	AceptarLocalTestNegativo	60	START	1590257914356	1590257914356
REQUEST	60		Welcome	1590257914356	1590257914358	OK	 
USER	AceptarLocalTestPositivo	50	START	1590257914367	1590257914367
REQUEST	50		Welcome	1590257914367	1590257914369	OK	 
USER	AceptarLocalTestNegativo	61	START	1590257914464	1590257914464
USER	AceptarLocalTestPositivo	51	START	1590257914466	1590257914466
REQUEST	61		Welcome	1590257914464	1590257914466	OK	 
REQUEST	51		Welcome	1590257914466	1590257914468	OK	 
USER	AceptarLocalTestNegativo	62	START	1590257914557	1590257914557
REQUEST	62		Welcome	1590257914558	1590257914560	OK	 
USER	AceptarLocalTestPositivo	52	START	1590257914573	1590257914573
REQUEST	52		Welcome	1590257914574	1590257914576	OK	 
USER	AceptarLocalTestPositivo	63	START	1590257914653	1590257914653
USER	AceptarLocalTestNegativo	73	START	1590257914653	1590257914653
REQUEST	63		Welcome	1590257914653	1590257914656	OK	 
REQUEST	73		Welcome	1590257914653	1590257914656	OK	 
USER	AceptarLocalTestPositivo	64	START	1590257914747	1590257914747
USER	AceptarLocalTestNegativo	74	START	1590257914747	1590257914747
REQUEST	74		Welcome	1590257914748	1590257914754	OK	 
REQUEST	64		Welcome	1590257914748	1590257914754	OK	 
USER	AceptarLocalTestNegativo	75	START	1590257914847	1590257914847
USER	AceptarLocalTestPositivo	65	START	1590257914847	1590257914847
REQUEST	75		Welcome	1590257914848	1590257914851	OK	 
REQUEST	65		Welcome	1590257914848	1590257914852	OK	 
USER	AceptarLocalTestPositivo	66	START	1590257914946	1590257914946
USER	AceptarLocalTestNegativo	76	START	1590257914946	1590257914946
REQUEST	76		Welcome	1590257914946	1590257914949	OK	 
REQUEST	66		Welcome	1590257914946	1590257914949	OK	 
USER	AceptarLocalTestNegativo	77	START	1590257915051	1590257915051
USER	AceptarLocalTestPositivo	67	START	1590257915051	1590257915051
REQUEST	77		Welcome	1590257915051	1590257915053	OK	 
REQUEST	67		Welcome	1590257915051	1590257915054	OK	 
USER	AceptarLocalTestPositivo	68	START	1590257915146	1590257915146
USER	AceptarLocalTestNegativo	78	START	1590257915146	1590257915146
REQUEST	68		Welcome	1590257915146	1590257915150	OK	 
REQUEST	78		Welcome	1590257915146	1590257915150	OK	 
USER	AceptarLocalTestPositivo	69	START	1590257915254	1590257915254
USER	AceptarLocalTestNegativo	79	START	1590257915254	1590257915254
REQUEST	79		Welcome	1590257915254	1590257915257	OK	 
REQUEST	69		Welcome	1590257915254	1590257915257	OK	 
USER	AceptarLocalTestNegativo	80	START	1590257915347	1590257915347
USER	AceptarLocalTestPositivo	70	START	1590257915347	1590257915347
REQUEST	80		Welcome	1590257915348	1590257915350	OK	 
REQUEST	70		Welcome	1590257915348	1590257915350	OK	 
USER	AceptarLocalTestNegativo	81	START	1590257915446	1590257915446
USER	AceptarLocalTestPositivo	71	START	1590257915446	1590257915446
REQUEST	81		Welcome	1590257915446	1590257915449	OK	 
REQUEST	71		Welcome	1590257915446	1590257915449	OK	 
USER	AceptarLocalTestPositivo	72	START	1590257915550	1590257915550
USER	AceptarLocalTestNegativo	82	START	1590257915550	1590257915550
REQUEST	72		Welcome	1590257915551	1590257915555	OK	 
REQUEST	82		Welcome	1590257915551	1590257915555	OK	 
USER	AceptarLocalTestPositivo	83	START	1590257915675	1590257915675
USER	AceptarLocalTestNegativo	93	START	1590257915675	1590257915675
REQUEST	93		Welcome	1590257915676	1590257915681	OK	 
REQUEST	83		Welcome	1590257915676	1590257915681	OK	 
USER	AceptarLocalTestNegativo	94	START	1590257915772	1590257915772
USER	AceptarLocalTestPositivo	84	START	1590257915772	1590257915772
REQUEST	84		Welcome	1590257915772	1590257915778	OK	 
REQUEST	94		Welcome	1590257915772	1590257915778	OK	 
USER	AceptarLocalTestPositivo	85	START	1590257915870	1590257915870
USER	AceptarLocalTestNegativo	95	START	1590257915870	1590257915870
REQUEST	95		Welcome	1590257915872	1590257915877	OK	 
REQUEST	85		Welcome	1590257915871	1590257915877	OK	 
USER	AceptarLocalTestNegativo	96	START	1590257915966	1590257915966
USER	AceptarLocalTestPositivo	86	START	1590257915966	1590257915966
REQUEST	86		Welcome	1590257915966	1590257915968	OK	 
REQUEST	96		Welcome	1590257915966	1590257915968	OK	 
USER	AceptarLocalTestNegativo	97	START	1590257916075	1590257916075
USER	AceptarLocalTestPositivo	87	START	1590257916075	1590257916075
REQUEST	87		Welcome	1590257916076	1590257916079	OK	 
REQUEST	97		Welcome	1590257916076	1590257916079	OK	 
USER	AceptarLocalTestPositivo	88	START	1590257916169	1590257916169
USER	AceptarLocalTestNegativo	98	START	1590257916169	1590257916169
REQUEST	88		Welcome	1590257916170	1590257916173	OK	 
REQUEST	98		Welcome	1590257916170	1590257916173	OK	 
USER	AceptarLocalTestNegativo	99	START	1590257916266	1590257916266
USER	AceptarLocalTestPositivo	89	START	1590257916266	1590257916266
REQUEST	99		Welcome	1590257916266	1590257916269	OK	 
REQUEST	89		Welcome	1590257916266	1590257916271	OK	 
USER	AceptarLocalTestPositivo	90	START	1590257916373	1590257916373
USER	AceptarLocalTestNegativo	100	START	1590257916373	1590257916373
REQUEST	90		Welcome	1590257916373	1590257916375	OK	 
REQUEST	100		Welcome	1590257916373	1590257916375	OK	 
USER	AceptarLocalTestPositivo	91	START	1590257916481	1590257916481
USER	AceptarLocalTestNegativo	101	START	1590257916481	1590257916481
REQUEST	101		Welcome	1590257916482	1590257916485	OK	 
REQUEST	91		Welcome	1590257916482	1590257916485	OK	 
USER	AceptarLocalTestPositivo	92	START	1590257916579	1590257916579
USER	AceptarLocalTestNegativo	102	START	1590257916579	1590257916579
REQUEST	102		Welcome	1590257916579	1590257916582	OK	 
REQUEST	92		Welcome	1590257916579	1590257916582	OK	 
USER	AceptarLocalTestNegativo	113	START	1590257916657	1590257916657
USER	AceptarLocalTestPositivo	103	START	1590257916657	1590257916657
REQUEST	113		Welcome	1590257916657	1590257916660	OK	 
REQUEST	103		Welcome	1590257916657	1590257916660	OK	 
USER	AceptarLocalTestPositivo	104	START	1590257916766	1590257916766
USER	AceptarLocalTestNegativo	114	START	1590257916766	1590257916766
REQUEST	114		Welcome	1590257916768	1590257916772	OK	 
REQUEST	104		Welcome	1590257916767	1590257916772	OK	 
USER	AceptarLocalTestPositivo	105	START	1590257916862	1590257916862
USER	AceptarLocalTestNegativo	115	START	1590257916862	1590257916862
REQUEST	105		Welcome	1590257916862	1590257916866	OK	 
REQUEST	115		Welcome	1590257916862	1590257916866	OK	 
USER	AceptarLocalTestNegativo	116	START	1590257916960	1590257916960
USER	AceptarLocalTestPositivo	106	START	1590257916960	1590257916960
REQUEST	116		Welcome	1590257916961	1590257916964	OK	 
REQUEST	106		Welcome	1590257916961	1590257916964	OK	 
USER	AceptarLocalTestPositivo	107	START	1590257917056	1590257917056
USER	AceptarLocalTestNegativo	117	START	1590257917056	1590257917056
REQUEST	117		Welcome	1590257917057	1590257917062	OK	 
REQUEST	107		Welcome	1590257917057	1590257917062	OK	 
USER	AceptarLocalTestNegativo	118	START	1590257917163	1590257917163
USER	AceptarLocalTestPositivo	108	START	1590257917163	1590257917163
REQUEST	108		Welcome	1590257917163	1590257917165	OK	 
REQUEST	118		Welcome	1590257917163	1590257917165	OK	 
USER	AceptarLocalTestPositivo	109	START	1590257917256	1590257917256
USER	AceptarLocalTestNegativo	119	START	1590257917256	1590257917256
REQUEST	109		Welcome	1590257917257	1590257917260	OK	 
REQUEST	119		Welcome	1590257917257	1590257917260	OK	 
USER	AceptarLocalTestPositivo	110	START	1590257917356	1590257917356
USER	AceptarLocalTestNegativo	120	START	1590257917356	1590257917356
REQUEST	110		Welcome	1590257917357	1590257917363	OK	 
REQUEST	120		Welcome	1590257917357	1590257917363	OK	 
USER	AceptarLocalTestNegativo	121	START	1590257917456	1590257917456
USER	AceptarLocalTestPositivo	111	START	1590257917456	1590257917456
REQUEST	111		Welcome	1590257917457	1590257917460	OK	 
REQUEST	121		Welcome	1590257917457	1590257917460	OK	 
USER	AceptarLocalTestNegativo	122	START	1590257917562	1590257917562
USER	AceptarLocalTestPositivo	112	START	1590257917562	1590257917562
REQUEST	122		Welcome	1590257917563	1590257917567	OK	 
REQUEST	112		Welcome	1590257917563	1590257917567	OK	 
REQUEST	22		WrongLogin	1590257917609	1590257917610	OK	 
REQUEST	1		RightLogin	1590257917609	1590257917610	OK	 
USER	AceptarLocalTestNegativo	133	START	1590257917656	1590257917656
USER	AceptarLocalTestPositivo	123	START	1590257917656	1590257917656
REQUEST	133		Welcome	1590257917656	1590257917658	OK	 
REQUEST	123		Welcome	1590257917656	1590257917658	OK	 
REQUEST	23		WrongLogin	1590257917676	1590257917677	OK	 
REQUEST	2		RightLogin	1590257917676	1590257917677	OK	 
USER	AceptarLocalTestPositivo	124	START	1590257917749	1590257917749
USER	AceptarLocalTestNegativo	134	START	1590257917749	1590257917749
REQUEST	134		Welcome	1590257917750	1590257917753	OK	 
REQUEST	124		Welcome	1590257917750	1590257917753	OK	 
REQUEST	24		WrongLogin	1590257917780	1590257917781	OK	 
REQUEST	3		RightLogin	1590257917806	1590257917807	OK	 
USER	AceptarLocalTestNegativo	135	START	1590257917855	1590257917855
USER	AceptarLocalTestPositivo	125	START	1590257917855	1590257917855
REQUEST	135		Welcome	1590257917856	1590257917859	OK	 
REQUEST	125		Welcome	1590257917856	1590257917859	OK	 
REQUEST	25		WrongLogin	1590257917886	1590257917887	OK	 
REQUEST	4		RightLogin	1590257917902	1590257917903	OK	 
USER	AceptarLocalTestPositivo	126	START	1590257917948	1590257917948
USER	AceptarLocalTestNegativo	136	START	1590257917948	1590257917948
REQUEST	126		Welcome	1590257917949	1590257917953	OK	 
REQUEST	136		Welcome	1590257917949	1590257917953	OK	 
REQUEST	26		WrongLogin	1590257917984	1590257917985	OK	 
REQUEST	5		RightLogin	1590257917986	1590257917986	OK	 
USER	AceptarLocalTestNegativo	137	START	1590257918046	1590257918046
USER	AceptarLocalTestPositivo	127	START	1590257918046	1590257918046
REQUEST	127		Welcome	1590257918047	1590257918049	OK	 
REQUEST	137		Welcome	1590257918047	1590257918049	OK	 
REQUEST	27		WrongLogin	1590257918066	1590257918067	OK	 
REQUEST	6		RightLogin	1590257918101	1590257918102	OK	 
USER	AceptarLocalTestNegativo	138	START	1590257918148	1590257918148
USER	AceptarLocalTestPositivo	128	START	1590257918148	1590257918148
REQUEST	128		Welcome	1590257918149	1590257918151	OK	 
REQUEST	138		Welcome	1590257918149	1590257918151	OK	 
REQUEST	28		WrongLogin	1590257918166	1590257918167	OK	 
REQUEST	7		RightLogin	1590257918180	1590257918181	OK	 
USER	AceptarLocalTestPositivo	129	START	1590257918246	1590257918246
USER	AceptarLocalTestNegativo	139	START	1590257918246	1590257918246
REQUEST	129		Welcome	1590257918246	1590257918249	OK	 
REQUEST	139		Welcome	1590257918246	1590257918249	OK	 
REQUEST	29		WrongLogin	1590257918268	1590257918269	OK	 
REQUEST	8		RightLogin	1590257918306	1590257918307	OK	 
USER	AceptarLocalTestNegativo	140	START	1590257918353	1590257918353
USER	AceptarLocalTestPositivo	130	START	1590257918353	1590257918353
REQUEST	140		Welcome	1590257918353	1590257918355	OK	 
REQUEST	130		Welcome	1590257918353	1590257918355	OK	 
REQUEST	9		RightLogin	1590257918404	1590257918406	OK	 
REQUEST	30		WrongLogin	1590257918404	1590257918406	OK	 
USER	AceptarLocalTestPositivo	131	START	1590257918447	1590257918447
USER	AceptarLocalTestNegativo	141	START	1590257918447	1590257918447
REQUEST	131		Welcome	1590257918448	1590257918454	OK	 
REQUEST	141		Welcome	1590257918448	1590257918454	OK	 
REQUEST	31		WrongLogin	1590257918470	1590257918471	OK	 
REQUEST	10		RightLogin	1590257918491	1590257918492	OK	 
USER	AceptarLocalTestPositivo	132	START	1590257918550	1590257918550
USER	AceptarLocalTestNegativo	142	START	1590257918551	1590257918551
REQUEST	142		Welcome	1590257918551	1590257918557	OK	 
REQUEST	132		Welcome	1590257918551	1590257918557	OK	 
REQUEST	11		RightLogin	1590257918576	1590257918578	OK	 
REQUEST	32		WrongLogin	1590257918576	1590257918578	OK	 
USER	AceptarLocalTestPositivo	143	START	1590257918669	1590257918669
USER	AceptarLocalTestNegativo	153	START	1590257918669	1590257918669
REQUEST	143		Welcome	1590257918669	1590257918672	OK	 
REQUEST	153		Welcome	1590257918669	1590257918672	OK	 
REQUEST	12		RightLogin	1590257918690	1590257918691	OK	 
REQUEST	33		WrongLogin	1590257918690	1590257918691	OK	 
USER	AceptarLocalTestNegativo	154	START	1590257918771	1590257918771
USER	AceptarLocalTestPositivo	144	START	1590257918771	1590257918771
REQUEST	34		WrongLogin	1590257918771	1590257918772	OK	 
REQUEST	144		Welcome	1590257918772	1590257918774	OK	 
REQUEST	154		Welcome	1590257918772	1590257918774	OK	 
REQUEST	13		RightLogin	1590257918786	1590257918787	OK	 
USER	AceptarLocalTestNegativo	155	START	1590257918866	1590257918866
USER	AceptarLocalTestPositivo	145	START	1590257918866	1590257918866
REQUEST	35		WrongLogin	1590257918866	1590257918868	OK	 
REQUEST	145		Welcome	1590257918867	1590257918871	OK	 
REQUEST	155		Welcome	1590257918867	1590257918872	OK	 
REQUEST	14		RightLogin	1590257918876	1590257918877	OK	 
USER	AceptarLocalTestPositivo	146	START	1590257918967	1590257918967
USER	AceptarLocalTestNegativo	156	START	1590257918967	1590257918967
REQUEST	156		Welcome	1590257918968	1590257918970	OK	 
REQUEST	146		Welcome	1590257918968	1590257918970	OK	 
REQUEST	15		RightLogin	1590257918989	1590257918990	OK	 
REQUEST	36		WrongLogin	1590257918989	1590257918990	OK	 
USER	AceptarLocalTestPositivo	147	START	1590257919079	1590257919079
USER	AceptarLocalTestNegativo	157	START	1590257919079	1590257919079
REQUEST	37		WrongLogin	1590257919079	1590257919082	OK	 
REQUEST	147		Welcome	1590257919080	1590257919086	OK	 
REQUEST	157		Welcome	1590257919080	1590257919087	OK	 
REQUEST	16		RightLogin	1590257919089	1590257919089	OK	 
USER	AceptarLocalTestNegativo	158	START	1590257919166	1590257919166
USER	AceptarLocalTestPositivo	148	START	1590257919166	1590257919166
REQUEST	148		Welcome	1590257919167	1590257919171	OK	 
REQUEST	158		Welcome	1590257919167	1590257919171	OK	 
REQUEST	38		WrongLogin	1590257919186	1590257919187	OK	 
REQUEST	17		RightLogin	1590257919201	1590257919202	OK	 
USER	AceptarLocalTestPositivo	149	START	1590257919266	1590257919266
USER	AceptarLocalTestNegativo	159	START	1590257919266	1590257919266
REQUEST	159		Welcome	1590257919266	1590257919268	OK	 
REQUEST	149		Welcome	1590257919266	1590257919268	OK	 
REQUEST	39		WrongLogin	1590257919287	1590257919288	OK	 
REQUEST	18		RightLogin	1590257919287	1590257919287	OK	 
USER	AceptarLocalTestPositivo	150	START	1590257919366	1590257919366
USER	AceptarLocalTestNegativo	160	START	1590257919366	1590257919366
REQUEST	150		Welcome	1590257919366	1590257919369	OK	 
REQUEST	160		Welcome	1590257919366	1590257919369	OK	 
REQUEST	40		WrongLogin	1590257919399	1590257919401	OK	 
REQUEST	19		RightLogin	1590257919399	1590257919401	OK	 
USER	AceptarLocalTestPositivo	151	START	1590257919466	1590257919466
USER	AceptarLocalTestNegativo	161	START	1590257919466	1590257919466
REQUEST	151		Welcome	1590257919467	1590257919472	OK	 
REQUEST	161		Welcome	1590257919467	1590257919472	OK	 
REQUEST	20		RightLogin	1590257919478	1590257919480	OK	 
REQUEST	41		WrongLogin	1590257919496	1590257919497	OK	 
USER	AceptarLocalTestPositivo	152	START	1590257919572	1590257919572
USER	AceptarLocalTestNegativo	162	START	1590257919572	1590257919572
REQUEST	152		Welcome	1590257919573	1590257919578	OK	 
REQUEST	162		Welcome	1590257919573	1590257919578	OK	 
REQUEST	42		WrongLogin	1590257919588	1590257919588	OK	 
REQUEST	21		RightLogin	1590257919588	1590257919588	OK	 
USER	AceptarLocalTestNegativo	173	START	1590257919650	1590257919650
USER	AceptarLocalTestPositivo	163	START	1590257919650	1590257919650
REQUEST	163		Welcome	1590257919651	1590257919657	OK	 
REQUEST	173		Welcome	1590257919651	1590257919657	OK	 
REQUEST	43		RightLogin	1590257919666	1590257919667	OK	 
REQUEST	53		WrongLogin	1590257919697	1590257919698	OK	 
USER	AceptarLocalTestNegativo	174	START	1590257919746	1590257919746
USER	AceptarLocalTestPositivo	164	START	1590257919746	1590257919746
REQUEST	174		Welcome	1590257919746	1590257919754	OK	 
REQUEST	164		Welcome	1590257919746	1590257919754	OK	 
REQUEST	44		RightLogin	1590257919775	1590257919776	OK	 
REQUEST	54		WrongLogin	1590257919776	1590257919776	OK	 
USER	AceptarLocalTestNegativo	175	START	1590257919853	1590257919853
USER	AceptarLocalTestPositivo	165	START	1590257919853	1590257919853
REQUEST	175		Welcome	1590257919853	1590257919857	OK	 
REQUEST	165		Welcome	1590257919853	1590257919857	OK	 
REQUEST	55		WrongLogin	1590257919884	1590257919885	OK	 
REQUEST	45		RightLogin	1590257919884	1590257919885	OK	 
USER	AceptarLocalTestNegativo	176	START	1590257919947	1590257919947
USER	AceptarLocalTestPositivo	166	START	1590257919947	1590257919947
REQUEST	176		Welcome	1590257919947	1590257919949	OK	 
REQUEST	166		Welcome	1590257919947	1590257919949	OK	 
REQUEST	46		RightLogin	1590257919966	1590257919967	OK	 
REQUEST	56		WrongLogin	1590257919996	1590257919997	OK	 
USER	AceptarLocalTestPositivo	167	START	1590257920071	1590257920071
USER	AceptarLocalTestNegativo	177	START	1590257920071	1590257920071
REQUEST	57		WrongLogin	1590257920076	1590257920078	OK	 
REQUEST	47		RightLogin	1590257920076	1590257920077	OK	 
REQUEST	177		Welcome	1590257920072	1590257920080	OK	 
REQUEST	167		Welcome	1590257920072	1590257920081	OK	 
USER	AceptarLocalTestNegativo	178	START	1590257920156	1590257920156
USER	AceptarLocalTestPositivo	168	START	1590257920156	1590257920156
REQUEST	168		Welcome	1590257920156	1590257920158	OK	 
REQUEST	178		Welcome	1590257920156	1590257920158	OK	 
REQUEST	58		WrongLogin	1590257920187	1590257920188	OK	 
REQUEST	48		RightLogin	1590257920187	1590257920188	OK	 
USER	AceptarLocalTestNegativo	179	START	1590257920249	1590257920249
USER	AceptarLocalTestPositivo	169	START	1590257920249	1590257920249
REQUEST	179		Welcome	1590257920250	1590257920252	OK	 
REQUEST	169		Welcome	1590257920250	1590257920252	OK	 
REQUEST	59		WrongLogin	1590257920281	1590257920281	OK	 
REQUEST	49		RightLogin	1590257920296	1590257920297	OK	 
USER	AceptarLocalTestPositivo	170	START	1590257920348	1590257920348
USER	AceptarLocalTestNegativo	180	START	1590257920348	1590257920348
REQUEST	180		Welcome	1590257920348	1590257920352	OK	 
REQUEST	170		Welcome	1590257920348	1590257920352	OK	 
REQUEST	60		WrongLogin	1590257920380	1590257920381	OK	 
REQUEST	50		RightLogin	1590257920395	1590257920397	OK	 
USER	AceptarLocalTestNegativo	181	START	1590257920446	1590257920446
USER	AceptarLocalTestPositivo	171	START	1590257920446	1590257920446
REQUEST	171		Welcome	1590257920447	1590257920452	OK	 
REQUEST	181		Welcome	1590257920447	1590257920452	OK	 
REQUEST	51		RightLogin	1590257920489	1590257920491	OK	 
REQUEST	61		WrongLogin	1590257920489	1590257920491	OK	 
USER	AceptarLocalTestNegativo	182	START	1590257920551	1590257920551
USER	AceptarLocalTestPositivo	172	START	1590257920551	1590257920551
REQUEST	172		Welcome	1590257920552	1590257920554	OK	 
REQUEST	182		Welcome	1590257920552	1590257920554	OK	 
REQUEST	62		WrongLogin	1590257920582	1590257920583	OK	 
REQUEST	52		RightLogin	1590257920598	1590257920599	OK	 
USER	AceptarLocalTestPositivo	183	START	1590257920646	1590257920646
USER	AceptarLocalTestNegativo	193	START	1590257920646	1590257920646
REQUEST	193		Welcome	1590257920646	1590257920648	OK	 
REQUEST	183		Welcome	1590257920646	1590257920648	OK	 
REQUEST	73		WrongLogin	1590257920676	1590257920677	OK	 
REQUEST	63		RightLogin	1590257920676	1590257920677	OK	 
USER	AceptarLocalTestNegativo	194	START	1590257920754	1590257920754
USER	AceptarLocalTestPositivo	184	START	1590257920754	1590257920754
REQUEST	184		Welcome	1590257920755	1590257920760	OK	 
REQUEST	194		Welcome	1590257920755	1590257920760	OK	 
