ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	dp2.AceptarORechazarFiesta	aceptarorechazarfiesta	1590562783700	 	3.3.1
REQUEST	420		Home	1590562785149	1590562785362	OK	 
REQUEST	419		Home	1590562785149	1590562785367	OK	 
USER	AceptarFiesta	58	START	1590562785370	1590562785370
USER	AceptarFiesta	59	START	1590562785370	1590562785370
USER	DenegarFiesta	464	START	1590562785371	1590562785371
USER	DenegarFiesta	463	START	1590562785371	1590562785371
REQUEST	426		Home	1590562785185	1590562785382	OK	 
REQUEST	405		Home	1590562785113	1590562785382	OK	 
REQUEST	17		Home	1590562785165	1590562785382	OK	 
REQUEST	425		Home	1590562785193	1590562785388	OK	 
REQUEST	421		Home	1590562785165	1590562785389	OK	 
REQUEST	25		Home	1590562785206	1590562785392	OK	 
REQUEST	14		Home	1590562785149	1590562785397	OK	 
REQUEST	431		Home	1590562785228	1590562785400	OK	 
USER	AceptarFiesta	61	START	1590562785401	1590562785401
USER	DenegarFiesta	467	START	1590562785404	1590562785404
USER	AceptarFiesta	63	START	1590562785404	1590562785404
USER	DenegarFiesta	468	START	1590562785405	1590562785405
USER	AceptarFiesta	64	START	1590562785405	1590562785405
USER	AceptarFiesta	65	START	1590562785406	1590562785406
USER	DenegarFiesta	470	START	1590562785406	1590562785406
USER	DenegarFiesta	469	START	1590562785406	1590562785406
REQUEST	448		Home	1590562785332	1590562785415	OK	 
USER	DenegarFiesta	458	START	1590562785355	1590562785355
REQUEST	43		Home	1590562785339	1590562785418	OK	 
USER	DenegarFiesta	466	START	1590562785404	1590562785404
USER	AceptarFiesta	62	START	1590562785404	1590562785404
REQUEST	7		Home	1590562785121	1590562785426	OK	 
USER	DenegarFiesta	465	START	1590562785402	1590562785402
REQUEST	406		Home	1590562785113	1590562785430	OK	 
REQUEST	6		Home	1590562785121	1590562785432	OK	 
REQUEST	442		Home	1590562785284	1590562785433	OK	 
REQUEST	423		Home	1590562785171	1590562785435	OK	 
REQUEST	432		Home	1590562785228	1590562785436	OK	 
REQUEST	422		Home	1590562785166	1590562785439	OK	 
USER	AceptarFiesta	66	START	1590562785445	1590562785445
USER	DenegarFiesta	471	START	1590562785446	1590562785446
USER	DenegarFiesta	472	START	1590562785447	1590562785447
USER	AceptarFiesta	67	START	1590562785446	1590562785446
USER	AceptarFiesta	68	START	1590562785447	1590562785447
REQUEST	45		Home	1590562785329	1590562785446	OK	 
USER	DenegarFiesta	473	START	1590562785449	1590562785449
USER	DenegarFiesta	474	START	1590562785450	1590562785450
USER	AceptarFiesta	70	START	1590562785451	1590562785451
USER	AceptarFiesta	69	START	1590562785448	1590562785448
USER	DenegarFiesta	476	START	1590562785452	1590562785452
USER	DenegarFiesta	475	START	1590562785452	1590562785452
USER	AceptarFiesta	72	START	1590562785453	1590562785453
USER	AceptarFiesta	71	START	1590562785452	1590562785452
USER	DenegarFiesta	478	START	1590562785455	1590562785455
USER	DenegarFiesta	477	START	1590562785454	1590562785454
USER	AceptarFiesta	73	START	1590562785453	1590562785453
USER	AceptarFiesta	74	START	1590562785459	1590562785459
USER	DenegarFiesta	480	START	1590562785461	1590562785461
USER	AceptarFiesta	75	START	1590562785460	1590562785460
USER	AceptarFiesta	77	START	1590562785463	1590562785463
USER	AceptarFiesta	76	START	1590562785462	1590562785462
USER	DenegarFiesta	481	START	1590562785463	1590562785463
USER	DenegarFiesta	479	START	1590562785460	1590562785460
USER	DenegarFiesta	482	START	1590562785464	1590562785464
USER	AceptarFiesta	60	START	1590562785400	1590562785400
REQUEST	408		Home	1590562785114	1590562785468	OK	 
REQUEST	424		Home	1590562785172	1590562785470	OK	 
REQUEST	47		Home	1590562785322	1590562785473	OK	 
REQUEST	12		Home	1590562785138	1590562785488	OK	 
REQUEST	428		Home	1590562785195	1590562785491	OK	 
REQUEST	418		Home	1590562785139	1590562785499	OK	 
REQUEST	42		Home	1590562785341	1590562785442	OK	 
REQUEST	18		Home	1590562785170	1590562785502	OK	 
USER	AceptarFiesta	78	START	1590562785514	1590562785514
REQUEST	447		Home	1590562785318	1590562785518	OK	 
USER	AceptarFiesta	79	START	1590562785518	1590562785518
USER	DenegarFiesta	484	START	1590562785520	1590562785520
USER	AceptarFiesta	81	START	1590562785522	1590562785522
USER	AceptarFiesta	80	START	1590562785520	1590562785520
USER	DenegarFiesta	483	START	1590562785520	1590562785520
USER	DenegarFiesta	485	START	1590562785523	1590562785523
USER	AceptarFiesta	82	START	1590562785524	1590562785524
USER	DenegarFiesta	487	START	1590562785524	1590562785524
USER	AceptarFiesta	84	START	1590562785525	1590562785525
USER	AceptarFiesta	85	START	1590562785525	1590562785525
USER	DenegarFiesta	489	START	1590562785526	1590562785526
