ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	dp2.AceptarLocalTest	aceptarlocaltest	1590257138182	 	3.3.1
REQUEST	98		Welcome	1590257142185	1590257142191	OK	 
USER	AceptarLocalTestPositivo	99	START	1590257142231	1590257142231
USER	AceptarLocalTestNegativo	119	START	1590257142231	1590257142231
REQUEST	119		Welcome	1590257142231	1590257142234	OK	 
REQUEST	99		Welcome	1590257142231	1590257142234	OK	 
USER	AceptarLocalTestPositivo	100	START	1590257142278	1590257142278
USER	AceptarLocalTestNegativo	120	START	1590257142278	1590257142278
REQUEST	100		Welcome	1590257142279	1590257142285	OK	 
REQUEST	120		Welcome	1590257142279	1590257142285	OK	 
USER	AceptarLocalTestPositivo	101	START	1590257142340	1590257142340
USER	AceptarLocalTestNegativo	121	START	1590257142340	1590257142340
REQUEST	121		Welcome	1590257142341	1590257142343	OK	 
REQUEST	101		Welcome	1590257142341	1590257142343	OK	 
USER	AceptarLocalTestNegativo	122	START	1590257142387	1590257142387
USER	AceptarLocalTestPositivo	102	START	1590257142387	1590257142387
REQUEST	102		Welcome	1590257142387	1590257142390	OK	 
REQUEST	122		Welcome	1590257142388	1590257142390	OK	 
USER	AceptarLocalTestPositivo	123	START	1590257142417	1590257142417
REQUEST	123		Welcome	1590257142418	1590257142421	OK	 
USER	AceptarLocalTestNegativo	143	START	1590257142433	1590257142433
REQUEST	143		Welcome	1590257142434	1590257142436	OK	 
USER	AceptarLocalTestPositivo	124	START	1590257142465	1590257142465
REQUEST	124		Welcome	1590257142466	1590257142468	OK	 
USER	AceptarLocalTestNegativo	144	START	1590257142487	1590257142487
REQUEST	144		Welcome	1590257142488	1590257142491	OK	 
USER	AceptarLocalTestNegativo	145	START	1590257142549	1590257142549
REQUEST	145		Welcome	1590257142549	1590257142552	OK	 
USER	AceptarLocalTestPositivo	125	START	1590257142518	1590257142518
REQUEST	125		Welcome	1590257142556	1590257142559	OK	 
USER	AceptarLocalTestPositivo	126	START	1590257142565	1590257142565
REQUEST	126		Welcome	1590257142565	1590257142568	OK	 
USER	AceptarLocalTestNegativo	146	START	1590257142580	1590257142580
REQUEST	146		Welcome	1590257142581	1590257142584	OK	 
USER	AceptarLocalTestPositivo	127	START	1590257142612	1590257142612
REQUEST	127		Welcome	1590257142613	1590257142616	OK	 
USER	AceptarLocalTestNegativo	147	START	1590257142628	1590257142628
REQUEST	147		Welcome	1590257142629	1590257142632	OK	 
USER	AceptarLocalTestPositivo	128	START	1590257142659	1590257142659
REQUEST	128		Welcome	1590257142660	1590257142664	OK	 
USER	AceptarLocalTestNegativo	148	START	1590257142690	1590257142690
REQUEST	148		Welcome	1590257142692	1590257142696	OK	 
USER	AceptarLocalTestPositivo	129	START	1590257142708	1590257142708
REQUEST	129		Welcome	1590257142708	1590257142711	OK	 
USER	AceptarLocalTestNegativo	149	START	1590257142728	1590257142728
REQUEST	149		Welcome	1590257142728	1590257142731	OK	 
USER	AceptarLocalTestPositivo	130	START	1590257142758	1590257142758
REQUEST	130		Welcome	1590257142758	1590257142761	OK	 
USER	AceptarLocalTestNegativo	150	START	1590257142785	1590257142785
REQUEST	150		Welcome	1590257142786	1590257142788	OK	 
USER	AceptarLocalTestPositivo	131	START	1590257142817	1590257142817
REQUEST	131		Welcome	1590257142818	1590257142820	OK	 
USER	AceptarLocalTestNegativo	151	START	1590257142833	1590257142833
REQUEST	151		Welcome	1590257142833	1590257142836	OK	 
USER	AceptarLocalTestPositivo	132	START	1590257142864	1590257142864
REQUEST	132		Welcome	1590257142864	1590257142868	OK	 
USER	AceptarLocalTestNegativo	152	START	1590257142880	1590257142880
REQUEST	152		Welcome	1590257142881	1590257142885	OK	 
USER	AceptarLocalTestPositivo	133	START	1590257142911	1590257142911
REQUEST	133		Welcome	1590257142911	1590257142913	OK	 
USER	AceptarLocalTestNegativo	153	START	1590257142928	1590257142928
REQUEST	153		Welcome	1590257142928	1590257142931	OK	 
USER	AceptarLocalTestPositivo	134	START	1590257142958	1590257142958
REQUEST	134		Welcome	1590257142959	1590257142964	OK	 
USER	AceptarLocalTestNegativo	154	START	1590257142989	1590257142989
REQUEST	154		Welcome	1590257142990	1590257142995	OK	 
USER	AceptarLocalTestPositivo	135	START	1590257143008	1590257143008
REQUEST	135		Welcome	1590257143009	1590257143014	OK	 
USER	AceptarLocalTestNegativo	155	START	1590257143036	1590257143036
REQUEST	155		Welcome	1590257143037	1590257143042	OK	 
USER	AceptarLocalTestPositivo	136	START	1590257143067	1590257143067
REQUEST	136		Welcome	1590257143068	1590257143074	OK	 
USER	AceptarLocalTestNegativo	156	START	1590257143083	1590257143083
REQUEST	156		Welcome	1590257143084	1590257143089	OK	 
USER	AceptarLocalTestPositivo	137	START	1590257143114	1590257143114
REQUEST	137		Welcome	1590257143115	1590257143120	OK	 
USER	AceptarLocalTestNegativo	157	START	1590257143129	1590257143129
REQUEST	157		Welcome	1590257143130	1590257143136	OK	 
USER	AceptarLocalTestPositivo	138	START	1590257143161	1590257143161
REQUEST	138		Welcome	1590257143162	1590257143167	OK	 
USER	AceptarLocalTestNegativo	158	START	1590257143178	1590257143178
REQUEST	158		Welcome	1590257143179	1590257143184	OK	 
USER	AceptarLocalTestPositivo	139	START	1590257143208	1590257143208
REQUEST	139		Welcome	1590257143208	1590257143211	OK	 
USER	AceptarLocalTestNegativo	159	START	1590257143239	1590257143239
REQUEST	159		Welcome	1590257143239	1590257143241	OK	 
USER	AceptarLocalTestPositivo	140	START	1590257143286	1590257143286
USER	AceptarLocalTestNegativo	160	START	1590257143286	1590257143286
REQUEST	140		Welcome	1590257143286	1590257143289	OK	 
REQUEST	160		Welcome	1590257143286	1590257143289	OK	 
USER	AceptarLocalTestPositivo	141	START	1590257143333	1590257143333
USER	AceptarLocalTestNegativo	161	START	1590257143333	1590257143333
REQUEST	161		Welcome	1590257143333	1590257143336	OK	 
REQUEST	141		Welcome	1590257143333	1590257143336	OK	 
USER	AceptarLocalTestNegativo	162	START	1590257143379	1590257143379
USER	AceptarLocalTestPositivo	142	START	1590257143379	1590257143379
REQUEST	142		Welcome	1590257143379	1590257143382	OK	 
REQUEST	162		Welcome	1590257143379	1590257143382	OK	 
USER	AceptarLocalTestNegativo	183	START	1590257143428	1590257143428
USER	AceptarLocalTestPositivo	163	START	1590257143428	1590257143428
REQUEST	163		Welcome	1590257143428	1590257143431	OK	 
REQUEST	183		Welcome	1590257143428	1590257143431	OK	 
USER	AceptarLocalTestNegativo	184	START	1590257143489	1590257143489
USER	AceptarLocalTestPositivo	164	START	1590257143489	1590257143489
REQUEST	164		Welcome	1590257143490	1590257143501	OK	 
REQUEST	184		Welcome	1590257143490	1590257143501	OK	 
USER	AceptarLocalTestPositivo	165	START	1590257143528	1590257143528
USER	AceptarLocalTestNegativo	185	START	1590257143528	1590257143528
REQUEST	185		Welcome	1590257143528	1590257143531	OK	 
REQUEST	165		Welcome	1590257143528	1590257143531	OK	 
USER	AceptarLocalTestPositivo	166	START	1590257143578	1590257143578
USER	AceptarLocalTestNegativo	186	START	1590257143578	1590257143578
REQUEST	186		Welcome	1590257143579	1590257143584	OK	 
REQUEST	166		Welcome	1590257143579	1590257143584	OK	 
USER	AceptarLocalTestNegativo	187	START	1590257143637	1590257143637
