ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	dp2.CrearAnuncioTest	crearanunciotest	1590177273315	 	3.3.1
REQUEST	83		Welcome	1590177276062	1590177276069	OK	 
USER	CrearAnuncioTestPositivo	32	START	1590177276078	1590177276078
REQUEST	32		Welcome	1590177276078	1590177276082	OK	 
USER	CrearAnuncioTestNegativo	84	START	1590177276108	1590177276108
REQUEST	84		Welcome	1590177276109	1590177276112	OK	 
USER	CrearAnuncioTestPositivo	33	START	1590177276123	1590177276123
REQUEST	33		Welcome	1590177276124	1590177276128	OK	 
USER	CrearAnuncioTestNegativo	85	START	1590177276139	1590177276139
REQUEST	85		Welcome	1590177276139	1590177276143	OK	 
USER	CrearAnuncioTestPositivo	34	START	1590177276158	1590177276158
REQUEST	34		Welcome	1590177276158	1590177276162	OK	 
USER	CrearAnuncioTestNegativo	86	START	1590177276186	1590177276186
REQUEST	86		Welcome	1590177276187	1590177276191	OK	 
USER	CrearAnuncioTestPositivo	35	START	1590177276201	1590177276201
REQUEST	35		Welcome	1590177276202	1590177276206	OK	 
USER	CrearAnuncioTestNegativo	87	START	1590177276218	1590177276218
REQUEST	87		Welcome	1590177276218	1590177276222	OK	 
USER	CrearAnuncioTestPositivo	36	START	1590177276248	1590177276248
REQUEST	36		Welcome	1590177276249	1590177276252	OK	 
USER	CrearAnuncioTestNegativo	88	START	1590177276264	1590177276264
REQUEST	88		Welcome	1590177276265	1590177276268	OK	 
USER	CrearAnuncioTestPositivo	37	START	1590177276279	1590177276279
REQUEST	37		Welcome	1590177276280	1590177276283	OK	 
USER	CrearAnuncioTestNegativo	89	START	1590177276298	1590177276298
REQUEST	89		Welcome	1590177276298	1590177276301	OK	 
USER	CrearAnuncioTestPositivo	38	START	1590177276326	1590177276326
REQUEST	38		Welcome	1590177276327	1590177276331	OK	 
USER	CrearAnuncioTestNegativo	90	START	1590177276342	1590177276342
REQUEST	90		Welcome	1590177276343	1590177276346	OK	 
USER	CrearAnuncioTestPositivo	39	START	1590177276358	1590177276358
REQUEST	39		Welcome	1590177276358	1590177276361	OK	 
USER	CrearAnuncioTestNegativo	91	START	1590177276378	1590177276378
REQUEST	91		Welcome	1590177276378	1590177276381	OK	 
USER	CrearAnuncioTestPositivo	40	START	1590177276404	1590177276404
REQUEST	40		Welcome	1590177276405	1590177276409	OK	 
USER	CrearAnuncioTestNegativo	92	START	1590177276420	1590177276420
REQUEST	92		Welcome	1590177276421	1590177276424	OK	 
USER	CrearAnuncioTestPositivo	41	START	1590177276438	1590177276438
REQUEST	41		Welcome	1590177276438	1590177276441	OK	 
USER	CrearAnuncioTestNegativo	93	START	1590177276467	1590177276467
REQUEST	93		Welcome	1590177276469	1590177276477	OK	 
USER	CrearAnuncioTestPositivo	42	START	1590177276482	1590177276482
REQUEST	42		Welcome	1590177276484	1590177276493	OK	 
USER	CrearAnuncioTestNegativo	94	START	1590177276498	1590177276498
REQUEST	94		Welcome	1590177276499	1590177276504	OK	 
USER	CrearAnuncioTestPositivo	43	START	1590177276518	1590177276518
REQUEST	43		Welcome	1590177276518	1590177276522	OK	 
USER	CrearAnuncioTestNegativo	95	START	1590177276545	1590177276545
REQUEST	95		Welcome	1590177276545	1590177276549	OK	 
USER	CrearAnuncioTestPositivo	44	START	1590177276561	1590177276561
REQUEST	44		Welcome	1590177276561	1590177276566	OK	 
USER	CrearAnuncioTestNegativo	96	START	1590177276578	1590177276578
REQUEST	96		Welcome	1590177276578	1590177276581	OK	 
USER	CrearAnuncioTestPositivo	45	START	1590177276608	1590177276608
REQUEST	45		Welcome	1590177276608	1590177276611	OK	 
USER	CrearAnuncioTestNegativo	97	START	1590177276623	1590177276623
REQUEST	97		Welcome	1590177276624	1590177276631	OK	 
USER	CrearAnuncioTestPositivo	46	START	1590177276639	1590177276639
REQUEST	46		Welcome	1590177276641	1590177276648	OK	 
USER	CrearAnuncioTestNegativo	98	START	1590177276658	1590177276658
REQUEST	98		Welcome	1590177276658	1590177276664	OK	 
USER	CrearAnuncioTestPositivo	47	START	1590177276685	1590177276685
REQUEST	47		Welcome	1590177276686	1590177276689	OK	 
USER	CrearAnuncioTestNegativo	99	START	1590177276701	1590177276701
REQUEST	99		Welcome	1590177276702	1590177276706	OK	 
USER	CrearAnuncioTestPositivo	48	START	1590177276718	1590177276718
REQUEST	48		Welcome	1590177276718	1590177276722	OK	 
USER	CrearAnuncioTestNegativo	100	START	1590177276748	1590177276748
REQUEST	100		Welcome	1590177276749	1590177276752	OK	 
USER	CrearAnuncioTestPositivo	49	START	1590177276764	1590177276764
REQUEST	49		Welcome	1590177276765	1590177276769	OK	 
USER	CrearAnuncioTestNegativo	101	START	1590177276779	1590177276779
REQUEST	101		Welcome	1590177276780	1590177276783	OK	 
USER	CrearAnuncioTestPositivo	50	START	1590177276798	1590177276798
REQUEST	50		Welcome	1590177276798	1590177276802	OK	 
USER	CrearAnuncioTestNegativo	102	START	1590177276826	1590177276826
REQUEST	102		Welcome	1590177276827	1590177276830	OK	 
USER	CrearAnuncioTestPositivo	51	START	1590177276842	1590177276842
