ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	dp2.CrearAnuncioTest	crearanunciotest	1590177273315	 	3.3.1
REQUEST	3970		Welcome	1590177354538	1590177354545	OK	 
REQUEST	1344		FormAnuncio	1590177354542	1590177354546	OK	 
REQUEST	2569		Logged Redirect 1	1590177354544	1590177354547	OK	 
REQUEST	1319		FormAnuncio Redirect 1	1590177354545	1590177354548	OK	 
REQUEST	1344		FormAnuncio Redirect 1	1590177354546	1590177354549	OK	 
REQUEST	3545		Login	1590177354558	1590177354559	OK	 
REQUEST	3520		Login	1590177354558	1590177354560	OK	 
USER	CrearAnuncioTestPositivo	520	END	1590177285526	1590177354569
USER	CrearAnuncioTestNegativo	3996	START	1590177354569	1590177354569
USER	CrearAnuncioTestPositivo	3971	START	1590177354569	1590177354569
REQUEST	1320		FormAnuncio	1590177354569	1590177354573	OK	 
REQUEST	1345		FormAnuncio	1590177354569	1590177354573	OK	 
REQUEST	3996		Welcome	1590177354570	1590177354575	OK	 
REQUEST	1320		FormAnuncio Redirect 1	1590177354573	1590177354575	OK	 
REQUEST	1345		FormAnuncio Redirect 1	1590177354573	1590177354577	OK	 
REQUEST	3971		Welcome	1590177354572	1590177354578	OK	 
REQUEST	2570		Logged	1590177354579	1590177354583	OK	 
REQUEST	2595		Logged	1590177354579	1590177354583	OK	 
REQUEST	2595		Logged Redirect 1	1590177354583	1590177354584	OK	 
REQUEST	2570		Logged Redirect 1	1590177354583	1590177354584	OK	 
USER	CrearAnuncioTestPositivo	521	END	1590177285558	1590177354600
REQUEST	3546		Login	1590177354600	1590177354602	OK	 
REQUEST	3521		Login	1590177354600	1590177354602	OK	 
USER	CrearAnuncioTestPositivo	3972	START	1590177354616	1590177354616
USER	CrearAnuncioTestNegativo	3997	START	1590177354616	1590177354616
REQUEST	1346		FormAnuncio	1590177354616	1590177354620	OK	 
REQUEST	1346		FormAnuncio Redirect 1	1590177354621	1590177354622	OK	 
REQUEST	1321		FormAnuncio	1590177354616	1590177354623	OK	 
REQUEST	1321		FormAnuncio Redirect 1	1590177354623	1590177354625	OK	 
REQUEST	2596		Logged	1590177354616	1590177354626	OK	 
REQUEST	2571		Logged	1590177354616	1590177354627	OK	 
REQUEST	3997		Welcome	1590177354618	1590177354627	OK	 
REQUEST	3972		Welcome	1590177354617	1590177354627	OK	 
REQUEST	3547		Login	1590177354628	1590177354629	OK	 
REQUEST	3522		Login	1590177354625	1590177354629	OK	 
REQUEST	2571		Logged Redirect 1	1590177354627	1590177354630	OK	 
REQUEST	2596		Logged Redirect 1	1590177354626	1590177354630	OK	 
REQUEST	888		FieldEmpty	1590177354629	1590177354633	OK	 
REQUEST	888		FieldEmpty Redirect 1	1590177354633	1590177354636	OK	 
USER	CrearAnuncioTestPositivo	522	END	1590177285604	1590177354647
REQUEST	1347		FormAnuncio	1590177354647	1590177354650	OK	 
USER	CrearAnuncioTestNegativo	3998	START	1590177354651	1590177354651
USER	CrearAnuncioTestPositivo	3973	START	1590177354650	1590177354650
REQUEST	1322		FormAnuncio	1590177354650	1590177354654	OK	 
REQUEST	1347		FormAnuncio Redirect 1	1590177354650	1590177354654	OK	 
REQUEST	1322		FormAnuncio Redirect 1	1590177354654	1590177354656	OK	 
REQUEST	2597		Logged	1590177354648	1590177354657	OK	 
REQUEST	2572		Logged	1590177354649	1590177354658	OK	 
REQUEST	2597		Logged Redirect 1	1590177354657	1590177354658	OK	 
REQUEST	3998		Welcome	1590177354652	1590177354659	OK	 
REQUEST	3973		Welcome	1590177354651	1590177354659	OK	 
REQUEST	2572		Logged Redirect 1	1590177354658	1590177354660	OK	 
REQUEST	1719		ShowFiesta	1590177354661	1590177354663	OK	 
REQUEST	3548		Login	1590177354668	1590177354670	OK	 
REQUEST	3523		Login	1590177354668	1590177354672	OK	 
REQUEST	1744		ShowFiesta	1590177354668	1590177354674	OK	 
REQUEST	1741		ShowFiesta	1590177354668	1590177354673	OK	 
REQUEST	1717		ShowFiesta	1590177354668	1590177354675	OK	 
REQUEST	1716		ShowFiesta	1590177354668	1590177354677	OK	 
REQUEST	1742		ShowFiesta	1590177354668	1590177354677	OK	 
REQUEST	2598		Logged	1590177354668	1590177354678	OK	 
REQUEST	2598		Logged Redirect 1	1590177354678	1590177354680	OK	 
USER	CrearAnuncioTestPositivo	523	END	1590177285639	1590177354685
REQUEST	2573		Logged	1590177354680	1590177354686	OK	 
REQUEST	1743		ShowFiesta	1590177354681	1590177354688	OK	 
REQUEST	2573		Logged Redirect 1	1590177354686	1590177354688	OK	 
REQUEST	1718		ShowFiesta	1590177354682	1590177354689	OK	 
USER	CrearAnuncioTestPositivo	3974	START	1590177354689	1590177354689
REQUEST	887		FieldEmpty	1590177354689	1590177354692	OK	 
REQUEST	1323		FormAnuncio	1590177354689	1590177354692	OK	 
REQUEST	887		FieldEmpty Redirect 1	1590177354692	1590177354694	OK	 
REQUEST	1348		FormAnuncio	1590177354689	1590177354694	OK	 
REQUEST	1323		FormAnuncio Redirect 1	1590177354692	1590177354694	OK	 
USER	CrearAnuncioTestNegativo	3999	START	1590177354695	1590177354695
REQUEST	1348		FormAnuncio Redirect 1	1590177354694	1590177354696	OK	 
REQUEST	3974		Welcome	1590177354691	1590177354698	OK	 
REQUEST	3999		Welcome	1590177354696	1590177354701	OK	 
REQUEST	863		AnuncioCreated	1590177354699	1590177354701	OK	 
REQUEST	863		AnuncioCreated Redirect 1	1590177354702	1590177354703	OK	 
REQUEST	889		FieldEmpty	1590177354710	1590177354711	OK	 
REQUEST	889		FieldEmpty Redirect 1	1590177354711	1590177354713	OK	 
REQUEST	3524		Login	1590177354725	1590177354727	OK	 
REQUEST	865		AnuncioCreated	1590177354725	1590177354728	OK	 
REQUEST	3549		Login	1590177354725	1590177354729	OK	 
REQUEST	865		AnuncioCreated Redirect 1	1590177354728	1590177354730	OK	 
USER	CrearAnuncioTestPositivo	3975	START	1590177354730	1590177354730
USER	CrearAnuncioTestNegativo	4000	START	1590177354731	1590177354731
REQUEST	890		FieldEmpty	1590177354730	1590177354733	OK	 
REQUEST	892		FieldEmpty	1590177354730	1590177354733	OK	 
REQUEST	892		FieldEmpty Redirect 1	1590177354733	1590177354734	OK	 
REQUEST	890		FieldEmpty Redirect 1	1590177354733	1590177354734	OK	 
REQUEST	2599		Logged	1590177354729	1590177354736	OK	 
REQUEST	4000		Welcome	1590177354731	1590177354737	OK	 
REQUEST	2574		Logged	1590177354729	1590177354738	OK	 
REQUEST	2599		Logged Redirect 1	1590177354736	1590177354738	OK	 
REQUEST	3975		Welcome	1590177354731	1590177354739	OK	 
REQUEST	2574		Logged Redirect 1	1590177354738	1590177354741	OK	 
REQUEST	1324		FormAnuncio	1590177354742	1590177354744	OK	 
REQUEST	1349		FormAnuncio	1590177354742	1590177354744	OK	 
REQUEST	1324		FormAnuncio Redirect 1	1590177354744	1590177354744	OK	 
REQUEST	1349		FormAnuncio Redirect 1	1590177354744	1590177354744	OK	 
USER	CrearAnuncioTestPositivo	524	END	1590177285682	1590177354757
REQUEST	3550		Login	1590177354757	1590177354759	OK	 
REQUEST	3525		Login	1590177354757	1590177354759	OK	 
USER	CrearAnuncioTestPositivo	525	END	1590177285718	1590177354760
USER	CrearAnuncioTestPositivo	3976	START	1590177354772	1590177354772
USER	CrearAnuncioTestNegativo	4001	START	1590177354772	1590177354772
REQUEST	3976		Welcome	1590177354772	1590177354776	OK	 
REQUEST	4001		Welcome	1590177354772	1590177354776	OK	 
USER	CrearAnuncioTestPositivo	526	END	1590177285760	1590177354788
REQUEST	1350		FormAnuncio	1590177354788	1590177354790	OK	 
REQUEST	1350		FormAnuncio Redirect 1	1590177354790	1590177354791	OK	 
REQUEST	1325		FormAnuncio	1590177354788	1590177354792	OK	 
REQUEST	1325		FormAnuncio Redirect 1	1590177354792	1590177354794	OK	 
REQUEST	2600		Logged	1590177354788	1590177354795	OK	 
REQUEST	2575		Logged	1590177354788	1590177354797	OK	 
REQUEST	2600		Logged Redirect 1	1590177354795	1590177354797	OK	 
REQUEST	2575		Logged Redirect 1	1590177354797	1590177354799	OK	 
REQUEST	3551		Login	1590177354804	1590177354808	OK	 
REQUEST	3526		Login	1590177354804	1590177354809	OK	 
USER	CrearAnuncioTestPositivo	3977	START	1590177354812	1590177354812
REQUEST	2601		Logged	1590177354804	1590177354813	OK	 
USER	CrearAnuncioTestNegativo	4002	START	1590177354812	1590177354812
REQUEST	2576		Logged	1590177354804	1590177354815	OK	 
REQUEST	2601		Logged Redirect 1	1590177354813	1590177354816	OK	 
REQUEST	2576		Logged Redirect 1	1590177354815	1590177354817	OK	 
REQUEST	3977		Welcome	1590177354812	1590177354819	OK	 
REQUEST	4002		Welcome	1590177354812	1590177354819	OK	 
REQUEST	894		FieldEmpty	1590177354821	1590177354823	OK	 
REQUEST	894		FieldEmpty Redirect 1	1590177354823	1590177354825	OK	 
REQUEST	3552		Login	1590177354835	1590177354837	OK	 
REQUEST	3527		Login	1590177354835	1590177354837	OK	 
REQUEST	1351		FormAnuncio	1590177354835	1590177354839	OK	 
REQUEST	1351		FormAnuncio Redirect 1	1590177354839	1590177354840	OK	 
USER	CrearAnuncioTestNegativo	4028	START	1590177354841	1590177354841
USER	CrearAnuncioTestPositivo	4003	START	1590177354841	1590177354841
REQUEST	2602		Logged	1590177354841	1590177354848	OK	 
REQUEST	2577		Logged	1590177354841	1590177354849	OK	 
REQUEST	4028		Welcome	1590177354842	1590177354849	OK	 
REQUEST	4003		Welcome	1590177354843	1590177354849	OK	 
REQUEST	2602		Logged Redirect 1	1590177354848	1590177354851	OK	 
REQUEST	2577		Logged Redirect 1	1590177354849	1590177354851	OK	 
USER	CrearAnuncioTestPositivo	527	END	1590177285807	1590177354852
REQUEST	1326		FormAnuncio	1590177354852	1590177354854	OK	 
REQUEST	1352		FormAnuncio	1590177354852	1590177354854	OK	 
REQUEST	1326		FormAnuncio Redirect 1	1590177354854	1590177354856	OK	 
REQUEST	1352		FormAnuncio Redirect 1	1590177354854	1590177354857	OK	 
REQUEST	3553		Login	1590177354866	1590177354869	OK	 
REQUEST	3578		Login	1590177354870	1590177354871	OK	 
REQUEST	893		FieldEmpty	1590177354871	1590177354873	OK	 
REQUEST	893		FieldEmpty Redirect 1	1590177354873	1590177354875	OK	 
REQUEST	1327		FormAnuncio	1590177354873	1590177354876	OK	 
REQUEST	2603		Logged	1590177354866	1590177354876	OK	 
REQUEST	1720		ShowFiesta	1590177354874	1590177354877	OK	 
REQUEST	2603		Logged Redirect 1	1590177354876	1590177354879	OK	 
REQUEST	1745		ShowFiesta	1590177354874	1590177354879	OK	 
REQUEST	1327		FormAnuncio Redirect 1	1590177354876	1590177354879	OK	 
USER	CrearAnuncioTestPositivo	4004	START	1590177354881	1590177354881
REQUEST	1721		ShowFiesta	1590177354880	1590177354884	OK	 
REQUEST	870		AnuncioCreated	1590177354881	1590177354884	OK	 
USER	CrearAnuncioTestNegativo	4029	START	1590177354885	1590177354885
REQUEST	870		AnuncioCreated Redirect 1	1590177354885	1590177354886	OK	 
REQUEST	2628		Logged	1590177354880	1590177354887	OK	 
REQUEST	1722		ShowFiesta	1590177354881	1590177354888	OK	 
REQUEST	4004		Welcome	1590177354882	1590177354890	OK	 
REQUEST	1746		ShowFiesta	1590177354881	1590177354890	OK	 
REQUEST	2628		Logged Redirect 1	1590177354887	1590177354890	OK	 
REQUEST	4029		Welcome	1590177354885	1590177354892	OK	 
REQUEST	1747		ShowFiesta	1590177354892	1590177354895	OK	 
REQUEST	3554		Login	1590177354898	1590177354899	OK	 
REQUEST	1723		ShowFiesta	1590177354914	1590177354917	OK	 
REQUEST	3579		Login	1590177354917	1590177354918	OK	 
USER	CrearAnuncioTestPositivo	553	END	1590177285858	1590177354919
USER	CrearAnuncioTestPositivo	4005	START	1590177354921	1590177354921
USER	CrearAnuncioTestNegativo	4030	START	1590177354921	1590177354921
REQUEST	1353		FormAnuncio	1590177354920	1590177354922	OK	 
REQUEST	864		AnuncioCreated	1590177354920	1590177354924	OK	 
REQUEST	1378		FormAnuncio	1590177354920	1590177354925	OK	 
REQUEST	1353		FormAnuncio Redirect 1	1590177354922	1590177354926	OK	 
REQUEST	1378		FormAnuncio Redirect 1	1590177354925	1590177354927	OK	 
REQUEST	864		AnuncioCreated Redirect 1	1590177354924	1590177354928	OK	 
REQUEST	2604		Logged	1590177354913	1590177354930	OK	 
REQUEST	3555		Login	1590177354929	1590177354931	OK	 
REQUEST	3580		Login	1590177354929	1590177354931	OK	 
REQUEST	2604		Logged Redirect 1	1590177354930	1590177354932	OK	 
REQUEST	2629		Logged	1590177354913	1590177354933	OK	 
REQUEST	2629		Logged Redirect 1	1590177354933	1590177354935	OK	 
REQUEST	4030		Welcome	1590177354921	1590177354935	OK	 
REQUEST	4005		Welcome	1590177354921	1590177354936	OK	 
USER	CrearAnuncioTestPositivo	554	END	1590177285900	1590177354956
REQUEST	1379		FormAnuncio	1590177354956	1590177354958	OK	 
REQUEST	1354		FormAnuncio	1590177354956	1590177354959	OK	 
REQUEST	1379		FormAnuncio Redirect 1	1590177354958	1590177354959	OK	 
REQUEST	1354		FormAnuncio Redirect 1	1590177354959	1590177354961	OK	 
USER	CrearAnuncioTestPositivo	4006	START	1590177354962	1590177354962
USER	CrearAnuncioTestNegativo	4031	START	1590177354962	1590177354962
REQUEST	2630		Logged	1590177354956	1590177354964	OK	 
REQUEST	2605		Logged	1590177354957	1590177354965	OK	 
REQUEST	2630		Logged Redirect 1	1590177354964	1590177354966	OK	 
REQUEST	2605		Logged Redirect 1	1590177354965	1590177354968	OK	 
REQUEST	4006		Welcome	1590177354962	1590177354969	OK	 
REQUEST	4031		Welcome	1590177354963	1590177354971	OK	 
REQUEST	3556		Login	1590177354970	1590177354972	OK	 
REQUEST	3581		Login	1590177354973	1590177354974	OK	 
REQUEST	1355		FormAnuncio	1590177354978	1590177354980	OK	 
REQUEST	891		FieldEmpty	1590177354978	1590177354981	OK	 
REQUEST	1380		FormAnuncio	1590177354978	1590177354982	OK	 
REQUEST	1355		FormAnuncio Redirect 1	1590177354980	1590177354983	OK	 
REQUEST	891		FieldEmpty Redirect 1	1590177354982	1590177354983	OK	 
REQUEST	1380		FormAnuncio Redirect 1	1590177354982	1590177354984	OK	 
USER	CrearAnuncioTestNegativo	53	END	1590177274848	1590177354988
REQUEST	1750		ShowFiesta	1590177354988	1590177354991	OK	 
USER	CrearAnuncioTestPositivo	4007	START	1590177355003	1590177355003
USER	CrearAnuncioTestNegativo	4032	START	1590177355003	1590177355003
REQUEST	4007		Welcome	1590177355003	1590177355008	OK	 
REQUEST	4032		Welcome	1590177355003	1590177355008	OK	 
REQUEST	1356		FormAnuncio	1590177355009	1590177355013	OK	 
REQUEST	1356		FormAnuncio Redirect 1	1590177355013	1590177355016	OK	 
REQUEST	2606		Logged	1590177355009	1590177355016	OK	 
REQUEST	2631		Logged	1590177355009	1590177355018	OK	 
REQUEST	2606		Logged Redirect 1	1590177355017	1590177355019	OK	 
REQUEST	3582		Login	1590177355021	1590177355025	OK	 
REQUEST	2631		Logged Redirect 1	1590177355018	1590177355027	OK	 
REQUEST	3557		Login	1590177355022	1590177355028	OK	 
USER	CrearAnuncioTestPositivo	555	END	1590177285948	1590177355030
REQUEST	1725		ShowFiesta	1590177355020	1590177355031	OK	 
REQUEST	1381		FormAnuncio	1590177355029	1590177355032	OK	 
REQUEST	1381		FormAnuncio Redirect 1	1590177355032	1590177355033	OK	 
REQUEST	1748		ShowFiesta	1590177355032	1590177355035	OK	 
USER	CrearAnuncioTestPositivo	4008	START	1590177355045	1590177355045
USER	CrearAnuncioTestNegativo	4033	START	1590177355046	1590177355046
REQUEST	868		AnuncioCreated	1590177355043	1590177355047	OK	 
REQUEST	868		AnuncioCreated Redirect 1	1590177355047	1590177355049	OK	 
REQUEST	2632		Logged	1590177355038	1590177355051	OK	 
REQUEST	1724		ShowFiesta	1590177355048	1590177355052	OK	 
REQUEST	4008		Welcome	1590177355046	1590177355054	OK	 
REQUEST	2632		Logged Redirect 1	1590177355051	1590177355056	OK	 
REQUEST	2607		Logged	1590177355040	1590177355057	OK	 
REQUEST	4033		Welcome	1590177355046	1590177355059	OK	 
REQUEST	1726		ShowFiesta	1590177355043	1590177355059	OK	 
REQUEST	2607		Logged Redirect 1	1590177355057	1590177355059	OK	 
REQUEST	3558		Login	1590177355061	1590177355063	OK	 
REQUEST	3583		Login	1590177355061	1590177355063	OK	 
REQUEST	871		AnuncioCreated	1590177355064	1590177355066	OK	 
REQUEST	871		AnuncioCreated Redirect 1	1590177355066	1590177355067	OK	 
USER	CrearAnuncioTestPositivo	556	END	1590177285979	1590177355081
USER	CrearAnuncioTestNegativo	4034	START	1590177355083	1590177355083
USER	CrearAnuncioTestPositivo	4009	START	1590177355082	1590177355082
REQUEST	2633		Logged	1590177355081	1590177355088	OK	 
REQUEST	2608		Logged	1590177355081	1590177355089	OK	 
REQUEST	4009		Welcome	1590177355083	1590177355089	OK	 
REQUEST	2633		Logged Redirect 1	1590177355088	1590177355090	OK	 
REQUEST	4034		Welcome	1590177355083	1590177355092	OK	 
REQUEST	2608		Logged Redirect 1	1590177355089	1590177355093	OK	 
REQUEST	3584		Login	1590177355094	1590177355095	OK	 
REQUEST	3559		Login	1590177355094	1590177355097	OK	 
REQUEST	1751		ShowFiesta	1590177355094	1590177355099	OK	 
USER	CrearAnuncioTestNegativo	52	END	1590177274841	1590177355099
USER	CrearAnuncioTestPositivo	557	END	1590177286026	1590177355102
REQUEST	1357		FormAnuncio	1590177355100	1590177355104	OK	 
REQUEST	867		AnuncioCreated	1590177355099	1590177355104	OK	 
REQUEST	867		AnuncioCreated Redirect 1	1590177355104	1590177355105	OK	 
REQUEST	1357		FormAnuncio Redirect 1	1590177355104	1590177355105	OK	 
REQUEST	1382		FormAnuncio	1590177355101	1590177355107	OK	 
REQUEST	1382		FormAnuncio Redirect 1	1590177355107	1590177355109	OK	 
USER	CrearAnuncioTestNegativo	54	END	1590177274909	1590177355110
REQUEST	1727		ShowFiesta	1590177355110	1590177355113	OK	 
REQUEST	1752		ShowFiesta	1590177355111	1590177355116	OK	 
USER	CrearAnuncioTestNegativo	4035	START	1590177355118	1590177355118
USER	CrearAnuncioTestPositivo	4010	START	1590177355118	1590177355118
REQUEST	869		AnuncioCreated	1590177355118	1590177355121	OK	 
REQUEST	869		AnuncioCreated Redirect 1	1590177355121	1590177355122	OK	 
USER	CrearAnuncioTestPositivo	558	END	1590177286058	1590177355135
REQUEST	2634		Logged	1590177355118	1590177355135	OK	 
REQUEST	2634		Logged Redirect 1	1590177355135	1590177355137	OK	 
REQUEST	2609		Logged	1590177355118	1590177355138	OK	 
REQUEST	4035		Welcome	1590177355119	1590177355138	OK	 
REQUEST	4010		Welcome	1590177355119	1590177355138	OK	 
REQUEST	2609		Logged Redirect 1	1590177355138	1590177355140	OK	 
REQUEST	1383		FormAnuncio	1590177355139	1590177355141	OK	 
REQUEST	1383		FormAnuncio Redirect 1	1590177355141	1590177355142	OK	 
REQUEST	3560		Login	1590177355148	1590177355150	OK	 
REQUEST	1753		ShowFiesta	1590177355148	1590177355152	OK	 
REQUEST	1778		ShowFiesta	1590177355148	1590177355153	OK	 
REQUEST	3585		Login	1590177355151	1590177355153	OK	 
REQUEST	1358		FormAnuncio	1590177355153	1590177355155	OK	 
REQUEST	1358		FormAnuncio Redirect 1	1590177355155	1590177355157	OK	 
USER	CrearAnuncioTestNegativo	56	END	1590177274994	1590177355158
USER	CrearAnuncioTestNegativo	58	END	1590177275070	1590177355158
USER	CrearAnuncioTestPositivo	4011	START	1590177355158	1590177355158
USER	CrearAnuncioTestNegativo	4036	START	1590177355158	1590177355158
REQUEST	4036		Welcome	1590177355159	1590177355164	OK	 
REQUEST	4011		Welcome	1590177355159	1590177355164	OK	 
REQUEST	1749		ShowFiesta	1590177355175	1590177355177	OK	 
USER	CrearAnuncioTestNegativo	59	END	1590177275102	1590177355179
USER	CrearAnuncioTestPositivo	559	END	1590177286104	1590177355179
REQUEST	1384		FormAnuncio	1590177355180	1590177355182	OK	 
REQUEST	1360		FormAnuncio	1590177355179	1590177355182	OK	 
REQUEST	1359		FormAnuncio	1590177355180	1590177355183	OK	 
REQUEST	1360		FormAnuncio Redirect 1	1590177355182	1590177355183	OK	 
REQUEST	1384		FormAnuncio Redirect 1	1590177355182	1590177355184	OK	 
REQUEST	1359		FormAnuncio Redirect 1	1590177355183	1590177355184	OK	 
REQUEST	2635		Logged	1590177355174	1590177355187	OK	 
REQUEST	2610		Logged	1590177355174	1590177355189	OK	 
REQUEST	2635		Logged Redirect 1	1590177355187	1590177355189	OK	 
REQUEST	2610		Logged Redirect 1	1590177355189	1590177355191	OK	 
REQUEST	1385		FormAnuncio	1590177355192	1590177355194	OK	 
REQUEST	1779		ShowFiesta	1590177355191	1590177355195	OK	 
REQUEST	1754		ShowFiesta	1590177355192	1590177355195	OK	 
REQUEST	1385		FormAnuncio Redirect 1	1590177355194	1590177355197	OK	 
REQUEST	3586		Login	1590177355198	1590177355200	OK	 
REQUEST	3561		Login	1590177355199	1590177355202	OK	 
USER	CrearAnuncioTestPositivo	4012	START	1590177355203	1590177355203
REQUEST	866		AnuncioCreated	1590177355201	1590177355204	OK	 
USER	CrearAnuncioTestNegativo	4037	START	1590177355203	1590177355203
REQUEST	866		AnuncioCreated Redirect 1	1590177355204	1590177355205	OK	 
REQUEST	4037		Welcome	1590177355203	1590177355208	OK	 
REQUEST	4012		Welcome	1590177355203	1590177355208	OK	 
USER	CrearAnuncioTestNegativo	57	END	1590177275042	1590177355209
USER	CrearAnuncioTestPositivo	560	END	1590177286147	1590177355210
REQUEST	899		FieldEmpty	1590177355210	1590177355211	OK	 
REQUEST	3562		Login	1590177355210	1590177355213	OK	 
REQUEST	899		FieldEmpty Redirect 1	1590177355212	1590177355214	OK	 
REQUEST	3587		Login	1590177355226	1590177355228	OK	 
REQUEST	1361		FormAnuncio	1590177355226	1590177355229	OK	 
REQUEST	1361		FormAnuncio Redirect 1	1590177355229	1590177355231	OK	 
USER	CrearAnuncioTestPositivo	561	END	1590177286178	1590177355234
REQUEST	1386		FormAnuncio	1590177355234	1590177355236	OK	 
REQUEST	1386		FormAnuncio Redirect 1	1590177355236	1590177355237	OK	 
USER	CrearAnuncioTestNegativo	61	END	1590177275178	1590177355238
USER	CrearAnuncioTestPositivo	4013	START	1590177355238	1590177355238
USER	CrearAnuncioTestNegativo	4038	START	1590177355240	1590177355240
REQUEST	2611		Logged	1590177355222	1590177355243	OK	 
REQUEST	2611		Logged Redirect 1	1590177355243	1590177355244	OK	 
REQUEST	2636		Logged	1590177355224	1590177355245	OK	 
REQUEST	2636		Logged Redirect 1	1590177355245	1590177355248	OK	 
REQUEST	2637		Logged	1590177355231	1590177355251	OK	 
REQUEST	2637		Logged Redirect 1	1590177355251	1590177355254	OK	 
REQUEST	4013		Welcome	1590177355239	1590177355254	OK	 
REQUEST	2612		Logged	1590177355234	1590177355256	OK	 
REQUEST	4038		Welcome	1590177355240	1590177355256	OK	 
REQUEST	2612		Logged Redirect 1	1590177355256	1590177355258	OK	 
REQUEST	896		FieldEmpty	1590177355260	1590177355261	OK	 
REQUEST	896		FieldEmpty Redirect 1	1590177355261	1590177355263	OK	 
USER	CrearAnuncioTestNegativo	55	END	1590177274953	1590177355263
REQUEST	1362		FormAnuncio	1590177355261	1590177355265	OK	 
REQUEST	1362		FormAnuncio Redirect 1	1590177355265	1590177355267	OK	 
REQUEST	1387		FormAnuncio	1590177355266	1590177355268	OK	 
REQUEST	3563		Login	1590177355268	1590177355270	OK	 
REQUEST	3588		Login	1590177355268	1590177355270	OK	 
REQUEST	1387		FormAnuncio Redirect 1	1590177355268	1590177355271	OK	 
USER	CrearAnuncioTestNegativo	60	END	1590177275138	1590177355278
USER	CrearAnuncioTestPositivo	4014	START	1590177355278	1590177355278
USER	CrearAnuncioTestNegativo	4039	START	1590177355280	1590177355280
REQUEST	4014		Welcome	1590177355278	1590177355285	OK	 
REQUEST	4039		Welcome	1590177355281	1590177355285	OK	 
REQUEST	3589		Login	1590177355289	1590177355290	OK	 
REQUEST	3564		Login	1590177355289	1590177355292	OK	 
REQUEST	2638		Logged	1590177355288	1590177355294	OK	 
REQUEST	2613		Logged	1590177355289	1590177355296	OK	 
REQUEST	2638		Logged Redirect 1	1590177355294	1590177355297	OK	 
REQUEST	2613		Logged Redirect 1	1590177355296	1590177355299	OK	 
REQUEST	1388		FormAnuncio	1590177355305	1590177355307	OK	 
REQUEST	1363		FormAnuncio	1590177355305	1590177355308	OK	 
REQUEST	1363		FormAnuncio Redirect 1	1590177355308	1590177355309	OK	 
REQUEST	1388		FormAnuncio Redirect 1	1590177355307	1590177355310	OK	 
USER	CrearAnuncioTestPositivo	562	END	1590177286224	1590177355311
USER	CrearAnuncioTestPositivo	563	END	1590177286258	1590177355322
USER	CrearAnuncioTestPositivo	4015	START	1590177355322	1590177355322
USER	CrearAnuncioTestNegativo	4040	START	1590177355325	1590177355325
REQUEST	2639		Logged	1590177355320	1590177355328	OK	 
REQUEST	2614		Logged	1590177355322	1590177355329	OK	 
REQUEST	4015		Welcome	1590177355323	1590177355331	OK	 
REQUEST	2639		Logged Redirect 1	1590177355328	1590177355331	OK	 
REQUEST	2614		Logged Redirect 1	1590177355329	1590177355331	OK	 
REQUEST	4040		Welcome	1590177355326	1590177355332	OK	 
REQUEST	1755		ShowFiesta	1590177355333	1590177355336	OK	 
REQUEST	1780		ShowFiesta	1590177355333	1590177355338	OK	 
REQUEST	3565		Login	1590177355339	1590177355340	OK	 
REQUEST	3590		Login	1590177355341	1590177355343	OK	 
REQUEST	874		AnuncioCreated	1590177355352	1590177355354	OK	 
REQUEST	874		AnuncioCreated Redirect 1	1590177355354	1590177355355	OK	 
REQUEST	1781		ShowFiesta	1590177355352	1590177355356	OK	 
REQUEST	1364		FormAnuncio	1590177355353	1590177355356	OK	 
REQUEST	1364		FormAnuncio Redirect 1	1590177355356	1590177355358	OK	 
REQUEST	1756		ShowFiesta	1590177355352	1590177355359	OK	 
REQUEST	1389		FormAnuncio	1590177355357	1590177355361	OK	 
USER	CrearAnuncioTestPositivo	4016	START	1590177355361	1590177355361
REQUEST	1389		FormAnuncio Redirect 1	1590177355361	1590177355363	OK	 
REQUEST	898		FieldEmpty	1590177355361	1590177355366	OK	 
USER	CrearAnuncioTestNegativo	4041	START	1590177355365	1590177355365
REQUEST	898		FieldEmpty Redirect 1	1590177355366	1590177355367	OK	 
REQUEST	4041		Welcome	1590177355367	1590177355372	OK	 
REQUEST	4016		Welcome	1590177355362	1590177355372	OK	 
REQUEST	1757		ShowFiesta	1590177355373	1590177355377	OK	 
REQUEST	1782		ShowFiesta	1590177355373	1590177355377	OK	 
REQUEST	1365		FormAnuncio	1590177355379	1590177355381	OK	 
REQUEST	1365		FormAnuncio Redirect 1	1590177355381	1590177355383	OK	 
REQUEST	2640		Logged	1590177355379	1590177355385	OK	 
REQUEST	1390		FormAnuncio	1590177355385	1590177355386	OK	 
REQUEST	2640		Logged Redirect 1	1590177355385	1590177355388	OK	 
REQUEST	1390		FormAnuncio Redirect 1	1590177355386	1590177355388	OK	 
REQUEST	2615		Logged	1590177355379	1590177355389	OK	 
REQUEST	2615		Logged Redirect 1	1590177355389	1590177355393	OK	 
REQUEST	3566		Login	1590177355391	1590177355396	OK	 
REQUEST	3591		Login	1590177355391	1590177355397	OK	 
REQUEST	929		FieldEmpty	1590177355392	1590177355397	OK	 
USER	CrearAnuncioTestNegativo	4042	START	1590177355398	1590177355398
